Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,35-Excepted Service - Schedule D,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,45-Excepted Service - Schedule D,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,All Appointments
CM64-OFFICE OF THE INSPECTOR GENERAL,101,16,9,0,0,0,0,8,0,0,134,4,0,0,0,0,1,0,0,0,5,0,139
CM65-ECONOMICS AND STATISTICS ADMINISTRATION,23,3,0,0,0,0,0,3,0,0,29,3,0,2,1,1,0,0,0,0,7,0,36
CM67-BUREAU OF INDUSTRY AND SECURITY,308,42,1,3,0,0,2,10,0,0,366,3,0,0,4,0,3,0,0,0,10,0,376
CT00-COMMODITY FUTURES TRADING COMMISSION,339,39,279,0,0,0,0,0,0,0,657,6,6,0,6,0,4,6,0,0,28,0,685
CU00-NATIONAL CREDIT UNION ADMINISTRATION,962,229,38,0,1,0,5,0,0,0,1235,7,2,0,6,1,3,0,0,0,19,0,1254
CX00-NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,17,0,17
DB00-PUBLIC INTEREST DECLASSIFICATION BOARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,0,7
DD01-OFFICE OF THE SECRETARY OF DEFENSE,1118,136,27,90,0,0,176,190,53,0,1790,4,8,0,68,0,19,240,2,0,341,0,2131
DD02-ORGANIZATION OF THE JOINT CHIEFS OF STAFF,825,142,4,0,0,0,2,14,0,0,987,12,0,0,1,0,0,5,0,0,18,0,1005
DD04-DEFENSE INFORMATION SYSTEMS AGENCY,4921,902,22,10,11,0,27,26,0,0,5919,16,5,2,0,14,0,7,0,0,44,0,5963
DD06-DEFENSE SECURITY COOPERATION AGENCY,488,63,11,18,0,0,0,5,0,0,585,1,48,22,0,0,0,47,0,0,118,0,703
DD07-DEFENSE LOGISTICS AGENCY,20695,2877,262,115,41,0,155,23,0,0,24168,141,14,2,0,0,0,1,0,0,158,0,24326
DD08-U.S. COURT OF APPEALS FOR THE ARMED FORCES,11,2,2,0,0,0,9,2,0,0,26,0,16,0,0,0,4,7,0,0,27,0,53
DD10-DEFENSE CONTRACT AUDIT AGENCY,4013,821,20,6,0,0,11,15,0,0,4886,13,3,0,0,0,0,0,0,0,16,0,4902
DD12-DEFENSE SECURITY SERVICE,0,0,0,0,0,0,870,0,0,0,870,0,0,0,0,0,0,1,0,0,1,0,871
DD13-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,72,2,3,0,0,0,0,7,1,0,85,18,0,0,0,0,0,61,0,0,79,0,164
DD16-DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,726,119,4887,0,0,0,4594,6,0,0,10332,13,3602,0,0,0,0,1313,1,0,4929,0,15261
DD21-WASHINGTON HEADQUARTERS SERVICES,1161,177,51,7,9,0,449,12,0,0,1866,10,43,4,13,0,0,184,0,0,254,0,2120
DD23-OFFICE OF ECONOMIC ADJUSTMENT,34,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,35
DD25-DEFENSE LEGAL SERVICES AGENCY,33,2,87,0,0,0,18,2,1,0,143,1,78,0,1,0,0,11,0,0,91,0,234
DD26-OFFICE OF THE INSPECTOR GENERAL,1015,85,17,364,0,0,38,19,0,0,1538,7,10,0,0,0,0,4,0,0,21,0,1559
DD27-MISSILE DEFENSE AGENCY,1736,608,20,0,0,0,41,20,0,0,2425,6,1,0,0,0,0,12,0,0,19,0,2444
DD29-DEFENSE TECHNOLOGY SECURITY ADMINISTRATION,121,7,1,0,0,0,0,3,0,0,132,0,0,0,0,0,0,1,0,0,1,0,133
DD34-DEFENSE COMMISSARY AGENCY,9708,2851,97,1,8,0,29,5,0,0,12699,84,157,0,0,0,0,8,0,0,249,0,12948
DD35-DEFENSE FINANCE AND ACCOUNTING SERVICE,9977,1044,62,1,10,0,30,22,0,0,11146,114,11,1,0,0,0,0,0,0,126,0,11272
DD48-DEFENSE HUMAN RESOURCES ACTIVITY,961,89,6,0,0,2,499,9,0,0,1566,16,0,2,0,0,0,60,0,0,78,0,1644
DD58-DEFENSE PRISONER OF WAR/MISSING PERSONNEL OFFICE,41,9,1,0,0,0,19,1,0,0,71,0,1,0,0,0,0,0,0,0,1,0,72
DD60-TRICARE MANAGEMENT ACTIVITY,4270,750,158,4,2,0,38,7,0,0,5229,53,191,5,0,0,0,59,0,0,308,0,5537
DD61-DEFENSE THREAT REDUCTION AGENCY,1002,177,13,0,10,0,63,12,1,0,1278,8,0,0,0,0,0,6,0,0,14,0,1292
DD63-DEFENSE CONTRACT MANAGEMENT AGENCY,9181,1941,112,9,13,0,126,11,0,0,11393,50,4,1,0,2,0,3,0,0,60,0,11453
DD65-PENTAGON FORCE PROTECTION AGENCY,1050,140,0,1,0,0,4,3,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,1198
DD68-DEPARTMENT OF DEFENSE TEST RESOURCE MANAGEMENT CENTER,26,0,0,0,0,0,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,28
DD69-NATIONAL DEFENSE UNIVERSITY,211,26,1,2,0,0,1,0,0,0,241,5,2,1,0,1,0,254,0,0,263,0,504
DD71-DEFENSE MICROELECTRONICS ACTIVITY,127,16,2,3,2,0,3,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,153
DD74-DEFENSE TECHNICAL INFORMATION CENTER,183,19,3,0,4,0,1,1,0,0,211,2,0,0,0,0,0,0,0,0,2,0,213
DD80-DEFENSE MEDIA ACTIVITY,448,140,5,0,0,0,11,1,0,0,605,1,2,1,0,0,0,0,0,0,4,0,609
DD81-DEFENSE ACQUISITION UNIVERSITY,132,32,2,14,2,0,1,1,0,0,184,1,0,1,0,6,0,508,0,0,516,0,700
DF00-OFFICE OF THE FEDERAL COORDINATOR FOR ALASKA NATURAL GAS TRANSPORTATION PROJECTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,6,0,6
DG00-NORTHERN BORDER REGIONAL COMMISSION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"DJ01-OFFICES, BOARDS AND DIVISIONS",2499,227,2942,7,17,0,93,196,39,0,6020,164,166,22,49,41,15,3,4,0,464,0,6484
DJ02-FEDERAL BUREAU OF INVESTIGATION,5,0,83,0,0,0,34873,264,0,1,35226,0,0,0,0,0,0,58,5,0,63,0,35289
DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,31643,5753,322,3,2,0,300,86,0,0,38109,21,52,0,0,59,0,0,0,0,132,0,38241
DJ06-DRUG ENFORCEMENT ADMINISTRATION,7907,437,445,452,0,0,50,63,0,0,9354,2,7,10,0,51,0,0,0,0,70,0,9424
DJ07-OFFICE OF JUSTICE PROGRAMS,508,27,26,2,0,0,0,17,2,0,582,2,2,0,6,2,3,0,0,0,15,0,597
DJ08-U.S. MARSHALS SERVICE,4837,460,19,2,0,0,76,16,0,0,5410,0,1,1,0,4,78,8,0,0,92,0,5502
DJ09-EXECUTIVE OFFICE FOR U.S. ATTORNEYS AND THE OFFICES OF THE U.S. ATTORNEYS,4767,466,59,21,7,0,5444,13,0,0,10777,61,6,28,1,292,83,146,0,0,617,0,11394
DJ10-OFFICE OF THE INSPECTOR GENERAL,355,25,18,2,6,0,4,6,0,0,416,0,1,7,0,3,1,0,0,0,12,0,428
DJ11-U.S. TRUSTEE PROGRAM,127,1,287,638,0,0,110,3,0,0,1166,0,2,0,0,0,0,1,0,0,3,0,1169
DJ12-EXECUTIVE OFFICE FOR IMMIGRATION REVIEW,676,76,437,1,0,0,13,9,0,0,1212,0,133,42,0,6,0,0,0,0,181,0,1393
DJ14-COMMUNITY RELATIONS SERVICE,36,6,0,0,0,0,2,0,0,0,44,0,0,0,1,0,1,0,0,0,2,0,46
"DJ15-BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES",4364,128,41,1,10,0,116,45,0,0,4705,6,2,16,0,2,1,0,0,0,27,0,4732
DLAA-OFFICE OF THE SECRETARY OF LABOR,144,12,15,2,0,0,57,1,7,0,238,2,33,5,23,0,2,4,0,0,69,0,307
DLAM-OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT,572,57,22,10,8,0,25,9,1,1,705,6,3,3,0,2,1,0,2,0,17,0,722
DLBL-BUREAU OF INTERNATIONAL LABOR AFFAIRS,73,17,0,5,1,0,0,3,1,0,100,1,0,0,2,0,0,0,0,0,3,0,103
DLCA-OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS,4,0,0,1,0,0,0,0,2,0,7,0,0,0,18,0,1,0,0,0,19,0,26
DLCF-OFFICE OF THE CHIEF FINANCIAL OFFICER,84,22,1,8,2,0,2,2,0,0,121,0,0,0,0,0,1,0,0,0,1,0,122
DLEH-OFFICE OF DISABILITY EMPLOYMENT POLICY,34,3,6,0,1,0,1,1,0,0,46,0,0,1,1,0,1,0,0,0,3,0,49
DLET-EMPLOYMENT AND TRAINING ADMINISTRATION,876,144,3,10,0,0,26,12,1,0,1072,10,1,0,3,0,0,1,1,0,16,0,1088
DLIG-OFFICE OF THE INSPECTOR GENERAL,351,13,8,2,0,0,8,7,0,0,389,1,0,0,0,0,0,0,0,0,1,0,390
DLLS-BUREAU OF LABOR STATISTICS,1983,360,7,1,12,0,16,16,0,0,2395,6,0,1,0,0,1,0,0,0,8,0,2403
DLMS-MINE SAFETY AND HEALTH ADMINISTRATION,1835,440,5,4,1,0,29,8,1,1,2324,8,0,6,2,4,1,0,0,0,21,0,2345
DLOF-OFFICE OF FEDERAL CONTRACT COMPLIANCE PROGRAMS,590,77,14,4,2,0,23,7,2,0,719,0,0,1,2,1,0,0,0,0,4,0,723
DLOL-OFFICE OF LABOR-MANAGEMENT STANDARDS,196,12,0,1,0,0,4,4,1,0,218,0,0,0,0,0,0,0,0,0,0,0,218
DLOW-OFFICE OF WORKERS' COMPENSATION PROGRAMS,1327,197,29,1,1,0,26,6,0,0,1587,10,0,3,0,2,0,0,1,0,16,0,1603
DLPA-OFFICE OF PUBLIC AFFAIRS,37,6,0,0,1,0,0,1,2,0,47,1,0,0,9,1,0,0,0,0,11,0,58
DLPE-OFFICE OF THE ASSISTANT SECRETARY FOR POLICY,21,0,0,0,1,0,0,2,1,0,25,0,0,0,2,0,0,0,0,0,2,0,27
DLPW-EMPLOYEE BENEFITS SECURITY ADMINISTRATION,775,123,15,6,9,0,14,16,0,0,958,3,0,4,2,6,1,10,0,0,26,0,984
DLSH-OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,1868,251,7,11,29,0,27,15,1,0,2209,2,3,5,2,9,1,0,0,0,22,0,2231
DLSL-OFFICE OF THE SOLICITOR,151,10,296,1,2,0,184,18,1,0,663,11,48,0,2,0,1,2,0,0,64,0,727
DLVE-VETERANS EMPLOYMENT AND TRAINING SERVICES,162,38,0,0,0,0,20,3,1,0,224,2,0,0,1,0,1,0,0,0,4,0,228
DLWB-WOMEN'S BUREAU,39,5,0,0,3,0,0,1,1,0,49,1,0,1,2,0,0,1,0,0,5,0,54
DLWH-WAGE AND HOUR DIVISION,1446,216,22,12,11,0,58,9,1,0,1775,10,1,21,3,13,0,0,0,0,48,0,1823
DN00-DEPARTMENT OF ENERGY,11019,1121,314,45,41,1,479,406,24,2,13452,76,29,6,68,37,10,309,7,0,542,0,13994
DNFE-FEDERAL ENERGY REGULATORY COMMISSION,889,240,140,3,2,0,101,44,1,0,1420,0,18,2,4,2,5,2,0,0,33,0,1453
DQ00-DENALI COMMISSION,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,5,0,0,5,0,17
EB00-EXPORT-IMPORT BANK OF THE UNITED STATES,300,60,26,0,10,0,0,0,0,0,396,9,3,0,10,0,4,0,0,0,26,0,422
EC00-OFFICE OF ADMINISTRATION,134,28,56,1,2,0,3,0,0,0,224,1,1,0,0,0,2,4,0,0,8,0,232
EDEA-IMMEDIATE OFFICE OF THE SECRETARY OF EDUCATION,57,3,1,1,0,0,2,3,3,0,70,0,1,0,20,0,1,3,0,0,25,0,95
EDEB-OFFICE OF THE DUTY SECRETARY OF EDUCATION,34,12,0,3,5,0,0,4,2,0,60,0,0,0,6,1,0,0,0,0,7,0,67
EDEC-OFFICE FOR CIVIL RIGHTS,220,16,302,0,3,0,7,3,2,0,553,1,0,2,4,3,1,0,0,0,11,0,564
"EDED-OFFICE OF PLANNING, EVALUATION AND POLICY DEVELOPMENT",84,11,0,4,4,0,0,5,0,0,108,0,0,0,10,0,0,0,0,0,10,0,118
EDEE-OFFICE OF THE UNDER SECRETARY,6,1,0,1,0,0,0,0,0,0,8,0,0,1,21,0,1,4,0,0,27,0,35
EDEF-OFFICE OF INSPECTOR GENERAL,227,21,4,0,0,0,0,6,0,0,258,0,0,0,0,0,1,0,0,0,1,0,259
EDEG-OFFICE OF THE GENERAL COUNSEL,16,1,67,0,0,0,11,7,1,0,103,0,0,0,5,0,0,0,0,0,5,0,108
EDEH-OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES,175,25,30,6,3,0,8,3,3,0,253,0,1,0,2,0,1,2,0,0,6,0,259
EDEI-OFFICE OF THE CHIEF INFORMATION OFFICER,109,8,1,1,1,0,1,6,0,0,127,0,0,1,0,0,0,0,0,0,1,0,128
EDEJ-OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS,4,2,2,0,1,0,1,0,0,0,10,0,0,0,8,0,1,0,0,0,9,0,19
EDEL-OFFICE OF THE CHIEF FINANCIAL OFFICER,138,20,1,2,1,0,3,3,0,0,168,0,0,4,0,2,0,0,0,0,6,0,174
EDEM-OFFICE OF MANAGEMENT,144,9,5,1,0,0,5,5,0,0,169,1,0,2,0,0,0,0,0,0,3,0,172
EDEN-FEDERAL STUDENT AID,910,160,4,0,1,0,153,11,0,0,1239,1,0,2,0,0,0,0,0,0,3,0,1242
EDEO-OFFICE OF COMMUNICATIONS AND OUTREACH,74,6,1,0,0,0,2,0,0,0,83,0,1,0,14,0,0,8,0,0,23,0,106
EDEP-OFFICE OF POSTSECONDARY EDUCATION,145,24,0,2,0,0,3,2,0,0,176,1,0,0,3,0,0,35,0,0,39,0,215
EDER-INSTITUTE OF EDUCATION SCIENCES,104,28,0,0,0,0,1,3,0,0,136,0,0,0,0,1,2,32,0,0,35,0,171
EDES-OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,181,32,3,1,4,0,0,2,1,0,224,0,0,0,9,0,1,16,0,0,26,0,250
EDET-OFFICE OF ENGLISH LANGUAGE ACQUISITION,14,1,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,16
EDEU-OFFICE OF INNOVATION AND IMPROVEMENT,59,21,0,2,2,0,0,1,1,0,86,0,2,1,4,0,0,1,0,0,8,0,94
EDEV-OFFICE OF VOCATIONAL AND ADULT EDUCATION,62,9,0,2,0,0,0,1,1,0,75,0,1,0,5,0,1,3,0,0,10,0,85
EDEX-NATIONAL INSTITUTE FOR LITERACY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
EDEY-ADVISORY COUNCILS AND COMMITTEES,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,16,0,0,16,0,20
EDEZ-NATIONAL ASSESSMENT GOVERNING BOARD,5,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,27,0,0,27,0,34
EE00-EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,1516,93,488,0,0,0,5,27,3,0,2132,3,6,0,1,5,6,1,0,0,22,0,2154
EO00-MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,0,0,0,0,0,0,8,0,0,0,8,0,1,0,0,0,6,33,0,0,40,0,48
EP00-ENVIRONMENTAL PROTECTION AGENCY,13799,655,1043,52,17,0,57,257,25,0,15905,27,78,17,24,26,8,864,1,0,1045,0,16950
EQ00-COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY,2,0,2,0,0,0,0,0,0,0,4,0,2,0,4,0,2,7,0,0,15,0,19
EW00-TRADE AND DEVELOPMENT AGENCY,26,8,4,0,0,0,1,3,0,0,42,0,1,0,0,0,0,5,0,0,6,0,48
FC00-FEDERAL COMMUNICATIONS COMMISSION,1036,70,535,0,2,0,11,35,2,0,1691,12,23,0,2,9,0,15,0,0,61,0,1752
FD00-FEDERAL DEPOSIT INSURANCE CORPORATION,4656,625,305,46,52,0,26,0,0,0,5710,1218,450,19,1,59,4,21,0,0,1772,0,7482
FI00-FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,8,3,1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13
FJ00-CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,20,8,3,0,0,0,3,2,0,0,36,0,0,1,0,0,3,0,1,0,5,0,41
FK00-FARM CREDIT SYSTEM INSURANCE CORPORATION,8,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
FL00-FARM CREDIT ADMINISTRATION,221,29,11,2,6,0,4,0,0,0,273,1,0,0,3,0,3,1,0,0,8,0,281
FM00-FEDERAL MEDIATION AND CONCILIATION SERVICE,54,4,4,0,0,0,169,2,0,0,233,0,0,0,0,0,1,0,0,0,1,0,234
FQ01-OFFICE OF THE DIRECTOR,754,84,7,0,0,0,0,9,0,0,854,4,0,2,0,3,1,0,0,0,10,0,864
FQ02-PRETRIAL SERVICES AGENCY,344,7,1,0,0,0,0,2,0,0,354,0,0,0,0,0,0,0,0,0,0,0,354
FRFT-BUREAU OF CONSUMER FINANCIAL PROTECTION,261,154,242,10,20,0,254,0,0,0,941,27,20,1,0,14,1,309,0,0,372,0,1313
FT00-FEDERAL TRADE COMMISSION,371,70,607,2,0,0,1,28,5,0,1084,61,7,1,1,2,4,5,1,0,82,0,1166
FW00-OFFICE OF SPECIAL COUNSEL,38,2,61,0,1,0,1,0,1,0,104,0,2,0,4,0,1,0,1,0,8,0,112
GB00-OVERSEAS PRIVATE INVESTMENT CORPORATION,144,31,21,1,0,0,2,0,0,0,199,10,0,0,1,0,11,14,0,0,36,0,235
GE00-BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,4,0,0,5,0,7
GG00-OFFICE OF GOVERNMENT ETHICS,45,2,13,0,0,0,0,4,0,0,64,0,0,0,0,0,1,0,0,0,1,0,65
GJ00-PRESIDIO TRUST,0,0,0,0,0,0,285,0,0,0,285,0,0,0,0,0,0,29,0,0,29,0,314
GM00-VALLES CALDERA TRUST,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,36,0,0,36,0,61
GO00-VIETNAM EDUCATION FOUNDATION,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,4,2,0,0,6,0,11
GQ00-ELECTION ASSISTANCE COMMISSION,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,25,0,0,25,0,26
GS01-IMMEDIATE OFFICE OF THE ADMINISTRATOR,3,1,0,0,0,0,0,1,1,0,6,0,0,0,6,0,1,0,0,0,7,0,13
GS02-OFFICE OF ADMINISTRATIVE SERVICES,96,10,0,1,0,0,0,2,0,0,109,0,3,0,1,0,0,0,0,0,4,0,113
GS03-PUBLIC BUILDINGS SERVICE,5173,412,30,13,40,0,31,13,2,0,5714,14,22,0,2,0,0,0,2,0,40,0,5754
GS04-OFFICE OF CIVIL RIGHTS,18,1,1,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21
GS10-OFFICE OF SMALL BUSINESS UTILIZATION,32,1,0,0,0,0,0,0,1,0,34,0,0,0,1,0,0,0,0,0,1,0,35
GS11-OFFICE OF THE CHIEF FINANCIAL OFFICER,668,43,1,3,4,0,0,3,0,0,722,0,1,0,0,0,0,0,0,0,1,0,723
GS12-OFFICE OF GENERAL COUNSEL,15,1,109,0,0,0,5,6,1,0,137,0,0,0,0,0,0,0,0,0,0,0,137
GS13-CIVILIAN BOARD OF CONTRACT APPEALS,15,0,17,0,0,0,1,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,33
GS14-OFFICE OF THE CHIEF PEOPLE OFFICER,283,26,4,27,17,0,4,3,0,0,364,1,3,0,0,0,0,16,0,0,20,0,384
GS15-OFFICE OF INSPECTOR GENERAL,241,9,5,1,0,0,3,9,0,0,268,0,0,0,0,0,1,0,0,0,1,0,269
GS19-OFFICE OF CITIZEN SERVICES AND INNOVATIVE TECHNOLOGIES,73,11,0,0,0,0,0,3,1,0,88,0,2,0,0,0,0,0,0,0,2,0,90
GS20-OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS,25,2,0,0,0,0,0,0,1,0,28,0,0,0,2,0,0,0,0,0,2,0,30
GS22-OFFICES OF THE REGIONAL ADMINISTRATORS,5,3,0,0,0,0,30,0,1,0,39,0,0,0,14,0,0,1,0,0,15,0,54
GS26-OFFICE OF GOVERNMENTWIDE POLICY,136,12,4,0,0,0,3,4,1,0,160,1,5,0,0,0,0,1,0,0,7,0,167
GS28-OFFICE OF THE CHIEF INFORMATION OFFICER,483,53,1,2,1,0,1,8,0,0,549,1,4,0,0,1,0,1,0,0,7,0,556
GS30-FEDERAL ACQUISITION SERVICE,2926,239,8,7,5,0,15,25,0,0,3225,0,46,0,0,1,0,2,1,0,50,0,3275
GS31-OFFICE OF EMERGENCY RESPONSE AND RECOVERY,106,12,0,0,0,0,0,0,0,0,118,0,1,0,0,0,0,0,0,0,1,0,119
GS32-OFFICE OF COMMUNICATIONS AND MARKETING,40,3,0,0,0,0,0,0,1,0,44,0,4,0,3,0,0,0,0,0,7,0,51
GW00-INTERNATIONAL BOUNDARY AND WATER COMMISSION:  UNITED STATES AND MEXICO,184,54,1,1,0,0,2,0,0,0,242,0,0,0,0,0,1,1,0,0,2,0,244
GX00-INTERNATIONAL BOUNDARY COMMISSION:  UNITED STATES AND CANADA,4,3,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,13,0,20
GY00-INTERNATIONAL JOINT COMMISSION:  UNITED STATES AND CANADA,5,7,1,0,0,0,1,0,0,0,14,1,0,0,1,0,3,0,0,0,5,0,19
HB00-COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,21,1,3,0,0,0,0,1,0,0,26,0,0,0,0,0,3,1,0,0,4,0,30
HD00-U.S. HOLOCAUST MEMORIAL MUSEUM,155,17,2,0,0,0,2,0,0,0,176,1,0,0,0,0,0,0,0,0,1,0,177
HE10-OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,3255,699,562,44,31,0,39,113,30,1,4774,60,187,29,61,13,7,11008,0,0,11365,2,16141
HE11-PROGRAM SUPPORT CENTER,458,84,3,0,1,0,1,5,0,0,552,6,12,5,0,1,0,7,0,0,31,0,583
HE12-ADMINISTRATION FOR COMMUNITY LIVING,111,25,1,0,0,0,1,3,2,0,143,4,1,0,0,0,1,11,0,0,17,0,160
HE31-OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,10,5,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,1,0,0,1,0,17
HE32-SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,410,121,2,0,0,0,1,8,1,0,543,3,20,1,0,0,1,75,0,0,100,0,643
HE33-AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,226,47,0,0,0,0,3,4,1,0,281,2,0,1,0,0,0,43,0,0,46,0,327
HE34-HEALTH RESOURCES AND SERVICES ADMINISTRATION,1283,318,0,7,21,0,3,26,1,0,1659,5,15,0,2,0,0,193,0,0,215,0,1874
HE35-AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY,120,3,3,0,1,0,0,0,0,0,127,0,0,0,0,0,0,1,0,0,1,0,128
HE36-FOOD AND DRUG ADMINISTRATION,9802,2295,95,52,30,0,75,56,4,0,12409,113,136,63,1,40,1,3544,0,0,3898,0,16307
HE37-INDIAN HEALTH SERVICE,9540,1288,2170,0,5,0,63,18,1,0,13085,67,201,0,0,2,1,21,0,0,292,2,13379
HE38-NATIONAL INSTITUTES OF HEALTH,11373,1882,110,47,105,0,97,48,0,0,13662,99,56,19,0,135,2,5300,0,0,5611,0,19273
HE39-CENTERS FOR DISEASE CONTROL AND PREVENTION,7313,928,275,29,160,0,72,24,1,0,8802,139,2,9,0,27,0,1527,0,0,1704,0,10506
HE70-CENTERS FOR MEDICARE & MEDICAID SERVICES,4198,1402,41,9,19,0,14,63,12,1,5759,5,4,0,1,2,1,70,0,0,83,0,5842
HE90-ADMINISTRATION FOR CHILDREN AND FAMILIES,1020,177,13,11,1,0,4,8,13,0,1247,2,7,1,4,0,1,21,0,0,36,0,1283
HFHA-FEDERAL HOUSING FINANCE AGENCY,429,111,13,4,1,0,25,0,0,0,583,5,1,0,1,14,0,5,0,0,26,0,609
HFHI-OFFICE OF INSPECTOR GENERAL,84,30,19,0,0,0,1,0,0,0,134,4,1,0,0,0,1,0,0,0,6,0,140
HP00-ADVISORY COUNCIL ON HISTORIC PRESERVATION,0,0,0,0,0,0,33,1,0,0,34,0,0,0,0,0,11,5,0,0,16,0,50
HSAA-DHS HEADQUARTERS,2138,596,91,20,19,0,79,106,22,0,3071,19,30,5,38,8,3,6,8,0,117,0,3188
HSAB-CITIZENSHIP AND IMMIGRATION SERVICES,9505,1888,271,11,42,0,277,51,2,0,12047,414,1,8,3,40,1,139,0,0,606,0,12653
HSAC-U.S. COAST GUARD,6584,1324,106,16,4,0,296,15,0,1,8346,167,10,16,0,0,0,65,0,0,258,0,8604
HSAD-U.S. SECRET SERVICE,5775,125,13,0,30,0,22,50,0,0,6015,1,7,443,0,9,0,9,0,0,469,0,6484
HSAE-OFFICE OF THE INSPECTOR GENERAL,574,59,9,3,0,0,2,14,0,0,661,1,0,9,0,10,0,37,0,0,57,0,718
HSBB-IMMIGRATION AND CUSTOMS ENFORCEMENT,17183,967,878,24,24,0,303,74,1,0,19454,12,4,87,3,9,0,5,1,0,121,0,19575
HSBC-TRANSPORTATION SECURITY ADMINISTRATION,0,0,0,0,0,0,63197,0,0,0,63197,0,0,0,0,0,0,207,0,0,207,0,63404
HSBD-CUSTOMS AND BORDER PROTECTION,52894,5659,599,27,39,0,274,109,3,0,59604,35,9,4,7,10,0,4,0,0,69,0,59673
HSBE-FEDERAL LAW ENFORCEMENT TRAINING CENTERS,925,83,27,1,1,0,11,8,0,0,1056,33,33,0,0,1,0,0,0,0,67,0,1123
HSCA-NATIONAL PROTECTION AND PROGRAMS DIRECTORATE,2158,359,63,2,2,0,143,37,3,0,2767,27,11,4,8,4,1,2,4,0,61,0,2828
HSCB-FEDERAL EMERGENCY MANAGEMENT AGENCY,3629,839,354,12,50,0,67,58,12,0,5021,107,61,13,8,76,4,9745,0,0,10014,0,15035
HSDA-DOMESTIC NUCLEAR DETECTION OFFICE,84,21,0,0,0,0,0,7,0,0,112,0,0,1,0,0,0,0,0,0,1,0,113
HSFA-SCIENCE AND TECHNOLOGY DIRECTORATE,363,60,0,4,2,0,5,19,0,0,453,0,1,1,3,0,1,10,0,0,16,0,469
