Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
CM65-ECONOMICS AND STATISTICS ADMINISTRATION,39,4,0,0,0,0,3,2,0,48,0,0,0,1,0,0,0,0,1,0,49
CM67-BUREAU OF INDUSTRY AND SECURITY,296,49,1,0,0,2,11,0,0,359,2,1,1,6,1,0,0,0,11,0,370
CT00-COMMODITY FUTURES TRADING COMMISSION,284,11,148,0,0,2,0,0,0,445,1,4,3,7,4,1,0,0,20,0,465
CU00-NATIONAL CREDIT UNION ADMINISTRATION,728,91,19,46,0,5,0,0,0,889,2,0,1,7,3,9,0,0,22,0,911
CX00-NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,0,0,0,0,0,3,0,0,0,3,0,0,0,0,2,17,0,0,19,0,22
DD01-OFFICE OF THE SECRETARY OF DEFENSE,766,121,38,70,0,104,176,62,0,1337,2,16,1,74,14,139,10,0,256,0,1593
DD02-ORGANIZATION OF THE JOINT CHIEFS OF STAFF,160,28,0,0,0,1,4,0,0,193,11,0,0,2,0,1,0,0,14,0,207
DD04-DEFENSE INFORMATION SYSTEMS AGENCY,3918,793,20,145,0,53,29,0,0,4958,19,8,85,0,0,7,0,0,119,0,5077
DD06-DEFENSE SECURITY COOPERATION AGENCY,321,45,7,28,0,0,5,0,0,406,12,24,7,0,0,0,0,0,43,0,449
DD07-DEFENSE LOGISTICS AGENCY,17369,2376,163,533,0,317,25,0,0,20783,294,29,96,0,0,257,0,0,676,0,21459
DD08-U.S. COURT OF APPEALS FOR THE ARMED FORCES,12,1,8,0,1,9,2,0,0,33,0,7,0,0,4,11,0,0,22,0,55
DD09-AMERICAN FORCES INFORMATION SERVICE,199,34,2,0,0,1,1,0,0,237,0,0,0,0,0,0,0,0,0,0,237
DD10-DEFENSE CONTRACT AUDIT AGENCY,3099,389,11,465,0,3,16,0,0,3983,2,3,30,0,0,0,0,0,35,0,4018
DD12-DEFENSE SECURITY SERVICE,434,68,25,0,0,10,4,0,0,541,0,2,1,0,0,0,0,0,3,0,544
DD13-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,69,8,1,0,0,0,13,1,0,92,18,0,0,0,0,48,0,0,66,0,158
DD16-DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,778,130,5707,0,0,3827,4,0,0,10446,32,4384,9,0,0,1466,0,0,5891,0,16337
DD21-WASHINGTON HEADQUARTERS SERVICES,958,102,33,10,0,4,12,0,0,1119,9,35,4,16,0,48,2,0,114,0,1233
DD23-OFFICE OF ECONOMIC ADJUSTMENT,25,5,5,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,36
DD25-DEFENSE LEGAL SERVICES AGENCY,47,15,59,0,0,12,2,0,0,135,7,35,0,1,0,0,0,0,43,0,178
DD26-OFFICE OF THE INSPECTOR GENERAL,741,117,21,455,0,22,20,0,0,1376,1,2,8,0,0,4,0,0,15,0,1391
DD27-MISSILE DEFENSE AGENCY,626,109,26,21,0,10,18,0,0,810,1,0,4,0,0,2,0,0,7,0,817
DD29-DEFENSE TECHNOLOGY SECURITY ADMINISTRATION,115,20,1,0,0,0,1,0,0,137,0,0,0,0,0,0,0,0,0,0,137
DD34-DEFENSE COMMISSARY AGENCY,8929,2753,24,7,0,91,5,0,0,11809,542,902,2092,7,0,20,0,0,3563,0,15372
DD35-DEFENSE FINANCE AND ACCOUNTING SERVICE,10258,1449,59,467,0,120,25,0,0,12378,600,18,86,0,0,1,0,0,705,0,13083
DD48-DEFENSE HUMAN RESOURCES ACTIVITY,727,98,4,17,0,8,9,1,0,864,9,1,4,0,0,0,2,0,16,0,880
DD58-DEFENSE PRISONER OF WAR/MISSING PERSONNEL OFFICE,21,6,25,0,0,3,0,0,0,55,0,0,0,1,0,0,0,0,1,0,56
DD60-TRICARE MANAGEMENT ACTIVITY,347,34,16,1,0,2,5,0,0,405,2,3,4,0,0,27,1,0,37,0,442
DD61-DEFENSE THREAT REDUCTION AGENCY,1018,39,43,10,0,4,15,0,0,1129,13,2,12,0,0,1,0,0,28,0,1157
DD63-DEFENSE CONTRACT MANAGEMENT AGENCY,8959,537,102,147,0,76,8,0,0,9829,33,6,2,0,0,2,0,0,43,0,9872
DD65-PENTAGON FORCE PROTECTION AGENCY,555,301,1,0,0,2,2,0,0,861,1,6,0,0,0,0,0,0,7,0,868
DD68-DEPARTMENT OF DEFENSE TEST RESOURCE MANAGEMENT CENTER,18,4,0,0,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,24
DD69-NATIONAL DEFENSE UNIVERSITY,198,29,0,0,0,3,0,0,0,230,40,7,16,0,0,225,0,0,288,0,518
DD74-DEFENSE TECHNICAL INFORMATION CENTER,260,28,0,0,0,2,1,0,0,291,2,0,0,0,0,0,0,0,2,0,293
DD77-BUSINESS TRANSFORMATION AGENCY,63,10,1,0,0,0,1,0,0,75,0,0,0,0,0,9,2,0,11,0,86
DJ**-UNSPECIFIED,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"DJ01-OFFICES, BOARDS AND DIVISIONS",2454,393,2286,57,0,338,168,44,0,5740,232,291,235,62,18,14,3,0,855,0,6595
DJ02-FEDERAL BUREAU OF INVESTIGATION,1,0,3,0,0,30291,215,0,0,30510,0,22,0,0,1,46,0,0,69,5,30584
DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,29157,5082,231,4,0,465,72,1,0,35012,7,27,54,0,0,3,0,0,91,0,35103
DJ06-DRUG ENFORCEMENT ADMINISTRATION,7217,519,430,1174,0,62,63,0,0,9465,3,12,111,3,0,0,0,0,129,1,9595
DJ07-OFFICE OF JUSTICE PROGRAMS,445,76,21,0,0,2,14,3,0,561,8,7,10,10,5,0,0,0,40,0,601
DJ08-U.S. MARSHALS SERVICE,3923,414,12,17,1,99,13,0,0,4479,4,0,1,0,7,78,0,0,90,0,4569
DJ09-EXECUTIVE OFFICE FOR U.S. ATTORNEYS AND THE OFFICES OF THE U.S. ATTORNEYS,4377,763,39,27,0,4912,3,2,0,10123,67,3,396,13,82,274,0,0,835,0,10958
DJ10-OFFICE OF THE INSPECTOR GENERAL,314,51,14,5,0,8,7,0,0,399,2,0,28,0,1,0,0,0,31,0,430
DJ11-U.S. TRUSTEE PROGRAM,149,16,220,686,0,133,2,0,0,1206,1,38,1,0,0,0,0,0,40,0,1246
DJ12-EXECUTIVE OFFICE FOR IMMIGRATION REVIEW,641,97,349,1,0,26,6,0,0,1120,0,73,36,0,0,2,0,0,111,0,1231
DJ14-COMMUNITY RELATIONS SERVICE,34,6,0,0,0,3,0,0,0,43,0,0,0,0,1,0,0,0,1,0,44
"DJ15-BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES",4059,203,9,173,0,82,42,1,0,4569,0,3,297,0,0,1,0,0,301,0,4870
DLAA-OFFICE OF THE SECRETARY OF LABOR,260,32,9,1,0,71,2,8,0,383,1,35,5,31,2,6,1,0,81,5,469
DLAM-OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT,602,36,5,30,0,7,10,0,0,690,9,4,15,3,1,1,0,0,33,0,723
DLBL-BUREAU OF INTERNATIONAL LABOR AFFAIRS,56,5,1,1,0,4,1,2,0,70,4,0,0,1,0,0,0,0,5,0,75
DLCA-OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS,7,0,0,0,0,0,0,1,0,8,0,0,0,19,1,0,0,0,20,0,28
DLCF-OFFICE OF THE CHIEF FINANCIAL OFFICER,52,11,1,0,0,0,2,0,0,66,0,0,2,2,1,0,0,0,5,0,71
DLEH-OFFICE OF DISABILITY EMPLOYMENT POLICY,33,3,7,0,0,1,2,0,0,46,0,4,1,3,1,0,0,0,9,0,55
DLES-EMPLOYMENT STANDARDS ADMINISTRATION,3274,320,3,80,0,31,16,2,0,3726,153,1,36,9,1,1,0,0,201,5,3932
DLET-EMPLOYMENT AND TRAINING ADMINISTRATION,763,136,7,15,0,10,8,0,0,939,4,0,5,4,1,2,0,0,16,7,962
DLIG-OFFICE OF THE INSPECTOR GENERAL,339,47,3,2,0,14,7,0,0,412,1,0,1,0,1,0,0,0,3,0,415
DLLS-BUREAU OF LABOR STATISTICS,2072,383,1,92,0,5,18,0,0,2571,0,0,3,0,0,4,0,0,7,0,2578
DLMS-MINE SAFETY AND HEALTH ADMINISTRATION,1740,143,0,189,0,5,8,0,0,2085,3,1,4,1,0,1,0,0,10,2,2097
DLPA-OFFICE OF PUBLIC AFFAIRS,40,7,0,0,0,0,1,1,0,49,0,0,0,10,1,0,0,0,11,0,60
DLPE-OFFICE OF THE ASSISTANT SECRETARY FOR POLICY,26,1,0,0,0,0,3,1,0,31,1,0,0,2,0,0,0,0,3,0,34
DLPW-EMPLOYEE BENEFITS SECURITY ADMINISTRATION,664,100,2,64,0,8,15,1,0,854,0,1,20,1,1,15,0,0,38,0,892
DLSH-OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,1898,121,4,2,0,6,7,0,0,2038,4,1,6,3,1,0,0,0,15,10,2063
DLSL-OFFICE OF THE SOLICITOR,157,8,127,0,0,273,18,0,0,583,2,1,0,1,1,0,0,0,5,1,589
DLVE-VETERANS EMPLOYMENT AND TRAINING SERVICES,176,40,0,1,0,14,3,0,0,234,5,0,0,3,1,0,0,0,9,0,243
DLWB-WOMEN'S BUREAU,47,3,0,0,0,0,0,0,0,50,0,0,1,1,1,0,0,0,3,0,53
DN00-DEPARTMENT OF ENERGY,11450,1307,302,202,1,814,411,36,0,14523,30,21,74,69,21,202,9,0,426,1,14950
EB00-EXPORT-IMPORT BANK OF THE UNITED STATES,294,46,18,0,0,0,0,0,0,358,0,1,1,7,4,1,0,0,14,0,372
EC00-OFFICE OF ADMINISTRATION,115,35,46,0,0,2,0,0,0,198,1,10,8,0,0,4,0,0,23,0,221
EDEA-IMMEDIATE OFFICE OF THE SECRETARY OF EDUCATION,67,3,3,0,0,0,3,4,0,80,1,1,2,38,1,3,0,0,46,0,126
EDEB-OFFICE OF THE DUTY SECRETARY OF EDUCATION,1,2,1,0,0,0,0,0,0,4,0,0,1,5,1,0,0,0,7,0,11
EDEC-OFFICE FOR CIVIL RIGHTS,365,22,198,3,0,14,1,1,0,604,1,5,21,3,1,0,0,0,31,0,635
"EDED-OFFICE OF PLANNING, EVALUATION AND POLICY DEVELOPMENT",79,12,8,1,0,0,7,1,0,108,4,0,3,3,0,18,0,0,28,0,136
EDEE-OFFICE OF THE UNDER SECRETARY,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2
EDEF-OFFICE OF INSPECTOR GENERAL,224,44,3,9,0,1,6,0,0,287,1,0,2,0,1,0,0,0,4,0,291
EDEG-OFFICE OF THE GENERAL COUNSEL,22,0,57,0,0,15,5,2,0,101,0,3,0,2,1,0,0,0,6,0,107
EDEH-OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES,178,31,38,0,0,5,4,2,0,258,0,1,4,4,1,1,0,0,11,0,269
EDEI-OFFICE OF THE CHIEF INFORMATION OFFICER,64,8,0,0,0,1,4,0,0,77,0,0,0,0,0,0,0,0,0,0,77
EDEJ-OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS,13,0,0,0,0,0,0,0,0,13,0,0,1,8,1,0,0,0,10,0,23
EDEL-OFFICE OF THE CHIEF FINANCIAL OFFICER,239,14,2,2,0,0,5,0,0,262,0,0,12,2,1,0,0,0,15,0,277
EDEM-OFFICE OF MANAGEMENT,157,11,10,1,0,1,3,0,0,183,0,0,2,3,1,2,0,0,8,0,191
EDEN-FEDERAL STUDENT AID,808,78,1,7,0,77,15,0,0,986,0,0,14,0,0,3,0,0,17,0,1003
EDEO-OFFICE OF COMMUNICATIONS AND OUTREACH,82,8,2,0,0,1,1,1,0,95,0,0,1,43,1,1,0,0,46,0,141
EDEP-OFFICE OF POSTSECONDARY EDUCATION,189,10,2,0,0,1,4,0,0,206,0,0,4,6,0,44,0,0,54,0,260
EDEQ-OFFICE OF SAFE AND DRUG-FREE SCHOOLS,39,6,1,0,0,0,1,1,0,48,1,0,1,3,0,10,0,0,15,0,63
EDER-INSTITUTE OF EDUCATION SCIENCES,125,16,0,0,0,0,4,0,0,145,0,0,3,0,2,35,0,0,40,0,185
EDES-OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,151,30,5,0,1,0,5,0,0,192,2,0,0,9,1,13,0,0,25,0,217
EDET-OFFICE OF ENGLISH LANGUAGE ACQUISITION,34,5,0,0,0,0,0,1,0,40,0,0,1,1,0,0,0,0,2,0,42
EDEU-OFFICE OF INNOVATION AND IMPROVEMENT,69,15,0,4,0,0,2,1,0,91,1,0,3,1,0,0,0,0,5,0,96
EDEV-OFFICE OF VOCATIONAL AND ADULT EDUCATION,82,7,2,0,0,0,3,0,0,94,0,1,3,1,1,1,0,0,7,0,101
EDEX-NATIONAL INSTITUTE FOR LITERACY,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,22,0,0,22,0,26
EDEY-ADVISORY COUNCILS AND COMMITTEES,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,25,0,0,25,0,33
EDEZ-NATIONAL ASSESSMENT GOVERNING BOARD,5,1,0,0,0,0,0,0,0,6,0,0,0,0,0,26,0,0,26,0,32
EE00-EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,1495,43,521,0,0,2,27,0,0,2088,80,6,13,1,5,2,0,0,107,0,2195
EO00-MORRIS K. UDALL SCHOLARSHIP AND EXCELLENCE IN NATIONAL ENVIRONMENTAL POLICY FOUNDATION,0,0,0,0,0,4,0,0,0,4,0,0,0,0,6,36,0,0,42,0,46
EP00-ENVIRONMENTAL PROTECTION AGENCY,14244,1102,1050,332,0,88,260,21,0,17097,62,119,214,40,10,701,0,0,1146,5,18248
EQ00-COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY,2,0,2,0,0,0,0,0,0,4,0,2,1,4,1,5,0,0,13,0,17
EW00-TRADE AND DEVELOPMENT AGENCY,20,15,3,0,0,4,3,0,0,45,0,1,0,0,1,1,0,0,3,0,48
FC00-FEDERAL COMMUNICATIONS COMMISSION,1213,52,476,20,0,14,27,0,0,1802,1,10,6,3,5,20,0,0,45,0,1847
FD00-FEDERAL DEPOSIT INSURANCE CORPORATION,3969,91,223,25,0,7,0,0,0,4315,29,26,44,2,4,131,0,0,236,0,4551
FI00-FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,4,2,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
FJ00-CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,14,9,0,6,0,5,1,0,0,35,0,1,0,0,5,0,0,0,6,0,41
FK00-FARM CREDIT SYSTEM INSURANCE CORPORATION,8,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
FL00-FARM CREDIT ADMINISTRATION,205,15,15,14,0,0,0,0,0,249,0,0,1,4,3,0,0,0,8,0,257
FM00-FEDERAL MEDIATION AND CONCILIATION SERVICE,60,4,3,0,0,193,0,0,0,260,1,0,0,0,1,0,0,0,2,0,262
FQ01-OFFICE OF THE DIRECTOR,576,188,7,0,0,1,0,0,0,772,48,0,10,0,1,0,0,0,59,0,831
FQ02-PRETRIAL SERVICES AGENCY,238,54,0,0,0,0,0,0,0,292,17,0,0,0,0,0,0,0,17,0,309
FT00-FEDERAL TRADE COMMISSION,336,84,506,0,0,2,26,6,0,960,63,6,19,4,5,9,2,0,108,0,1068
FW00-OFFICE OF SPECIAL COUNSEL,47,2,36,0,0,3,3,1,0,92,0,3,1,0,1,13,0,0,18,0,110
FY00-FEDERAL HOUSING FINANCE BOARD,83,30,8,0,0,0,0,0,0,121,1,0,3,4,4,0,0,0,12,0,133
GB00-OVERSEAS PRIVATE INVESTMENT CORPORATION,119,36,15,0,0,15,0,0,0,185,1,0,1,0,9,10,0,0,21,0,206
GE00-BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,0,0,0,0,0,2,0,1,0,3,0,0,0,0,1,6,0,0,7,0,10
GG00-OFFICE OF GOVERNMENT ETHICS,45,13,11,0,0,0,5,0,0,74,0,0,1,1,1,0,0,0,3,0,77
GJ00-PRESIDIO TRUST,0,0,0,0,0,263,0,0,0,263,0,0,0,0,0,69,0,0,69,0,332
GM00-VALLES CALDERA TRUST,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,28,0,0,28,0,38
GO00-VIETNAM EDUCATION FOUNDATION,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,7,0,0,8,0,9
GQ00-ELECTION ASSISTANCE COMMISSION,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,23,0,0,25,0,27
GS01-IMMEDIATE OFFICE OF THE ADMINISTRATOR,11,0,0,0,0,0,1,1,0,13,0,1,1,4,1,0,0,0,7,0,20
GS03-PUBLIC BUILDINGS SERVICE,5020,535,13,356,0,15,19,1,0,5959,8,14,44,1,0,3,0,0,70,0,6029
GS04-OFFICE OF CIVIL RIGHTS,7,0,1,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,10
GS10-OFFICE OF SMALL BUSINESS UTILIZATION,15,0,0,1,0,0,0,0,0,16,0,0,0,2,0,0,0,0,2,0,18
GS11-OFFICE OF THE CHIEF FINANCIAL OFFICER,505,37,0,43,0,0,4,0,0,589,1,0,0,0,0,0,0,0,1,0,590
GS12-OFFICE OF GENERAL COUNSEL,18,2,98,1,0,7,5,1,0,132,0,2,1,0,0,0,1,0,4,0,136
GS13-GSA BOARD OF CONTRACT APPEALS,13,2,8,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24
GS14-OFFICE OF THE CHIEF PEOPLE OFFICER,212,17,3,11,0,1,3,0,0,247,0,0,0,0,0,0,0,0,0,0,247
GS15-OFFICE OF INSPECTOR GENERAL,219,26,0,35,0,4,4,0,0,288,0,0,1,0,1,0,0,0,2,0,290
GS16-OFFICE OF THE CHIEF ACQUISITION OFFICER,55,1,1,0,0,0,2,1,0,60,0,0,0,3,0,0,0,0,3,0,63
GS19-OFFICE OF CITIZEN SERVICES AND COMMUNICATIONS,103,23,0,3,0,0,2,2,0,133,0,0,1,6,0,0,0,0,7,0,140
GS20-OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS,5,0,0,0,0,0,0,1,0,6,0,0,0,3,0,0,0,0,3,0,9
GS22-OFFICES OF THE REGIONAL ADMINISTRATORS,158,4,0,3,0,24,7,10,0,206,0,2,1,8,0,1,0,0,12,0,218
GS24-FEDERAL SUPPLY SERVICE,2493,180,11,113,0,8,7,0,0,2812,14,4,4,0,0,1,0,0,23,0,2835
GS26-OFFICE OF GOVERNMENTWIDE POLICY,121,3,1,1,0,0,6,0,0,132,0,0,7,0,0,0,0,0,7,0,139
GS27-FEDERAL TECHNOLOGY SERVICE,1115,100,4,32,0,2,5,0,0,1258,1,24,2,0,0,3,0,0,30,0,1288
GS28-OFFICE OF THE CHIEF INFORMATION OFFICER,99,10,0,0,0,0,4,0,0,113,0,0,0,0,0,0,0,0,0,0,113
GS30-FEDERAL ACQUISITION SERVICE,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GW00-INTERNATIONAL BOUNDARY AND WATER COMMISSION:  UNITED STATES AND MEXICO,0,0,0,0,0,221,0,0,0,221,0,2,6,0,0,9,0,0,17,0,238
GX00-INTERNATIONAL BOUNDARY COMMISSION:  UNITED STATES AND CANADA,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,8,0,12
GY00-INTERNATIONAL JOINT COMMISSION:  UNITED STATES AND CANADA,8,5,1,0,0,0,0,0,0,14,1,0,0,1,3,0,0,0,5,0,19
HB00-COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,18,1,3,0,0,1,1,0,0,24,2,1,0,0,3,1,0,0,7,0,31
HD00-U.S. HOLOCAUST MEMORIAL MUSEUM,181,30,1,0,0,2,0,0,0,214,2,0,0,0,0,3,0,0,5,0,219
HE10-OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,2080,446,362,55,0,99,76,26,30,3174,22,99,41,51,6,175,7,2,403,20,3597
HE11-PROGRAM SUPPORT CENTER,937,114,4,2,0,18,8,0,0,1083,11,9,34,0,0,17,0,0,71,5,1159
HE12-ADMINISTRATION ON AGING,80,17,0,0,0,0,3,0,0,100,1,0,0,2,0,3,0,0,6,0,106
HE31-OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,8,1,9
HE32-SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,374,58,4,7,0,2,14,0,1,460,1,0,1,2,0,69,0,0,73,1,534
HE33-AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,184,24,0,2,0,5,4,0,1,220,1,0,2,0,0,73,0,0,76,1,297
HE34-HEALTH RESOURCES AND SERVICES ADMINISTRATION,1057,135,1,80,0,6,27,0,2,1308,1,0,2,0,0,180,0,0,183,19,1510
HE35-AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY,185,7,0,0,0,3,0,0,1,196,0,0,0,0,0,16,0,0,16,0,212
HE36-FOOD AND DRUG ADMINISTRATION,7160,948,56,3,0,75,41,2,13,8298,172,19,185,2,0,2613,1,0,2992,25,11315
HE37-INDIAN HEALTH SERVICE,8261,1030,2670,0,0,147,19,0,5,12132,139,1040,2,1,0,31,0,0,1213,15,13360
HE38-NATIONAL INSTITUTES OF HEALTH,10119,2001,41,30,0,2073,60,0,0,14324,94,9,157,0,2,3131,0,0,3393,16,17733
HE39-CENTERS FOR DISEASE CONTROL AND PREVENTION,5736,867,27,60,0,106,29,1,21,6847,46,7,35,0,0,815,0,0,903,18,7768
HE70-CENTERS FOR MEDICARE & MEDICAID SERVICES,3465,802,20,43,0,45,51,5,10,4441,16,1,13,6,1,130,1,0,168,25,4634
HE90-ADMINISTRATION FOR CHILDREN AND FAMILIES,1012,177,6,7,0,7,10,10,6,1235,3,4,3,10,2,15,0,0,37,0,1272
HP00-ADVISORY COUNCIL ON HISTORIC PRESERVATION,0,0,0,0,0,37,1,0,0,38,0,0,0,0,8,5,0,0,13,0,51
HS**-UNSPECIFIED,20,14,0,0,0,0,5,1,0,40,0,0,0,1,0,1,0,0,2,0,42
HSAA-DHS HEADQUARTERS,552,393,55,2,0,13,34,23,0,1072,4,22,13,74,6,21,7,0,147,0,1219
HSAB-BUREAU OF CITIZENSHIP AND IMMIGRATION SERVICES,5626,1511,130,176,0,128,11,5,0,7587,787,6,138,4,1,87,0,0,1023,0,8610
HSAC-U.S. COAST GUARD,5321,1580,86,22,0,167,8,0,1,7185,223,11,57,0,0,52,0,0,343,0,7528
HSAD-U.S. SECRET SERVICE,4858,229,3,0,0,22,43,0,0,5155,13,3,1317,0,0,6,0,0,1339,0,6494
HSAE-OFFICE OF THE INSPECTOR GENERAL,390,50,9,23,0,1,9,0,0,482,0,0,10,0,1,35,0,0,46,0,528
HSBA-US-VISIT,65,33,0,0,0,0,3,0,0,101,1,0,0,0,0,0,0,0,1,0,102
HSBB-BUREAU OF IMMIGRATION AND CUSTOMS ENFORCEMENT,12276,587,607,634,0,264,36,1,0,14405,18,10,681,5,1,67,0,0,782,0,15187
HSBC-TRANSPORTATION SECURITY ADMINISTRATION,0,0,0,0,0,55624,0,0,0,55624,0,0,0,0,7,361,0,0,368,0,55992
HSBD-BUREAU OF CUSTOMS AND BORDER PROTECTION,34169,2770,247,5124,0,410,68,1,0,42789,96,58,188,7,1,73,2,0,425,0,43214
HSBE-FEDERAL LAW ENFORCEMENT TRAINING CENTER,776,161,0,9,0,12,8,0,0,966,49,102,5,0,0,31,0,0,187,0,1153
HSCB-FEDERAL EMERGENCY MANAGEMENT AGENCY,1550,424,194,0,0,16,22,12,0,2218,95,75,40,6,1,25104,2,2,25325,0,27543
HSDA-DOMESTIC NUCLEAR DETECTION OFFICE,427,270,4,0,0,11,12,7,0,731,24,3,1,21,2,7,0,0,58,0,789
HSFA-OFFICE OF THE UNDER SECRETARY FOR SCIENCE AND TECHNOLOGY,168,35,0,0,0,8,3,1,0,215,7,1,0,1,1,8,1,0,19,0,234
HT00-HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,1,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4
HU**-UNSPECIFIED,88,17,0,2,0,1,3,0,0,111,0,0,1,0,0,0,0,0,1,0,112
HU01-OFFICE OF THE SENIOR COORDINATOR FOR NEW ENGLAND,232,5,19,0,0,1,0,0,0,257,0,3,6,1,0,0,0,0,10,0,267
HU02-OFFICE OF THE SENIOR COORDINATOR FOR NEW YORK/NEW JERSEY,443,15,23,0,0,4,0,1,0,486,1,0,7,1,0,0,0,0,9,0,495
HU03-OFFICE OF THE SENIOR COORDINATOR FOR MID-ATLANTIC,571,25,26,3,0,0,0,1,0,626,1,0,8,1,0,0,0,0,10,0,636
HU04-OFFICE OF THE SENIOR COORDINATOR FOR SOUTHEAST/CARIBBEAN,979,32,39,9,0,7,2,1,0,1069,1,0,26,2,0,0,0,0,29,0,1098
HU05-OFFICE OF THE SENIOR COORDINATOR FOR MIDWEST,675,31,38,2,0,0,1,1,0,748,0,0,12,0,0,0,0,0,12,0,760
HU06-OFFICE OF THE SENIOR COORDINATOR FOR SOUTHWEST,583,28,27,2,0,3,1,1,0,645,0,0,6,1,0,0,0,0,7,0,652
HU07-OFFICE OF THE SENIOR COORDINATOR FOR GREAT PLAINS,186,5,14,0,0,2,0,0,0,207,0,0,6,1,0,0,0,0,7,0,214
HU08-OFFICE OF THE SENIOR COORDINATOR FOR ROCKY MOUNTAINS,338,30,14,4,0,3,0,1,0,390,0,0,6,0,0,0,0,0,6,0,396
HU09-OFFICE OF THE SENIOR COORDINATOR FOR PACIFIC/HAWAII,549,44,21,1,0,3,0,1,0,619,0,0,15,0,0,1,0,0,16,0,635
HU10-OFFICE OF THE SENIOR COORDINATOR FOR NORTHWEST/ALASKA,204,7,8,0,0,0,0,0,0,219,0,0,2,1,0,0,0,0,3,0,222
HUAA-OFFICE OF THE SECRETARY OF HOUSING AND URBAN DEVELOPMENT,20,1,1,0,0,1,1,4,0,28,1,1,9,7,2,4,0,0,24,0,52
HUBB-ASSISTANT SECRETARY FOR ADMINISTRATION,261,16,3,2,0,5,5,1,0,293,1,4,1,5,1,1,0,0,13,0,306
HUCC-OFFICE OF GENERAL COUNSEL,192,2,141,1,0,4,11,1,0,352,1,9,7,3,1,0,0,0,21,0,373
HUDD-ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,173,24,10,0,0,4,6,0,0,217,0,0,17,7,1,0,0,0,25,0,242
HUEE-ASSISTANT SECRETARY FOR FAIR HOUSING AND EQUAL OPPORTUNITY,105,4,1,0,0,0,3,0,0,113,0,1,2,0,1,0,0,0,4,0,117
HUFF-OFFICE OF THE CHIEF FINANCIAL OFFICER,147,11,4,4,0,0,4,0,0,170,0,1,5,0,1,1,0,0,8,0,178
