,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Non-permanent,Unspecified,Type of Appointment - All
DD06-DEFENSE SECURITY COOPERATION AGENCY,120,10,2,0,0,0,5,0,0,137,0,0,1,0,0,0,0,0,1,0,138
DD07-DEFENSE LOGISTICS AGENCY,19891,1120,170,54,0,439,24,0,0,21698,238,276,122,0,0,214,0,0,850,0,22548
DD08-US COURT APLS ARMED FORCES,14,0,7,0,1,19,1,0,0,42,0,0,0,0,3,7,0,0,10,0,52
DD09-AMERICAN FORCES INFORMATION SERVICE,246,11,2,0,0,3,2,0,0,264,3,1,6,1,0,0,0,0,11,0,275
DD10-DEFENSE CONTRACT AUDIT AGENCY,3365,593,8,94,0,5,14,0,0,4079,3,0,34,0,0,1,0,0,38,0,4117
DD12-DEFENSE SECURITY SERVICE,2230,248,26,36,0,16,5,0,0,2561,46,17,2,0,0,0,0,0,65,0,2626
DD13-DEFENSE ADVANCED RESEARCH PROJECTS AGCY,90,1,2,0,0,1,12,1,0,107,19,1,0,0,0,35,0,0,55,0,162
DD16-DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,799,109,5461,1,0,4424,6,0,0,10800,59,4764,10,1,0,1480,0,0,6314,0,17114
DD21-WASHINGTON HEADQUARTERS SERVICES,907,113,36,12,0,6,17,1,0,1092,5,16,32,17,0,18,3,0,91,0,1183
DD23-OFFICE OF ECONOMIC ADJUSTMENT,24,2,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,27
DD25-DEFENSE LEGAL SERVICES AGENCY,38,9,39,0,0,10,1,0,0,97,8,3,0,0,0,0,0,0,11,0,108
DD26-OFFICE OF THE INSPECTOR GENERAL,635,191,12,306,0,23,12,0,0,1179,0,4,16,1,1,1,0,0,23,0,1202
DD27-MISSILE DEFENSE AGENCY,379,51,16,1,0,5,16,0,0,468,0,0,1,0,0,7,0,0,8,0,476
DD34-DEFENSE COMMISSARY AGENCY,10005,2183,27,10,0,61,4,0,1,12291,1027,921,860,0,0,32,0,0,2840,2,15133
DD35-DEFENSE FINANCE AND ACCOUNTING SERVICE,13346,702,57,134,0,62,22,0,0,14323,326,139,40,0,0,7,0,0,512,0,14835
DD48-DEFENSE HUMAN RESOURCES ACTIVITY,603,49,2,5,0,2,10,0,0,671,0,1,0,0,0,0,0,1,2,0,673
DD58-DEFENSE POW/MISSING PERSONNEL OFFICE,16,8,34,0,0,2,1,0,0,61,0,0,0,1,0,0,0,0,1,0,62
DD60-TRICARE MANAGEMENT ACTIVITY,218,18,14,1,0,1,4,0,0,256,13,1,2,0,0,0,1,0,17,0,273
DD61-DEFENSE THREAT REDUCTION AGENCY,790,123,15,1,0,3,13,0,0,945,20,11,25,0,0,2,1,0,59,0,1004
DD63-DEFENSE CONTRACT MANAGEMENT AGENCY,10608,532,96,23,0,45,9,0,1,11314,27,2,21,0,0,6,0,0,56,0,11370
"DJ01-OFFICES, BOARDS AND DIVISIONS",2616,442,2279,10,0,343,163,46,0,5899,245,210,207,47,18,13,1,0,741,0,6640
DJ02-FEDERAL BUREAU OF INVESTIGATION,0,0,0,0,0,26443,168,0,0,26611,0,0,0,0,0,257,0,0,257,0,26868
DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,26060,6779,163,31,0,563,60,1,1,33658,57,16,80,0,0,4,0,0,157,0,33815
DJ04-IMMIGRATION AND NATURALIZATION SERVICE,23343,7296,607,101,0,1143,37,3,0,32530,1963,139,630,1,1,201,4,0,2939,0,35469
DJ06-DRUG ENFORCEMENT ADMINISTRATION,6642,405,357,1014,0,126,67,0,0,8611,15,11,29,1,1,1,0,0,58,0,8669
DJ07-OFFICE OF JUSTICE PROGRAMS,582,99,32,0,0,4,16,3,0,736,23,3,7,12,6,0,0,0,51,0,787
DJ08-U.S. MARSHALS SERVICE,3462,281,14,32,1,237,9,0,0,4036,7,0,0,1,18,74,0,0,100,0,4136
DJ09-EXEC OFC US ATTORNEY AND OFF US ATTORNEY,4414,794,53,20,0,4575,5,1,0,9862,125,13,554,16,84,526,0,0,1318,0,11180
DJ10-OFFICE OF THE INSPECTOR GENERAL,321,46,10,1,0,5,6,0,0,389,0,4,21,0,1,3,0,0,29,0,418
DJ11-U.S. TRUSTEE PROGRAM,124,17,188,611,0,130,3,1,0,1074,3,19,0,0,0,3,0,0,25,0,1099
DJ12-EXECUTIVE OFFICE FOR IMMIGRATION REVIEW,609,89,338,2,0,42,6,0,0,1086,7,31,45,0,0,15,0,0,98,0,1184
DJ14-COMMUNITY RELATIONS SERVICE,38,10,0,0,0,1,0,0,0,49,0,0,0,0,1,0,0,0,1,0,50
DLAA-OFFICE OF SECRETARY OF LABOR,205,6,91,0,0,7,0,8,0,317,0,34,12,28,2,6,0,0,82,0,399
DLAM-OFC ASST SEC ADM AND MANAGEMENT,643,47,8,9,0,4,9,0,0,720,10,2,34,3,0,7,0,0,56,0,776
DLBL-BUREAU OF INTERNATIONAL LABOR AFFAIRS,65,18,4,2,0,1,2,2,0,94,4,0,1,2,0,3,0,0,10,0,104
DLCA-OFC OF CONGRESSIONAL & INTERGOV AFFAIRS,7,0,0,0,0,0,0,2,0,9,0,0,1,20,1,0,0,0,22,0,31
DLCF-OFFICE OF THE CHIEF FINANCIAL OFFICER,71,5,0,2,0,0,2,0,0,80,0,0,1,3,1,0,0,0,5,0,85
DLEH-OFFICE OF DISABILITY EMPLOYMENT POLICY,22,7,4,0,0,0,0,1,0,34,0,5,2,6,1,1,0,0,15,0,49
DLES-EMPLOYMENT STANDARDS ADMINISTRATION,3490,438,11,10,0,19,20,4,1,3993,19,6,27,6,2,11,0,0,71,0,4064
DLET-EMPLOYMENT AND TRAINING ADMINISTRATION,1054,170,3,10,0,11,16,2,0,1266,15,4,18,4,1,1,0,0,43,0,1309
DLIG-OFFICE OF THE INSPECTOR GENERAL,351,52,7,1,0,7,3,0,0,421,0,0,6,1,1,1,0,0,9,0,430
DLLS-BUREAU OF LABOR STATISTICS,2040,558,2,4,0,3,16,0,0,2623,14,0,19,0,1,1,0,0,35,0,2658
DLMS-MINE SAFETY AND HEALTH ADMINISTRATION,1849,291,0,3,0,5,10,1,0,2159,1,0,2,2,1,2,0,0,8,0,2167
DLNS-NATIONAL SKILL STANDARDS BOARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,7
DLPA-OFFICE OF PUBLIC AFFAIRS,31,2,0,0,0,0,0,0,0,33,0,0,1,7,1,0,1,0,10,1,44
DLPE-OFC OF ASST SEC FOR POLICY,34,5,0,0,0,0,2,0,0,41,0,0,1,5,1,0,0,0,7,0,48
DLPW-PENSION AND WELFARE BENEFITS ADMIN,614,197,3,33,0,9,14,1,0,871,3,1,12,2,0,14,0,0,32,0,903
DLSH-OCCUPATIONAL SAFETY AND HEALTH ADM,1917,282,3,7,0,6,18,1,0,2234,0,0,11,4,1,7,0,0,23,0,2257
DLSL-OFFICE OF THE SOLICITOR,170,15,440,1,0,3,21,1,0,651,4,7,3,1,1,3,0,0,19,0,670
DLVE-VETERANS EMPLOYMENT AND TRAINING SER,193,25,0,0,0,10,1,1,0,230,4,0,4,3,1,1,0,0,13,0,243
DLWB-WOMEN'S BUREAU,55,4,0,0,0,0,0,0,0,59,0,0,0,2,0,0,0,0,2,1,62
DN00-DEPARTMENT OF ENERGY,12614,1669,447,134,0,429,402,31,1,15727,51,23,89,65,19,123,20,0,390,4,16121
EB-EXPORT-IMPORT BANK OF THE UNITED STATES,289,70,22,0,0,1,0,0,0,382,0,3,3,11,4,0,0,0,21,0,403
EC-OFFICE OF ADMINISTRATION,104,22,66,0,0,8,0,0,0,200,0,1,0,0,0,1,0,0,2,0,202
EDEA-IMM OFC OF SEC OF EDUCATION,65,10,1,0,0,0,1,7,0,84,0,1,3,44,1,6,0,0,55,0,139
EDEB-OFC OF THE DEPUTY SECRETARY OF EDUCATION,4,1,0,0,0,0,2,1,0,8,0,1,0,8,1,2,0,0,12,0,20
EDEC-OFFICE FOR CIVIL RIGHTS,460,23,160,2,0,21,3,2,0,671,3,4,28,4,1,5,0,0,45,0,716
EDEE-OFFICE OF THE UNDER SECRETARY (OUS),96,13,4,0,0,0,8,1,0,122,1,0,2,7,1,3,0,0,14,0,136
EDEF-OFFICE OF INSPECTOR GENERAL,223,42,2,0,0,1,6,0,0,274,0,0,3,0,0,0,0,0,3,0,277
EDEG-OFFICE OF THE GENERAL COUNSEL,24,2,52,0,0,19,6,2,0,105,0,1,1,1,1,0,0,0,4,0,109
EDEH-OFF OF SPEC ED AND REHAB SERV,262,34,43,0,0,8,4,3,0,354,0,4,4,3,2,2,0,0,15,0,369
EDEI-OFFICE OF THE CHIEF INFORMATION OFFICER,94,12,0,0,0,1,4,0,0,111,0,0,1,0,0,0,0,0,1,0,112
EDEJ-OFC OF LEGIS AND CONGRESSIONAL AFFAIRS,14,0,0,0,0,0,0,0,0,14,0,0,0,5,0,0,0,0,5,0,19
EDEK-OFC OF INTERGOV AND INTERAGENCY AFFAIRS,62,16,0,0,0,0,2,0,0,80,0,0,1,24,3,0,0,0,28,0,108
EDEL-OFFICE OF THE CHIEF FINANCIAL OFFICER,231,25,1,1,0,0,4,0,0,262,1,0,15,3,1,2,0,0,22,0,284
EDEM-OFFICE OF MANAGEMENT,165,10,10,0,0,1,4,2,0,192,4,0,1,2,1,6,0,0,14,0,206
EDEN-OFC OF STUDENT FINANCIAL ASSISTANCE PROG,1008,75,2,1,0,23,8,0,0,1117,1,0,22,0,0,5,0,0,28,0,1145
EDEP-OFFICE OF POSTSECONDARY EDUCATION,191,20,0,0,0,0,1,2,0,214,1,0,2,4,15,51,0,0,73,0,287
EDER-OFC OF ED RES AND IMPROVEMENT,252,11,2,0,0,0,6,0,0,271,1,0,5,1,1,26,0,0,34,0,305
EDES-OFC OF ELEM AND SEC ED,196,43,13,0,2,0,5,0,0,259,0,0,4,10,12,3,0,0,29,0,288
EDET-OFFICE OF ENGLISH LANGUAGE ACQUISITION,33,9,0,0,0,0,0,1,0,43,2,0,0,3,0,0,0,0,5,0,48
EDEV-OFFICE OF VOCATIONAL AND ADULT EDUCATION,86,17,3,0,0,0,4,1,0,111,0,1,1,3,1,4,0,0,10,0,121
EDEX-NATIONAL INSTITUTE FOR LITERACY,4,0,0,0,0,0,0,0,0,4,1,0,0,0,7,8,0,0,16,0,20
EDEY-ADVISORY COUNCILS AND COMMITTEES,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,23,0,0,23,0,31
EDEZ-NATIONAL ASSESSMENT GOVERNING BOARD,4,2,0,0,0,1,0,0,0,7,0,0,0,0,0,27,0,0,27,0,34
EE-EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,1935,165,583,0,0,12,39,2,0,2736,3,9,19,4,3,0,2,0,40,0,2776
EM-FEDERAL EMERGENCY MANAGEMENT AGENCY,1662,272,200,1,0,17,31,19,0,2202,123,36,30,15,4,6184,1,0,6393,0,8595
EO-MORRIS K UDALL SCHOLARSHIP...FOUNDATION,0,0,0,0,0,6,0,0,0,6,0,0,0,0,2,24,0,0,26,0,32
EP-ENVIRONMENTAL PROTECTION AGENCY,14865,1179,1029,81,0,74,246,21,0,17495,71,97,276,35,10,753,3,0,1245,0,18740
EQ-COUNCIL ON ENVIR QUAL/OFC OF ENVIR QUAL,0,3,5,0,0,7,0,0,0,15,0,0,1,4,1,0,0,0,6,0,21
EW-TRADE AND DEVELOPMENT AGENCY,20,13,3,0,0,2,2,0,0,40,0,1,0,2,1,0,0,0,4,0,44
EX-EXECUTIVE RESIDENCE AT THE WHITE HOUSE,0,0,0,0,0,17,0,0,0,17,0,31,0,0,0,43,0,0,74,0,91
FC-FEDERAL COMMUNICATIONS COMMISSION,1209,211,515,30,0,15,37,7,0,2024,1,2,4,2,4,15,0,0,28,0,2052
FD-FEDERAL DEPOSIT INSURANCE CORPORATION,5264,194,276,50,0,11,0,0,0,5795,32,10,59,5,3,2,0,0,111,0,5906
FI-FEDERAL FINANCIAL INST. EXAM. COUNCIL,6,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
FJ-CHEMICAL SAFETY/HAZARD INVESTIGATION BD,0,1,0,0,0,21,1,0,0,23,0,1,0,1,2,3,0,0,7,1,31
FK-FARM CREDIT SYSTEM INSURANCE CORPORATION,8,0,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,10
FL-FARM CREDIT ADMINISTRATION,239,1,14,2,0,0,0,0,0,256,0,0,0,9,4,9,0,0,22,0,278
FM-FED MEDIATION AND CONCILIATION SERVICE,62,6,3,0,0,210,1,0,0,282,1,0,0,0,1,1,0,0,3,0,285
FQ-COURT SERVICES AND OFFENDR SUPERVSN AGY,0,0,882,0,0,10,0,0,0,892,0,18,3,0,1,1,0,0,23,0,915
FT-FEDERAL TRADE COMMISSION,357,81,482,0,0,5,29,7,0,961,64,16,22,5,5,36,0,0,148,0,1109
FW-OFFICE OF SPECIAL COUNSEL,50,5,36,0,0,2,5,1,0,99,0,0,5,1,1,1,0,0,8,0,107
FY-FEDERAL HOUSING FINANCE BOARD,74,17,10,0,0,0,0,0,0,101,0,1,2,5,3,3,0,0,14,0,115
GB-OVERSEAS PRIVATE INVESTMENT CORPORATION,121,31,9,0,0,17,0,0,0,178,0,0,5,0,3,17,0,0,25,0,203
GE-BARRY GOLDWATER SCHOL & EXCEL IN ED FOUN,0,0,0,0,0,2,0,1,0,3,0,0,0,0,1,7,0,0,8,0,11
GG-OFFICE OF GOVERNMENT ETHICS,51,5,11,0,0,0,5,0,0,72,0,0,1,1,1,1,0,0,4,0,76
GJ-PRESIDIO TRUST,0,0,0,0,0,291,0,0,0,291,0,0,0,0,0,73,0,0,73,0,364
GN-WHITE HOUSE CMSN ON NAT MOMENT REMEMBRAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
GS-GENERAL SERVICES ADMINISTRATION,12239,1115,184,375,0,80,84,18,1,14096,70,25,41,20,2,30,2,0,190,0,14286
GW-INTERNAT BOUNDARY & WATER CMSN: US & MEX,214,21,1,0,0,3,0,0,0,239,22,0,19,1,1,0,0,0,43,0,282
GX-INTERNAT BOUNDARY CMSN: U.S. AND CANADA,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,9,0,12
GY-INTERNATIONAL JOINT CMSN: U.S. & CANADA,9,2,1,0,0,1,0,0,0,13,2,0,0,1,1,0,0,0,4,0,17
HB-CMTE FOR PURCH FRM PPLE BLIND OR SEV DIS,17,7,3,0,3,0,1,0,0,31,0,0,0,0,3,5,0,0,8,0,39
HD-U.S. HOLOCAUST MEMORIAL MUSEUM,171,45,0,0,0,8,0,0,0,224,2,0,0,0,0,0,0,0,2,0,226
HE**-UNSPECIFIED,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3
HE10-OFC SEC HEALTH AND HUMAN SERVICES,2143,616,337,11,0,66,66,19,0,3258,31,5277,41,45,3,202,9,0,5608,3,8869
HE11-PROGRAM SUPPORT CENTER,866,104,5,0,0,9,7,0,5,996,29,21,45,0,0,14,1,0,110,1,1107
HE32-SUBSTANCE ABUSE & MENTAL HEALTH SERV ADM,407,56,4,5,0,4,9,0,1,486,0,0,8,0,1,80,1,0,90,2,578
HE33-AGY FOR HEALTHCARE RESEARCH AND QUALITY,181,40,0,0,0,10,3,0,4,238,4,0,12,0,0,52,0,0,68,3,309
HE34-HEALTH RESOURCES AND SERVICES ADM,1233,247,22,7,0,50,17,0,4,1580,12,1,10,0,0,55,0,0,78,0,1658
HE35-AGY FOR TOXIC SUBSTANCES AND DISEASE REG,288,62,1,1,0,3,2,0,1,358,1,0,3,0,0,50,0,0,54,0,412
HE36-FOOD AND DRUG ADMINISTRATION,6955,1818,86,3,0,97,49,4,0,9012,78,16,155,0,0,2267,2,0,2518,2,11532
HE37-INDIAN HEALTH SERVICE,7918,1116,3075,2,0,66,17,0,32,12226,200,1271,15,1,0,99,0,0,1586,22,13834
HE38-NATIONAL INSTITUTES OF HEALTH,10331,2440,70,25,0,184,114,1,23,13188,297,16,455,0,2,4352,1,0,5123,7,18318
HE39-CENTERS FOR DISEASE CONTROL AND PREVENTN,5472,1250,60,12,0,116,23,1,53,6987,78,17,209,0,1,803,2,0,1110,7,8104
HE70-CENTERS FOR MEDICARE & MEDICAID SERVICES,3615,683,52,76,0,60,39,7,22,4554,9,3,54,2,1,138,2,0,209,0,4763
HE90-ADMINISTRATION FOR CHILDREN AND FAMILIES,1246,129,9,0,0,5,9,10,0,1408,3,0,8,7,0,10,0,0,28,0,1436
HP-ADV COUNCIL ON HISTORIC PRESERVATION,0,0,0,0,1,31,1,0,0,33,0,0,0,0,8,6,0,0,14,0,47
HT-HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,1,1,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4
HU**-UNSPECIFIED,92,26,5,0,0,3,0,1,0,127,0,1,1,3,1,4,0,0,10,0,137
HU01-OFC OF SR COORD FOR NEW ENGLAND,227,20,17,5,0,0,0,1,0,270,2,9,4,0,0,0,0,0,15,0,285
HU02-OFC OF SR COORD FOR NEW YORK/NEW JERSEY,504,32,19,5,0,3,0,1,0,564,3,2,9,1,0,1,0,0,16,0,580
HU03-OFC OF SR COORD FOR MID-ATLANTIC,561,55,19,9,0,0,0,1,0,645,5,5,21,1,0,0,0,0,32,0,677
HU04-OFC OF SR COORD FOR SOUTHEAST/CARIBBEAN,1057,77,33,4,0,4,1,1,0,1177,11,8,40,1,0,0,0,0,60,0,1237
HU05-OFC OF SR COORD FOR MIDWEST,725,44,36,10,0,0,1,1,0,817,8,5,15,1,0,0,0,0,29,0,846
HU06-OFC OF SR COORD FOR SOUTHWEST,607,37,22,4,0,1,1,1,0,673,9,6,20,0,0,2,0,0,37,0,710
HU07-OFC OF SR COORD FOR GREAT PLAINS,201,16,9,7,0,1,0,0,0,234,1,3,7,1,0,0,0,0,12,0,246
HU08-OFC OF SR COORD FOR ROCKY MOUNTAINS,401,26,15,3,0,3,0,0,0,448,1,1,1,1,0,0,0,0,4,0,452
HU09-OFC OF SR COORD FOR PACIFIC/HAWAII,583,59,19,4,0,3,1,0,0,669,4,4,9,0,0,0,0,0,17,0,686
HU10-OFC OF SR COORD FOR NORTHWEST/ALASKA,192,17,8,3,0,0,0,0,0,220,0,3,4,1,0,0,0,0,8,0,228
HUAA-OFFICE OF THE SECRETARY OF HUD,18,8,2,0,0,1,1,6,0,36,1,1,3,4,2,2,0,0,13,0,49
HUBB-ASSISTANT SECRETARY FOR ADMINISTRATION,532,47,5,19,0,3,12,0,0,618,4,10,35,11,1,2,0,0,63,0,681
HUCC-OFFICE OF GENERAL COUNSEL,204,21,144,3,0,8,13,1,0,394,0,25,11,1,1,0,1,0,39,0,433
HUDD-ASST SEC FOR CMNTY PLAN AND DEVELOPMENT,189,31,11,6,0,1,6,2,0,246,1,7,6,6,1,7,0,0,28,0,274
HUEE-ASST SEC FOR FAIR HOUS AND EQUAL OPPOR,133,11,3,14,0,0,5,0,0,166,0,0,3,0,0,2,0,0,5,0,171
HUFF-OFFICE OF THE CHIEF FINANCIAL OFFICER,134,7,4,3,0,1,4,0,0,153,0,0,4,2,1,0,0,0,7,0,160
HUGG-OFFICE OF INSPECTOR GENERAL,573,40,4,5,0,0,8,0,0,630,0,1,1,0,1,0,0,0,3,0,633
HUII-OFC OF DEPARTMENTAL OPERATIONS AND COORD,85,14,3,0,0,1,1,0,0,104,0,0,1,1,0,2,0,0,4,0,108
HUJJ-ASST SEC FOR CONGR & INTERGOV RELATIONS,9,3,0,0,0,0,0,1,0,13,0,0,0,12,0,0,0,0,12,0,25
HULL-OFC OF HEALTHY HOMES & LEAD HAZRD CONTRL,18,11,0,1,0,0,2,0,0,32,0,1,2,0,0,0,0,0,3,0,35
HUMM-ASST SEC FOR HOUSING--FED HOUSING CMSNR,567,35,7,6,0,2,7,2,0,626,9,1,45,2,2,75,0,0,134,0,760
HUPP-ASST SEC FOR PUB AND INDIAN HOUSING,672,63,8,9,0,5,10,0,0,767,0,3,9,2,1,0,0,0,15,0,782
HURR-ASST SEC FOR POLICY DEV AND RES,82,18,3,3,0,0,1,0,0,107,0,2,1,3,0,3,0,0,9,0,116
HUTT-GOVERNMENT NATIONAL MORTGAGE ASSOCIATION,47,9,0,0,0,0,6,0,0,62,0,0,0,1,1,2,0,0,4,0,66
HUWW-ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,7,3,0,0,0,0,0,1,0,11,0,0,0,7,1,1,0,0,9,0,20
IB-BROADCASTING BOARD OF GOVERNORS,1280,240,16,84,0,155,10,4,0,1789,18,5,14,3,4,76,3,0,123,0,1912
IF-INTER-AMERICAN FOUNDATION,25,14,2,1,0,1,0,0,0,43,1,1,0,0,1,0,0,0,3,0,46
IN01-OFFICE OF THE SECRETARY OF THE INTERIOR,1599,194,129,6,0,64,41,21,0,2054,8,31,49,23,7,5,5,0,128,0,2182
IN05-BUREAU OF LAND MANAGEMENT,8059,1588,16,236,0,28,14,1,0,9942,706,1170,301,1,1,168,3,0,2350,0,12292
IN06-INDIAN AFFAIRS,4484,134,1388,6,0,136,21,0,0,6169,33,577,6,0,0,4170,0,0,4786,0,10955
IN07-BUREAU OF RECLAMATION,4735,641,13,83,0,7,15,1,0,5495,179,16,133,2,6,7,1,0,344,0,5839
IN08-GEOLOGICAL SURVEY,7602,760,16,296,0,10,25,0,0,8709,791,213,537,0,1,39,0,0,1581,0,10290
IN10-NATIONAL PARK SERVICE,13449,2765,103,193,0,203,24,1,0,16738,5661,272,1190,4,1,235,0,0,7363,0,24101
IN15-U.S. FISH AND WILDLIFE SERVICE,6830,1388,23,100,0,86,22,1,0,8450,772,315,194,2,1,14,0,0,1298,0,9748
IN21-OFFICE OF THE SOLICITOR,78,16,251,1,0,0,8,7,0,361,3,37,4,1,1,0,0,0,46,0,407
"IN22-OFC OF SURFACE MINING, RECL AND ENFORC",551,46,0,4,0,1,5,0,0,607,2,1,5,0,1,0,0,0,9,0,616
IN23-MINERALS MANAGEMENT SERVICE,1553,122,4,13,0,0,8,1,0,1701,3,1,40,2,0,0,1,0,47,0,1748
IN24-OFFICE OF THE INSPECTOR GENERAL,214,31,5,0,0,0,7,0,0,257,0,0,2,0,1,0,0,0,3,0,260
KS-CORP FOR NATIONAL AND COMMUNITY SERVICE,118,0,0,0,0,79,3,0,0,200,0,0,0,0,2,403,0,0,405,0,605
LF-FEDERAL ELECTION COMMISSION,0,0,0,3,0,346,0,0,0,349,0,0,0,0,0,25,0,0,25,0,374
LP-GOVERNMENT PRINTING OFFICE,2596,338,12,8,0,32,0,0,0,2986,7,4,2,0,0,20,0,0,33,0,3019
LT-U.S. TAX COURT,110,10,7,0,0,11,0,0,0,138,0,49,1,21,0,8,0,0,79,0,217
MA-MARINE MAMMAL COMMISSION,5,2,1,0,0,2,0,0,0,10,0,0,0,0,1,10,0,0,11,0,21
MC-FEDERAL MARITIME COMMISSION,86,8,22,0,0,0,6,0,0,122,0,1,0,2,3,2,0,0,8,0,130
NF-NATIONAL SCIENCE FOUNDATION,603,126,0,7,0,266,78,0,1,1081,2,1,27,0,18,154,3,0,205,0,1286
NK-NATIONAL COUNCIL ON DISABILITY,5,2,3,0,0,2,0,0,0,12,0,0,0,0,6,7,0,0,13,0,25
NL-NATIONAL LABOR RELATIONS BOARD,1042,126,838,25,0,13,53,2,0,2099,4,17,125,0,5,5,2,0,158,0,2257
NM-NATIONAL MEDIATION BOARD,24,12,5,1,0,1,1,0,0,44,0,0,3,2,2,0,0,0,7,0,51
NN-NAT AERONAUTICS AND SPACE ADMINISTRATION,16114,1628,125,223,0,37,389,4,0,18520,162,18,61,6,2,90,7,0,346,0,18866
NP-NATIONAL CAPITAL PLANNING COMMISSION,27,18,2,0,0,1,3,0,0,51,0,0,1,0,5,0,0,0,6,0,57
NQ-NAT ARCHIVES AND RECORDS ADMINISTRATION,1957,657,90,2,0,5,12,0,0,2723,38,13,270,1,1,6,0,0,329,0,3052
NS-NATIONAL SECURITY COUNCIL,1,0,56,0,0,0,0,0,0,57,0,3,0,0,1,0,0,0,4,0,61
NU-NUCLEAR REGULATORY COMMISSION,0,0,0,1,0,2723,148,0,0,2872,0,0,3,0,5,140,1,0,149,0,3021
NV08-IMMEDIATE OFC OF SEC OF NAVY,262,11,57,0,0,2,27,6,0,365,0,0,1,4,7,0,1,0,13,0,378
NV09-NAVY STAFF OFFICES,116,8,8,0,0,1,4,0,0,137,0,0,2,0,0,0,0,0,2,0,139
NV10-NAVY FIELD OFFICES,1796,221,1497,34,0,199,13,0,0,3760,10,35,22,0,0,1,2,0,70,0,3830
NV11-IMM OFC OF CHIEF OF NAVAL OPERATIONS,3640,458,500,15,0,400,21,0,0,5034,99,511,76,0,0,145,2,0,833,1,5868
NV14-OFFICE OF NAVAL RESEARCH,2500,344,49,30,0,8,45,0,0,2976,5,18,118,0,0,14,0,0,155,0,3131
NV15-NAVAL INTELLIGENCE COMMAND,0,0,1,0,0,1036,0,0,0,1037,0,0,0,0,0,32,0,0,32,0,1069
NV18-NAVAL MEDICAL COMMAND,8023,1418,134,1,0,238,1,0,0,9815,178,366,129,0,6,9,0,0,688,0,10503
NV19-NAVAL AIR SYSTEMS COMMAND,21922,2999,85,178,0,515,43,0,0,25742,128,15,109,0,0,8,0,0,260,0,26002
NV22-BUREAU OF NAVAL PERSONNEL,1227,118,3,1,0,87,2,0,0,1438,69,0,4,0,0,0,0,0,73,0,1511
NV23-NAVAL SUPPLY SYSTEMS COMMAND,6908,263,53,38,0,66,7,0,0,7335,54,9,8,0,0,0,0,0,71,0,7406
NV24-NAVAL SEA SYSTEMS COMMAND,38833,5132,132,1429,0,597,68,0,6,46197,110,37,127,0,0,5,2,0,281,0,46478
NV25-NAVAL FACILITIES ENGINEERING COMMAND,11163,652,94,33,0,71,9,0,0,12022,147,12,50,0,0,1,0,0,210,0,12232
NV27-U.S. MARINE CORPS,11101,1003,56,22,0,205,14,0,0,12401,759,162,68,0,0,12,0,1,1002,0,13403
NV30-SPECIAL PROJECTS OFFICE,711,49,11,1,0,9,6,0,0,787,2,0,1,0,0,0,0,0,3,0,790
NV33-MILITARY SEALIFT COMMAND,866,96,3923,2,0,18,2,0,0,4907,35,36,29,0,0,0,0,0,100,0,5007
NV39-NAVAL SPACE AND WARFARE SYSTEMS COMMAND,5906,770,52,65,0,119,24,0,0,6936,59,10,93,0,0,0,0,1,163,0,7099
NV41-NAVY SYSTEMS MANAGEMENT ACTIVITY,286,94,0,0,0,62,0,0,0,442,0,0,0,0,0,0,0,0,0,0,442
"NV60-U.S. ATLANTIC FLEET, COMMANDER IN CHIEF",9340,1088,25,4,0,502,3,0,0,10962,145,133,46,0,0,2,0,0,326,0,11288
"NV61-U.S. NAVAL FORCES, EUROPE",391,69,9,0,0,30,0,0,0,499,62,447,0,0,0,4,0,0,513,0,1012
NV62-NAVAL EDUCATION AND TRAINING COMMAND,3822,1293,18,39,0,251,2,0,0,5425,161,4,16,0,0,7,0,0,188,1,5614
NV63-NAVAL NETWORK OPERATIONS COMMAND,963,103,1,0,0,48,0,0,0,1115,20,13,1,0,0,0,0,0,34,0,1149
