Department,Sub-Department,Sub-Sub-Department,Location,Position,Name,Apt_Type,Pay_Plan,Lvl_grade_pay,Tenure,Expiration,Additional_Note,Additional_Note_2,Additional_Note3,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of Intergovernmental and External Affairs,"San Francisco, CA...........","Regional Director, San",Herb Kenneth Schultz.................,SC,GS,15,..........,................,"Francisco,","California, Region IX.",,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of Intergovernmental and External Affairs,"Seattle, WA.................","Regional Director,",Susan M. Johnson.....................,SC,GS,15,..........,................,"Seattle, Washington,",Region X.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the National Coordinator for Health Information Technology,"Washington, DC..............",National Health,"Farzad Mostashari, M.D...............",NA,ES,..........,..........,................,Information,Technology,Coordinator.,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the National Coordinator for Health Information Technology,Do......................,Principal Deputy,David S. Muntz.......................,NA,ES,..........,..........,................,National Coordinator.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the National Coordinator for Health Information Technology,Do......................,Special Assistant.....,Wilbur Wei-Pen Yu....................,SC,GS,15,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the National Coordinator for Health Information Technology,Do......................,......do..............,Damon L. Davis.......................,SC,GS,15,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the National Coordinator for Health Information Technology,Do......................,Chief Privacy Officer.,Joy L. Pritts........................,NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the National Coordinator for Health Information Technology,Do......................,"Director, Office of",Vacant...............................,........,ES,..........,..........,................,Health Information,Technology Adoption.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the National Coordinator for Health Information Technology,Do......................,Health Care Reform,Career Incumbent.....................,CA,ES,..........,..........,................,Coordinator.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the National Coordinator for Health Information Technology,Do......................,Senior Advisor........,Vacant...............................,........,ES,..........,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the National Coordinator for Health Information Technology,Do......................,"Director, Office of",Career Incumbent.....................,CA,ES,..........,..........,................,Policy and Research.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the National Coordinator for Health Information Technology,Do......................,Deputy National,......do.............................,CA,ES,..........,..........,................,Coordinator for,Programs and Policy.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the National Coordinator for Health Information Technology,"Washington, DC..............",Deputy National,Career Incumbent.....................,CA,ES,..........,..........,................,Coordinator for,Operations.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the National Coordinator for Health Information Technology,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Standards and,Interoperability.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Financial Resources,Do......................,Assistant Secretary...,Ellen G. Murray......................,PAS,EX,IV,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Financial Resources,Do......................,Deputy Assistant,Career Incumbent.....................,CA,ES,..........,..........,................,"Secretary, Budget.",,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Financial Resources,Do......................,Principal Deputy,......do.............................,CA,ES,..........,..........,................,"Assistant Secretary,",Resources and,Technology.,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Financial Resources,Do......................,"Director, Division of",......do.............................,CA,ES,..........,..........,................,Health Benefits and,Income Security.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Financial Resources,Do......................,"Director, Division of",......do.............................,CA,ES,..........,..........,................,Discretionary,Programs.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Financial Resources,Do......................,Deputy Associate,......do.............................,CA,ES,..........,..........,................,"Secretary, Office of",Grants and,Acquisitions.,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Financial Resources,Do......................,"Director, Division of",......do.............................,CA,ES,..........,..........,................,the Office of the,Secretary Budget.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Financial Resources,Do......................,"Director, Division of",......do.............................,CA,ES,..........,..........,................,"Budget Policy,","Execution, and Review.",,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Financial Resources,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Program Management,and Systems Policy.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Financial Resources,Do......................,Associate Deputy,......do.............................,CA,ES,..........,..........,................,"Assistant Secretary,",Budget.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Financial Resources,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Program Integrity,Coordination.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Financial Resources,Do......................,Deputy Assistant,......do.............................,CA,ES,..........,..........,................,"Secretary, Recovery",Act Coordination.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Preparedness and Response,Do......................,Assistant Secretary...,"Nicole Lurie, M.D....................",PAS,EX,IV,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Preparedness and Response,Do......................,Special Assistant to,Stacy Louise Elmer...................,SC,GS,13,..........,................,the Assistant,Secretary.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Preparedness and Response,Do......................,Principal Deputy,Career Incumbent.....................,CA,ES,..........,..........,................,"Director, Office of",Public Health,Emergency Medical,Countermeasures.,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Preparedness and Response,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,"Medicine, Science and",Public Health.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Preparedness and Response,Do......................,"Director, Resource",......do.............................,CA,ES,..........,..........,................,Planning and,Evaluation.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Preparedness and Response,Do......................,"Director, Influenza",......do.............................,CA,ES,..........,..........,................,and Emerging Diseases.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Preparedness and Response,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Preparedness and,Emergency Operations.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Preparedness and Response,Do......................,Principal Deputy,......do.............................,CA,ES,..........,..........,................,"Director, Office of",Preparedness and,Emergency Operations.,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Preparedness and Response,Do......................,Deputy Assistant,......do.............................,CA,ES,..........,..........,................,Secretary and,"Director, Biomedical",Advanced Development,and Research,Authority.,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Preparedness and Response,Do......................,Principal Deputy,......do.............................,CA,ES,..........,..........,................,Assistant Secretary,for Preparedness and,Response.,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of the Assistant Secretary for Preparedness and Response,Do......................,Chief Operating,......do.............................,CA,ES,..........,..........,................,Officer.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of Medicare Hearings and Appeals,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Operations.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE DEPUTY SECRETARY,Office of Medicare Hearings and Appeals,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Programs.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR LEGISLATION,None,Do......................,Assistant Secretary...,Jim Esquea...........................,PAS,EX,IV,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR LEGISLATION,None,Do......................,Deputy Assistant,Jeremy Beck Sharp....................,NA,ES,..........,..........,................,Secretary,(Discretionary Health,Programs).,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR LEGISLATION,None,Do......................,Deputy Assistant,Douglas Lee Steiger..................,NA,ES,..........,..........,................,Secretary (Human,Services).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR LEGISLATION,None,Do......................,Deputy Assistant,Fatima Annalie Cuevas................,NA,ES,..........,..........,................,Secretary,(Congressional,Liaison).,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR LEGISLATION,None,Do......................,Deputy Assistant,Bridgett Elaine Taylor...............,NA,ES,..........,..........,................,Secretary (Mandatory,Health Programs).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR LEGISLATION,None,Do......................,Confidential Assistant,Lisa Marie Thimjon...................,SC,GS,12,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR LEGISLATION,None,Do......................,......do..............,Lisa J. Strumwasser..................,SC,GS,9,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR LEGISLATION,None,Do......................,Special Assistant.....,Russell M. Anello....................,SC,GS,13,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR LEGISLATION,None,Do......................,Confidential Assistant,Rose M. Hacking......................,SC,GS,11,..........,................,(Mandatory Health,Programs).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR LEGISLATION,None,Do......................,Special Assistant,Averi E. Pakulis.....................,SC,GS,14,..........,................,(Discretionary Health,Programs).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,None,Do......................,Assistant Secretary...,"Edward J. Holland, Jr................",NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,None,Do......................,Deputy Assistant,Career Incumbent.....................,CA,ES,..........,..........,................,"Secretary, Human",Resources.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,None,Do......................,Deputy Assistant,......do.............................,CA,ES,..........,..........,................,"Secretary, Business",Transformation.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,None,"Washington, DC..............",Deputy Assistant,Career Incumbent.....................,CA,ES,..........,..........,................,"Secretary, Security.",,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,None,Do......................,Deputy Assistant,......do.............................,CA,ES,..........,..........,................,"Secretary,",Information,Technology/Chief,Information Officer.,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,None,Do......................,Deputy Assistant,......do.............................,CA,ES,..........,..........,................,"Secretary, Program",Support.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,None,Do......................,Deputy Assistant,......do.............................,CA,ES,..........,..........,................,"Secretary, Facilities",Management and Policy.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,None,Do......................,Associate Deputy,......do.............................,CA,ES,..........,..........,................,"Assistant Secretary,",Human Resources.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,None,Do......................,"Director, Client",......do.............................,CA,ES,..........,..........,................,"Services Center,",National Capital,Region.,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,None,Do......................,"Director, Strategic",......do.............................,CA,ES,..........,..........,................,Programs Division.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Assistant Secretary...,Vacant...............................,PAS,EX,IV,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Principal Deputy,Dorinda A. Salcido...................,NA,ES,..........,..........,................,Assistant Secretary.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Deputy Assistant,Tait Sye.............................,NA,ES,..........,..........,................,Secretary (Public,Health).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Communications,John P. Bray.........................,SC,GS,14,..........,................,Director (Public,Health).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Deputy Assistant,Jason Michael Young..................,NA,ES,..........,..........,................,Secretary (Health,Care).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Director for Health,Jaime Erin Mulligan..................,SC,GS,14,..........,................,Care Initiatives.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Communications,Erin E. Shields......................,SC,GS,14,..........,................,Director for Health,Care.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,"Director, News",Career Incumbent.....................,CA,ES,..........,..........,................,Division.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,"Director, Web and",......do.............................,CA,ES,..........,..........,................,Media Communications,Division.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Deputy Assistant,......do.............................,CA,ES,..........,..........,................,Secretary (Human,Services).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Press Secretary.......,Keith Richard Maley..................,SC,GS,13,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Speechwriter..........,Robert Lott..........................,SC,GS,13,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Press Secretary.......,Fabien Moshe Levy....................,SC,GS,12,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Confidential Assistant,Julia Parker Eisman..................,SC,GS,12,..........,................,to the Deputy,Assistant Secretary,for Public Affairs.,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Confidential Assistant,Alyson C. Jordan.....................,SC,GS,9,..........,................,to the Assistant,Secretary for Public,Affairs.,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Special Assistant.....,Sherice Dillard......................,SC,GS,13,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,None,Do......................,Senior Advisor........,Nathaniel W. Jackson.................,SC,GS,15,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,Assistant Secretary...,Vacant...............................,PAS,EX,IV,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,Principal Deputy,Donald B. Moulds.....................,NA,ES,..........,..........,................,Assistant Secretary.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,Deputy Assistant,Ajay Chaudry.........................,NA,ES,..........,..........,................,Secretary (Human,Services Policy).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,Deputy Assistant,Richard Gray Kronick.................,NA,ES,..........,..........,................,Secretary (Health,Policy).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,Deputy Assistant,Peter Kemper.........................,NA,ES,..........,..........,................,Secretary,"(Disability, Aging,",and Long-Term Care,Policy).,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,Associate Deputy,Career Incumbent.....................,CA,ES,..........,..........,................,Assistant Secretary,"(Disability, Aging,",and Long-Term Care,Policy).,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,Deputy Assistant,......do.............................,CA,ES,..........,..........,................,Secretary for,Planning and,Evaluation (Science,and Data Policy).,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,"Director, Center for",Alexia Kathryn Kelley................,NA,ES,..........,..........,................,Faith Based and,Community Initiatives.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,Deputy Director.......,Acacia Tyler Bremberg Salatti........,SC,GS,14,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,"Senior Advisor, Center",Mara L. Vanderslice..................,SC,GS,15,..........,................,for Faith-Based and,Neighborhood,Partnerships.,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,"Director, Office of",Michael M. Hash......................,NA,ES,..........,..........,................,Health Reform.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,"Deputy Director,",Yvette Emad Fontenot.................,NA,ES,..........,..........,................,Office of Health,Reform.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,Director of Public,Mayra Erika Alvarez..................,SC,GS,14,..........,................,Health Policy (Office,of Health Reform).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,Director of Policy,Chiquita White Brooks-Lasure.........,SC,GS,15,..........,................,Coverage (Office of,Health Reform).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,Director of Delivery,Christopher J. Dawe..................,SC,GS,15,..........,................,System Reform (Office,of Health Reform).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,Senior Policy Analyst,Catherine Rose Oakar.................,SC,GS,14,..........,................,(Office of Health,Reform).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,None,Do......................,Associate Deputy,Career Incumbent.....................,CA,ES,..........,..........,................,Assistant Secretary,(Health Policy).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,Do......................,Assistant Secretary...,"Howard K. Koh, M.D...................",PAS,EX,IV,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,Do......................,Surgeon General.......,"Regina M. Benjamin, M.D..............",PAS,OT,..........,4 Years,11/2/2013,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,Do......................,Senior Advisor........,Vacant...............................,........,ES,..........,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,"New York, NY................",Regional Health,Career Incumbent.....................,CA,ES,..........,..........,................,"Administrator, Region","II, New York.",,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,"Philadelphia, PA............",Regional Health,......do.............................,CA,ES,..........,..........,................,"Administrator, Region","III, Philadelphia.",,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,"Kansas City, MO.............",Regional Health,Career Incumbent.....................,CA,ES,..........,..........,................,"Administrator, Region","VII, Kansas City.",,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,"Washington, DC..............",Principal Deputy,......do.............................,CA,ES,..........,..........,................,Assistant Secretary.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,Do......................,Deputy Assistant,......do.............................,CA,ES,..........,..........,................,Secretary (Healthcare,Quality).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,HIV/AIDS Policy.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Research Integrity.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,Do......................,Deputy Assistant,Marilyn Keefe........................,NA,ES,..........,..........,................,Secretary for,Population Affairs.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,Do......................,Deputy Assistant,Career Incumbent.....................,CA,ES,..........,..........,................,Secretary (Science,and Medicine).,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,Do......................,Director of,Jenny Thalheimer Rosenberg...........,SC,GS,15,..........,................,Communications.,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,Do......................,"Executive Director,",Shellie Yvonne Pfohl.................,SC,GS,15,..........,................,President's Council,"on Fitness, Sports",and Nutrition.,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,Do......................,Special Assistant.....,Bradley Edward Wolters...............,SC,GS,13,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,None,Do......................,Confidential Assistant,Kirby L. K. Bumpus...................,SC,GS,11,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF GLOBAL HEALTH AFFAIRS,None,Do......................,Director..............,"Nils Daulaire, M.D...................",NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF GLOBAL HEALTH AFFAIRS,None,Do......................,Deputy Director.......,Career Incumbent.....................,CA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF GLOBAL HEALTH AFFAIRS,None,Do......................,Senior Advisor........,Vacant...............................,........,ES,..........,..........,................,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF GLOBAL HEALTH AFFAIRS,None,Do......................,"Associate Director,",Holly Wong...........................,NA,ES,..........,..........,................,Strategy and Policy,Division.,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OFFICE OF GLOBAL HEALTH AFFAIRS,None,Do......................,Special Assistant to,Maeve McKean.........................,SC,GS,14,..........,................,the Director.,,,,,,
