Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Non-permanent,Unspecified,Type of Appointment - All
DD09-AMERICAN FORCES INFORMATION SERVICE,253,13,2,0,0,6,3,0,0,277,1,1,2,0,0,0,0,0,4,0,281
DD10-DEFENSE CONTRACT AUDIT AGENCY,3467,509,5,10,0,0,15,0,0,4006,8,1,38,0,0,2,0,0,49,0,4055
DD12-DEFENSE SECURITY SERVICE,2326,262,28,2,0,31,6,0,0,2655,4,4,0,0,0,0,0,0,8,0,2663
DD13-DEFENSE ADVANCED RESEARCH PROJECTS AGCY,95,3,2,0,0,0,9,1,0,110,19,1,0,0,0,23,0,0,43,0,153
DD16-DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,839,127,5432,1,0,4505,4,0,0,10908,74,4609,13,0,0,1365,0,0,6061,0,16969
DD21-WASHINGTON HEADQUARTERS SERVICES,1114,176,30,17,0,11,19,0,0,1367,9,12,27,11,0,6,3,0,68,0,1435
DD23-OFFICE OF ECONOMIC ADJUSTMENT,26,3,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,29
DD25-DEFENSE LEGAL SERVICES AGENCY,33,1,44,0,0,6,1,0,0,85,10,4,0,0,0,0,0,0,14,0,99
DD26-OFFICE OF THE INSPECTOR GENERAL,656,230,17,321,0,10,14,0,0,1248,0,1,18,0,0,0,0,0,19,0,1267
DD27-BALLISTIC MISSILE DEFENSE ORGANIZATION,333,29,12,0,0,3,15,0,0,392,0,1,1,0,0,0,0,0,2,0,394
DD34-DEFENSE COMMISSARY AGENCY,10745,3071,39,9,0,117,4,0,0,13985,913,1134,136,0,0,38,0,0,2221,1,16207
DD35-DEFENSE FINANCE AND ACCOUNTING SERVICE,14047,1076,55,24,0,123,25,0,0,15350,554,113,43,0,0,7,0,0,717,0,16067
DD48-DEFENSE HUMAN RESOURCES ACTIVITY,602,46,2,5,0,3,10,0,0,668,1,2,2,0,0,0,1,0,6,0,674
DD58-DEFENSE POW/MISSING PERSONNEL OFFICE,13,9,40,0,0,3,1,0,0,66,0,0,0,1,0,0,0,0,1,0,67
DD60-TRICARE MANAGEMENT ACTIVITY,242,14,14,1,0,2,5,0,0,278,13,0,2,0,0,0,0,0,15,0,293
DD61-DEFENSE THREAT REDUCTION AGENCY,804,91,16,0,0,7,15,0,0,933,18,4,3,0,0,1,1,0,27,0,960
DD63-DEFENSE CONTRACT MANAGEMENT AGENCY,11246,544,97,25,0,43,6,0,0,11961,82,8,81,0,0,10,0,0,181,0,12142
DD-OTHER DEPARTMENT OF DEFENSE,74507,7835,6088,574,1,5186,404,40,0,94635,2011,5935,574,49,21,1533,12,0,10135,1,104771
"DJ01-OFFICES, BOARDS AND DIVISIONS",2614,452,2326,8,0,356,170,16,0,5942,257,167,229,43,15,5,26,0,742,0,6684
DJ02-FEDERAL BUREAU OF INVESTIGATION,0,0,0,0,0,26224,174,0,0,26398,0,0,0,0,0,201,0,0,201,0,26599
DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,25916,6212,252,42,0,937,63,1,0,33423,92,14,99,0,0,6,0,0,211,0,33634
DJ04-IMMIGRATION AND NATURALIZATION SERVICE,23479,6016,610,101,0,1141,41,0,0,31388,1211,95,521,1,1,171,3,0,2003,0,33391
DJ06-DRUG ENFORCEMENT ADMINISTRATION,6696,419,337,936,0,162,66,0,0,8616,20,10,47,0,1,0,0,0,78,0,8694
DJ07-OFFICE OF JUSTICE PROGRAMS,574,160,35,0,0,10,20,0,0,799,10,3,11,9,3,1,2,0,39,0,838
DJ08-U.S. MARSHALS SERVICE,3604,234,15,21,1,122,9,0,0,4006,3,0,0,1,61,15,1,0,81,0,4087
DJ09-EXEC OFC US ATTORNEY AND OFF US ATTORNEY,4370,699,59,32,0,4470,5,0,0,9635,108,10,530,2,5,354,1,0,1010,0,10645
DJ10-OFFICE OF THE INSPECTOR GENERAL,306,29,10,0,0,6,6,0,0,357,1,1,19,0,1,2,0,0,24,0,381
DJ11-U.S. TRUSTEE PROGRAM,113,10,182,566,0,137,3,0,0,1011,3,7,1,0,0,0,0,0,11,0,1022
DJ12-EXECUTIVE OFFICE FOR IMMIGRATION REVIEW,594,73,330,1,0,38,6,0,0,1042,9,35,55,0,0,19,0,0,118,0,1160
DJ14-COMMUNITY RELATIONS SERVICE,39,12,0,0,0,1,0,0,0,52,0,0,0,0,0,0,0,0,0,0,52
DLAA-OFFICE OF SECRETARY OF LABOR,205,7,85,0,0,9,1,6,0,313,1,42,11,33,2,4,2,0,95,0,408
DLAM-OFC ASST SEC ADM AND MANAGEMENT,639,70,12,12,0,6,8,0,0,747,15,4,17,1,0,3,0,0,40,0,787
DLBL-BUREAU OF INTERNATIONAL LABOR AFFAIRS,57,24,11,2,0,1,2,1,0,98,0,1,0,0,0,3,0,0,4,0,102
DLCA-OFC OF CONGRESSIONAL & INTERGOV AFFAIRS,8,0,0,0,0,0,0,2,0,10,0,0,1,14,1,0,0,0,16,0,26
DLCF-OFFICE OF THE CHIEF FINANCIAL OFFICER,78,6,0,1,0,0,1,0,0,86,0,0,1,1,0,0,0,0,2,0,88
DLED-PRES TASK FORCE ON EMP OF ADULTS W DISAB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,11,0,11
DLEH-OFFICE OF DISABILITY EMPLOYMENT POLICY,19,4,4,0,0,1,0,0,0,28,0,1,0,0,0,0,0,0,1,0,29
DLES-EMPLOYMENT STANDARDS ADMINISTRATION,3483,472,10,14,0,27,22,2,0,4030,18,4,16,4,0,7,0,0,49,0,4079
DLET-EMPLOYMENT AND TRAINING ADMINISTRATION,1085,202,5,11,0,7,18,1,0,1329,19,1,16,3,1,0,0,0,40,0,1369
DLIG-OFFICE OF THE INSPECTOR GENERAL,352,28,6,2,1,5,6,0,0,400,0,0,4,1,1,0,0,0,6,0,406
DLLS-BUREAU OF LABOR STATISTICS,1933,628,2,8,0,0,18,0,0,2589,13,0,24,0,1,1,0,0,39,1,2629
DLMS-MINE SAFETY AND HEALTH ADMINISTRATION,1878,338,0,9,0,8,10,0,0,2243,3,0,1,2,1,0,0,0,7,0,2250
DLNS-NATIONAL SKILL STANDARDS BOARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,8
DLPA-OFFICE OF PUBLIC AFFAIRS,33,1,0,0,0,0,0,1,0,35,0,0,1,8,0,0,0,0,9,0,44
DLPE-OFC OF ASST SEC FOR POLICY,30,6,0,0,0,0,2,1,0,39,0,0,0,4,1,0,0,0,5,0,44
DLPW-PENSION AND WELFARE BENEFITS ADMIN,566,196,4,29,0,10,14,1,0,820,3,1,14,1,0,16,0,0,35,0,855
DLSH-OCCUPATIONAL SAFETY AND HEALTH ADM,1921,245,0,6,0,5,18,0,0,2195,10,3,14,0,1,1,0,0,29,0,2224
DLSL-OFFICE OF THE SOLICITOR,179,12,461,1,0,3,20,1,0,677,5,5,2,1,0,0,0,0,13,0,690
DLVE-VETERANS EMPLOYMENT AND TRAINING SER,203,24,0,0,0,11,0,0,0,238,6,0,3,3,0,2,0,0,14,0,252
DLWB-WOMEN'S BUREAU,54,10,0,0,0,0,1,0,0,65,0,0,0,1,0,0,0,0,1,1,67
DN00-DEPARTMENT OF ENERGY,13195,1338,419,107,0,121,418,10,0,15608,102,22,90,54,13,140,25,0,446,13,16067
EB-EXPORT-IMPORT BANK OF THE UNITED STATES,290,61,23,0,0,2,0,0,0,376,1,3,12,10,3,1,0,0,30,0,406
EC-OFFICE OF ADMINISTRATION,101,23,58,0,0,5,0,0,0,187,0,2,1,0,0,0,0,0,3,0,190
EDEA-IMM OFC OF SEC OF EDUCATION,49,6,1,0,0,0,1,4,0,61,2,0,0,19,1,7,2,0,31,0,92
EDEB-OFC OF THE DEPUTY SECRETARY OF EDUCATION,6,0,0,0,0,0,0,0,0,6,0,0,0,2,1,7,1,0,11,0,17
EDEC-OFFICE FOR CIVIL RIGHTS,481,27,158,2,0,23,3,0,0,694,7,3,27,0,0,1,1,0,39,0,733
EDEE-OFFICE OF THE UNDER SECRETARY (OUS),90,19,3,0,0,3,7,1,0,123,1,0,4,2,1,3,1,0,12,0,135
EDEF-OFFICE OF INSPECTOR GENERAL,221,42,4,1,0,2,7,0,0,277,1,0,2,0,1,0,0,0,4,0,281
EDEG-OFFICE OF THE GENERAL COUNSEL,21,1,54,0,0,19,6,0,0,101,0,1,1,0,0,1,1,0,4,0,105
EDEH-OFF OF SPEC ED AND REHAB SERV,262,41,44,0,0,9,4,0,0,360,2,4,1,0,2,2,0,0,11,0,371
EDEI-OFFICE OF THE CHIEF INFORMATION OFFICER,88,11,0,0,0,1,4,0,0,104,0,0,2,0,0,0,0,0,2,0,106
EDEJ-OFC OF LEGIS AND CONGRESSIONAL AFFAIRS,15,0,0,0,0,0,0,0,0,15,0,0,0,2,1,2,0,0,5,0,20
EDEK-OFC OF INTERGOV AND INTERAGENCY AFFAIRS,66,17,0,0,0,0,2,0,0,85,0,1,8,4,23,6,0,0,42,0,127
EDEL-OFFICE OF THE CHIEF FINANCIAL OFFICER,231,35,2,1,0,0,3,0,0,272,4,0,7,0,0,3,0,0,14,0,286
EDEM-OFFICE OF MANAGEMENT,170,11,10,0,0,1,5,0,0,197,1,0,3,0,0,7,0,0,11,0,208
EDEN-OFC OF STUDENT FINANCIAL ASSISTANCE PROG,1013,120,2,1,0,22,7,0,0,1165,2,0,28,0,0,13,0,0,43,0,1208
EDEP-OFFICE OF POSTSECONDARY EDUCATION,180,31,0,0,0,1,3,0,0,215,1,0,3,0,16,55,1,0,76,0,291
EDER-OFC OF ED RES AND IMPROVEMENT,271,22,2,0,0,2,6,0,0,303,1,0,6,0,1,21,0,0,29,0,332
EDES-OFC OF ELEM AND SEC ED,193,40,10,0,2,3,6,0,0,254,3,0,4,0,12,4,0,0,23,0,277
EDET-OFC OF BILINGUAL ED & MIN LANG AFFAIRS,32,13,0,0,0,0,1,0,0,46,2,0,0,0,0,0,0,0,2,0,48
EDEV-OFFICE OF VOCATIONAL AND ADULT EDUCATION,85,25,3,0,0,0,3,0,0,116,0,0,1,1,1,1,0,0,4,0,120
EDEX-NATIONAL INSTITUTE FOR LITERACY,5,0,0,0,0,0,0,0,0,5,1,0,0,0,7,12,0,0,20,0,25
EDEY-ADVISORY COUNCILS AND COMMITTEES,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,25,0,0,25,0,30
EDEZ-NATIONAL ASSESSMENT GOVERNING BOARD,4,2,0,0,0,1,0,0,0,7,0,0,0,0,0,28,0,0,28,0,35
EE-EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,1926,281,602,0,0,19,38,0,0,2866,1,8,27,4,3,0,1,0,44,0,2910
EM-FEDERAL EMERGENCY MANAGEMENT AGENCY,1672,250,200,1,0,19,32,3,0,2177,190,35,29,4,2,5937,8,0,6205,0,8382
EO-MORRIS K UDALL SCHOLARSHIP...FOUNDATION,0,0,0,0,0,3,0,0,0,3,0,0,0,0,2,22,0,0,24,0,27
EP-ENVIRONMENTAL PROTECTION AGENCY,14767,1244,1042,66,0,75,251,10,1,17456,68,86,285,19,5,704,10,0,1177,0,18633
EQ-COUNCIL ON ENVIR QUAL/OFC OF ENVIR QUAL,0,3,6,0,0,6,0,0,0,15,0,0,0,2,1,0,0,0,3,0,18
EW-TRADE AND DEVELOPMENT AGENCY,16,14,3,0,0,2,2,0,0,37,0,0,0,3,1,0,0,0,4,0,41
EX-EXECUTIVE RESIDENCE AT THE WHITE HOUSE,0,0,0,0,0,18,0,0,0,18,0,33,0,0,0,41,0,0,74,0,92
FC-FEDERAL COMMUNICATIONS COMMISSION,1221,167,484,28,0,15,35,5,0,1955,4,4,7,2,4,20,0,1,42,0,1997
FD-FEDERAL DEPOSIT INSURANCE CORPORATION,5403,352,356,42,0,7,0,0,0,6160,114,16,74,3,3,2,0,0,212,0,6372
FI-FEDERAL FINANCIAL INST. EXAM. COUNCIL,6,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
FJ-CHEMICAL SAFETY/HAZARD INVESTIGATION BD,1,0,0,0,0,27,0,0,0,28,0,1,0,1,0,3,0,0,5,1,34
FK-FARM CREDIT SYSTEM INSURANCE CORPORATION,8,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
FL-FARM CREDIT ADMINISTRATION,243,2,14,1,0,0,0,0,0,260,0,0,2,10,2,0,0,0,14,0,274
FM-FED MEDIATION AND CONCILIATION SERVICE,63,4,2,0,0,216,1,0,0,286,2,0,0,0,1,0,1,0,4,0,290
FQ-COURT SERVICES AND OFFENDR SUPERVSN AGY,0,0,827,0,0,9,0,0,0,836,0,22,0,0,0,2,0,0,24,0,860
FT-FEDERAL TRADE COMMISSION,354,85,442,0,0,6,27,6,0,920,72,21,21,4,5,29,1,0,153,0,1073
FW-OFFICE OF SPECIAL COUNSEL,53,6,31,0,0,3,5,1,0,99,0,1,5,0,1,3,0,0,10,0,109
FY-FEDERAL HOUSING FINANCE BOARD,68,17,12,0,0,0,0,0,0,97,0,2,3,3,2,2,0,0,12,0,109
GB-OVERSEAS PRIVATE INVESTMENT CORPORATION,108,31,6,0,0,21,0,0,0,166,0,0,7,0,6,14,0,0,27,0,193
GE-BARRY GOLDWATER SCHOL & EXCEL IN ED FOUN,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0,7,0,0,7,0,11
GG-OFFICE OF GOVERNMENT ETHICS,48,5,13,0,0,0,4,0,0,70,0,0,0,1,1,0,0,0,2,0,72
GJ-PRESIDIO TRUST,0,0,0,0,0,365,0,0,0,365,0,0,0,0,0,115,0,0,115,0,480
GS-GENERAL SERVICES ADMINISTRATION,12420,996,176,241,0,90,85,8,0,14016,53,37,65,6,2,21,4,0,188,0,14204
GW-INTERNAT BOUNDARY & WATER CMSN: US & MEX,207,16,2,0,0,6,0,0,0,231,21,0,17,1,1,2,0,0,42,0,273
GX-INTERNAT BOUNDARY CMSN: U.S. AND CANADA,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,0,0,6,0,8
GY-INTERNATIONAL JOINT CMSN: U.S. & CANADA,9,3,1,0,0,0,0,0,0,13,1,0,0,1,1,0,0,0,3,0,16
HB-CMTE FOR PURCH FRM PPLE BLIND OR SEV DIS,17,4,3,0,3,0,1,0,0,28,0,0,0,0,2,5,0,0,7,0,35
HD-U.S. HOLOCAUST MEMORIAL MUSEUM,163,45,0,0,0,9,0,0,0,217,6,0,0,0,0,1,0,0,7,0,224
HE**-UNSPECIFIED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HE10-OFC SEC HEALTH AND HUMAN SERVICES,2061,582,324,8,0,58,66,6,0,3105,26,2085,35,33,2,123,16,0,2320,3,5428
HE11-PROGRAM SUPPORT CENTER,889,134,5,0,0,10,5,0,0,1043,6,16,40,0,0,6,1,0,69,0,1112
HE32-SUBSTANCE ABUSE & MENTAL HEALTH SERV ADM,424,56,10,2,0,6,11,0,0,509,0,0,9,0,0,74,0,0,83,0,592
HE33-AGY FOR HEALTHCARE RESEARCH AND QUALITY,171,43,0,0,0,11,3,1,0,229,1,0,18,0,0,54,0,0,73,0,302
HE34-HEALTH RESOURCES AND SERVICES ADM,1176,220,33,6,0,8,17,0,0,1460,36,4,18,0,0,58,0,0,116,0,1576
HE35-AGY FOR TOXIC SUBSTANCES AND DISEASE REG,290,63,1,0,0,3,2,0,0,359,0,0,5,0,0,57,0,0,62,0,421
HE36-FOOD AND DRUG ADMINISTRATION,6897,1156,70,4,0,101,51,0,0,8279,75,12,101,0,1,2952,1,0,3142,4,11425
HE37-INDIAN HEALTH SERVICE,8487,1019,1979,2,0,24,16,0,0,11527,209,1218,6,1,0,23,0,0,1457,1,12985
HE38-NATIONAL INSTITUTES OF HEALTH,10275,2454,79,21,0,202,134,0,2,13167,307,14,535,0,0,3629,1,0,4486,3,17656
HE39-CENTERS FOR DISEASE CONTROL AND PREVENTN,5320,1169,73,6,0,103,23,1,0,6695,62,12,196,0,0,787,0,0,1057,0,7752
HE70-HEALTH CARE FINANCING ADMINISTRATION,3497,750,53,20,0,62,40,2,0,4424,2,4,38,0,1,136,1,0,182,0,4606
HE90-ADMINISTRATION FOR CHILDREN AND FAMILIES,1300,118,11,0,0,2,11,2,0,1444,3,0,8,7,7,18,2,1,46,1,1491
HP-ADV COUNCIL ON HISTORIC PRESERVATION,0,0,0,0,1,30,1,0,0,32,0,0,0,0,8,8,0,0,16,0,48
HT-HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3
HU01-OFC SR COM BLDR/COOR NEW ENGLAND,223,28,16,0,0,0,1,0,0,268,4,5,1,0,0,0,0,0,10,0,278
HU02-OFC SR COM BLDR/COOR NEW YORK/NEW JERSEY,464,35,22,0,0,2,0,0,0,523,5,1,2,0,0,0,0,0,8,0,531
HU03-OFC SR COM BLDR/COOR MID-ATLANTIC,565,65,18,0,0,0,0,0,0,648,9,1,9,0,0,0,0,0,19,0,667
HU04-OFC SR COM BLDR/COOR SOUTHEAST/CARIBBEAN,1053,84,34,0,0,4,0,0,0,1175,20,3,5,0,0,0,0,0,28,0,1203
HU05-OFC SR COM BLDR/COOR MIDWEST,758,53,32,0,0,0,0,0,0,843,12,8,1,0,0,1,0,0,22,0,865
HU06-OFC SR COM BLDR/COOR SOUTHWEST,624,39,20,0,0,1,0,0,0,684,13,2,11,0,0,0,0,0,26,0,710
HU07-OFC SR COM BLDR/COOR GREAT PLAINS,206,15,10,0,0,1,0,0,0,232,5,2,0,0,0,0,0,0,7,0,239
HU08-OFC SR COM BLDR/COOR ROCKY MOUNTAINS,384,27,14,0,0,3,0,0,0,428,2,1,0,0,0,0,0,0,3,0,431
HU09-OFC SR COM BLDR/COOR PACIFIC/HAWAII,581,69,17,0,0,1,0,0,0,668,6,3,1,0,0,0,0,0,10,0,678
HU10-OFC SR COM BLDR/COOR NORTHWEST/ALASKA,204,17,8,0,0,0,0,0,0,229,2,3,0,0,0,0,0,0,5,0,234
HUAA-OFFICE OF THE SECRETARY OF HUD,20,3,2,0,0,1,2,2,0,30,1,2,2,6,2,1,2,0,16,0,46
HUBB-ASSISTANT SECRETARY FOR ADMINISTRATION,357,11,9,1,0,1,5,0,0,384,9,8,7,16,0,2,0,0,42,0,426
HUCC-OFFICE OF GENERAL COUNSEL,62,2,107,0,0,0,9,0,0,180,3,11,7,1,1,0,2,0,25,0,205
HUDD-ASST SEC FOR CMNTY PLAN AND DEVELOPMENT,183,26,1,0,0,1,6,0,0,217,4,7,3,4,1,0,0,0,19,0,236
HUEE-ASST SEC FOR FAIR HOUS AND EQUAL OPPOR,108,11,1,0,0,0,5,0,0,125,0,1,3,1,0,1,0,0,6,0,131
HUFF-OFFICE OF THE CHIEF FINANCIAL OFFICER,138,7,2,0,0,1,2,0,0,150,0,0,2,1,1,0,0,0,4,0,154
HUGG-OFFICE OF INSPECTOR GENERAL,581,68,5,9,0,2,6,0,0,671,0,4,1,0,0,0,0,0,5,0,676
HUII-OFC OF DEPARTMENTAL OPERATIONS AND COORD,80,11,1,0,0,0,1,0,0,93,1,0,1,0,0,0,0,0,2,0,95
HUJJ-ASST SEC FOR CONGR & INTERGOV RELATIONS,11,3,0,0,0,0,0,0,0,14,0,0,0,11,1,0,0,0,12,0,26
HULL-OFFICE OF LEAD HAZARD CONTROL,16,3,1,0,0,0,1,0,0,21,0,1,1,0,0,0,0,0,2,0,23
HUMM-ASST SEC FOR HOUSING--FED HOUSING CMSNR,569,26,6,0,0,2,7,0,0,610,6,1,14,5,1,1,0,0,28,0,638
HUNN-OFFICE OF THE CHIEF PROCUREMENT OFFICER,44,3,0,0,0,0,1,0,0,48,0,2,1,0,0,0,0,0,3,0,51
HUOO-OFC OF FED HOUSING ENTERPRISE OVERSIGHT,70,30,7,0,0,2,0,0,0,109,1,0,0,0,1,2,0,0,4,0,113
HUPP-ASST SEC FOR PUB AND INDIAN HOUSING,452,20,5,0,0,4,5,0,0,486,1,1,3,1,1,0,0,0,7,0,493
HUQQ-OFFICE OF THE CHIEF INFORMATION OFFICER,193,16,1,0,0,0,5,0,0,215,1,1,4,0,0,0,0,0,6,0,221
HURR-ASST SEC FOR POLICY DEV AND RES,81,20,1,0,0,0,2,0,0,104,0,0,1,1,0,2,0,0,4,0,108
HUTT-GOVERNMENT NATIONAL MORTGAGE ASSOCIATION,47,8,0,0,0,0,6,0,0,61,1,0,0,0,1,1,0,0,3,0,64
HUUU-OFC OF DEPT EQUAL EMPLOYMENT OPPORTUNITY,25,1,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,27
HUVV-DEPARTMENTAL ENFORCEMENT CENTER,142,23,28,0,0,9,4,0,0,206,2,0,2,0,0,0,0,0,4,0,210
HUWW-ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,7,4,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,3,0,14
HUXX-DEPARTMENTAL REAL ESTATE ASSESSMENT CNTR,216,39,0,0,0,4,5,0,0,264,0,2,0,0,0,1,0,0,3,0,267
HUYY-OFC OF MULTIFAMILY HOUSG ASSIST RESTRUCT,2,1,0,0,0,0,0,0,0,3,7,2,0,0,1,73,0,0,83,0,86
IB-BROADCASTING BOARD OF GOVERNORS,1263,218,10,84,0,150,10,1,0,1736,17,2,15,0,4,71,3,0,112,0,1848
IF-INTER-AMERICAN FOUNDATION,27,9,1,0,0,1,0,0,0,38,2,0,0,0,1,0,0,0,3,0,41
IN01-OFFICE OF THE SECRETARY OF THE INTERIOR,1478,171,118,9,0,72,38,17,0,1903,21,28,50,19,7,10,5,0,140,0,2043
IN05-BUREAU OF LAND MANAGEMENT,7924,1194,16,233,0,28,19,0,0,9414,669,1181,256,2,0,165,1,0,2274,0,11688
IN06-INDIAN AFFAIRS,4602,112,1192,9,0,130,21,0,0,6066,41,816,3,0,0,4063,1,0,4924,0,10990
IN07-BUREAU OF RECLAMATION,4716,613,16,70,0,20,12,0,0,5447,185,7,116,0,5,9,2,2,326,0,5773
IN08-GEOLOGICAL SURVEY,7668,632,15,304,0,5,27,0,0,8651,752,162,558,0,1,46,0,0,1519,0,10170
IN10-NATIONAL PARK SERVICE,13283,2745,106,181,0,243,22,0,0,16580,5615,314,1180,1,1,206,0,1,7318,0,23898
IN15-U.S. FISH AND WILDLIFE SERVICE,6557,1327,23,114,0,94,19,0,0,8134,685,322,168,1,0,13,0,0,1189,0,9323
IN21-OFFICE OF THE SOLICITOR,78,10,246,0,0,0,8,2,0,344,4,37,1,1,1,0,0,0,44,0,388
"IN22-OFC OF SURFACE MINING, RECL AND ENFORC",562,42,0,4,0,2,5,0,0,615,4,2,9,0,0,0,0,0,15,0,630
IN23-MINERALS MANAGEMENT SERVICE,1593,107,6,23,0,1,10,0,0,1740,5,2,21,1,0,1,1,0,31,0,1771
IN24-OFFICE OF THE INSPECTOR GENERAL,217,18,4,2,0,0,6,0,0,247,0,0,5,0,1,0,0,0,6,0,253
KS-CORP FOR NATIONAL AND COMMUNITY SERVICE,128,0,0,0,0,84,3,0,0,215,0,0,0,0,1,368,0,0,369,0,584
LF-FEDERAL ELECTION COMMISSION,0,0,0,5,0,333,0,0,0,338,0,0,0,0,0,19,0,0,19,0,357
LP-GOVERNMENT PRINTING OFFICE,2727,224,11,4,0,35,0,0,0,3001,7,5,1,0,0,12,0,0,25,0,3026
LT-U.S. TAX COURT,113,6,7,0,0,11,0,0,0,137,0,47,1,22,0,7,0,0,77,0,214
MA-MARINE MAMMAL COMMISSION,5,2,1,0,0,2,0,0,0,10,0,0,0,0,0,6,0,0,6,0,16
MC-FEDERAL MARITIME COMMISSION,83,5,18,0,0,1,7,0,0,114,0,0,0,4,5,0,0,0,9,0,123
NF-NATIONAL SCIENCE FOUNDATION,623,126,0,5,0,248,73,0,0,1075,2,1,23,0,26,155,7,0,214,1,1290
NK-NATIONAL COUNCIL ON DISABILITY,5,1,2,0,0,2,0,0,0,10,0,1,0,0,1,7,0,0,9,0,19
NL-NATIONAL LABOR RELATIONS BOARD,992,128,789,45,0,9,54,2,0,2019,1,21,49,0,5,2,1,0,79,0,2098
NM-NATIONAL MEDIATION BOARD,24,12,5,0,0,3,2,0,0,46,0,1,0,2,0,0,0,0,3,0,49
NN-NAT AERONAUTICS AND SPACE ADMINISTRATION,15965,1819,106,261,0,43,371,3,0,18568,218,13,63,4,2,93,4,0,397,2,18967
NP-NATIONAL CAPITAL PLANNING COMMISSION,31,10,1,0,0,1,2,0,0,45,0,0,3,0,5,0,0,0,8,0,53
NQ-NAT ARCHIVES AND RECORDS ADMINISTRATION,1973,546,48,3,0,4,11,0,0,2585,42,4,213,1,1,0,0,5,266,0,2851
NS-NATIONAL SECURITY COUNCIL,0,0,45,0,0,0,0,0,0,45,0,0,0,0,1,0,0,0,1,0,46
NU-NUCLEAR REGULATORY COMMISSION,0,0,0,3,0,2636,146,0,0,2785,0,0,6,0,5,119,0,0,130,0,2915
NV08-IMMEDIATE OFC OF SEC OF NAVY,291,10,64,0,0,8,32,4,0,409,0,0,3,5,5,1,0,0,14,0,423
NV09-NAVY STAFF OFFICES,121,7,7,0,0,2,4,0,0,141,1,0,1,0,0,0,0,0,2,0,143
NV10-NAVY FIELD OFFICES,1921,237,1370,18,0,196,12,0,0,3754,13,9,23,0,0,1,2,0,48,0,3802
NV11-IMM OFC OF CHIEF OF NAVAL OPERATIONS,3754,376,495,14,0,404,22,0,0,5065,131,447,76,0,0,136,1,0,791,0,5856
NV14-OFFICE OF NAVAL RESEARCH,2577,278,40,34,0,13,52,0,0,2994,8,18,133,0,0,30,0,0,189,0,3183
NV15-NAVAL INTELLIGENCE COMMAND,0,0,1,0,0,1057,0,0,0,1058,0,0,0,0,0,33,0,0,33,0,1091
NV18-NAVAL MEDICAL COMMAND,8134,1209,133,2,0,308,1,0,0,9787,160,346,96,0,6,9,0,0,617,0,10404
NV19-NAVAL AIR SYSTEMS COMMAND,22517,2003,85,112,0,400,49,0,0,25166,126,8,92,0,0,3,0,0,229,0,25395
NV22-BUREAU OF NAVAL PERSONNEL,1211,106,2,2,0,83,2,0,0,1406,61,0,1,0,0,0,0,0,62,0,1468
NV23-NAVAL SUPPLY SYSTEMS COMMAND,7302,154,51,13,0,52,7,0,0,7579,34,8,8,0,0,2,0,0,52,0,7631
NV24-NAVAL SEA SYSTEMS COMMAND,39128,3619,132,1321,0,421,72,0,1,44694,129,11,127,0,0,4,2,0,273,0,44967
NV25-NAVAL FACILITIES ENGINEERING COMMAND,11909,410,85,23,0,43,9,0,0,12479,150,24,28,0,0,0,0,0,202,0,12681
NV27-U.S. MARINE CORPS,11712,815,48,5,0,217,14,0,1,12812,733,145,52,0,0,7,1,0,938,1,13751
NV30-SPECIAL PROJECTS OFFICE,711,41,13,2,0,7,7,0,0,781,2,0,1,0,0,0,0,0,3,0,784
NV33-MILITARY SEALIFT COMMAND,890,90,3451,4,0,26,3,0,0,4464,38,21,8,0,0,0,0,0,67,0,4531
NV39-NAVAL SPACE AND WARFARE SYSTEMS COMMAND,6002,529,56,49,0,125,25,0,0,6786,30,3,103,0,0,0,0,0,136,0,6922
