Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,All Appointments
DD07-DEFENSE LOGISTICS AGENCY,33961,740,276,19,0,274,30,0,0,35300,277,43,213,0,0,106,0,0,639,0,35939
DD08-US COURT APLS ARMED FORCES,14,0,9,0,1,21,2,0,0,47,0,0,0,0,3,3,0,0,6,0,53
DD09-AMERICAN FORCES INFORMATION SERVICE,273,11,2,1,0,9,3,0,0,299,5,1,1,0,0,2,0,0,9,0,308
DD10-DEFENSE CONTRACT AUDIT AGENCY,3624,495,7,25,0,2,15,0,0,4168,12,0,47,0,0,0,0,0,59,0,4227
DD12-DEFENSE SECURITY SERVICE,2314,154,19,2,0,38,6,0,0,2533,8,6,1,0,0,1,0,0,16,0,2549
DD13-DEFENSE ADVANCED RESEARCH PROJECTS AGCY,96,5,2,0,0,0,11,1,0,115,15,0,0,0,0,15,0,0,30,0,145
DD16-DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,872,131,5319,0,0,4416,3,0,0,10741,86,8192,28,0,0,3200,1,0,11507,0,22248
DD21-WASHINGTON HEADQUARTERS SERVICES,1062,181,32,5,0,23,15,0,0,1318,26,35,34,22,0,66,3,0,186,0,1504
DD23-OFFICE OF ECONOMIC ADJUSTMENT,29,1,0,0,0,0,1,1,0,32,0,0,0,0,0,0,0,0,0,0,32
DD25-DEFENSE LEGAL SERVICES AGENCY,37,0,39,0,0,6,1,0,0,83,0,1,0,0,0,0,0,0,1,0,84
DD26-OFFICE OF THE INSPECTOR GENERAL,677,169,14,320,0,12,15,0,0,1207,0,0,1,0,0,0,0,0,1,0,1208
DD27-BALLISTIC MISSILE DEFENSE ORGANIZATION,297,20,11,0,0,3,14,0,0,345,2,0,0,0,0,11,0,0,13,0,358
DD34-DEFENSE COMMISSARY AGENCY,11015,3609,44,14,0,203,4,1,0,14890,1160,1205,91,0,0,19,0,0,2475,2,17367
DD35-DEFENSE FINANCE AND ACCOUNTING SERVICE,14951,880,63,16,0,201,22,0,0,16133,637,100,50,0,0,47,0,0,834,0,16967
DD48-DEFENSE HUMAN RESOURCES ACTIVITY,621,36,2,5,0,7,8,1,0,680,4,2,0,0,0,0,1,0,7,0,687
DD58-DEFENSE POW/MISSING PERSONNEL OFFICE,13,5,50,0,0,5,1,0,0,74,0,0,0,0,0,0,0,0,0,0,74
DD60-TRICARE MANAGEMENT ACTIVITY,256,4,15,1,0,1,6,0,0,283,8,0,6,0,0,2,0,0,16,0,299
DD61-DEFENSE THREAT REDUCTION AGENCY,823,56,12,2,0,15,14,0,0,922,11,3,21,0,0,2,1,0,38,0,960
"DJ01-OFFICES, BOARDS AND DIVISIONS",2622,424,2276,8,1,333,182,26,2,5874,261,214,240,25,13,31,5,2,791,0,6665
DJ02-FEDERAL BUREAU OF INVESTIGATION,0,0,0,0,0,26943,187,0,0,27130,0,0,0,0,0,232,0,0,232,0,27362
DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,25241,5186,280,45,0,1179,70,1,0,32002,114,13,80,0,0,8,0,0,215,0,32217
DJ04-IMMIGRATION AND NATURALIZATION SERVICE,21635,6825,622,113,0,1246,39,2,0,30482,997,127,485,1,1,163,0,0,1774,0,32256
DJ06-DRUG ENFORCEMENT ADMINISTRATION,6342,616,371,1177,0,170,68,0,0,8744,29,6,70,0,0,1,0,0,106,0,8850
DJ07-OFFICE OF JUSTICE PROGRAMS,536,193,32,8,0,10,18,4,0,801,25,5,10,2,2,0,1,0,45,0,846
DJ08-U.S. MARSHALS SERVICE,3548,316,10,0,1,38,9,0,0,3922,5,0,0,0,78,19,0,0,102,0,4024
DJ09-EXEC OFC US ATTORNEY AND OFF US ATTORNEY,4292,702,55,16,0,4447,4,0,0,9516,123,5,491,12,66,401,0,0,1098,0,10614
DJ10-OFFICE OF THE INSPECTOR GENERAL,303,15,8,0,0,5,7,0,0,338,0,0,14,0,0,3,0,0,17,0,355
DJ11-U.S. TRUSTEE PROGRAM,109,13,184,563,0,138,3,1,0,1011,2,6,1,0,0,0,0,0,9,0,1020
DJ12-EXECUTIVE OFFICE FOR IMMIGRATION REVIEW,537,86,315,1,0,43,7,0,0,989,10,47,56,0,0,2,0,0,115,0,1104
DJ14-COMMUNITY RELATIONS SERVICE,37,11,0,0,0,1,0,0,0,49,0,0,0,1,1,0,0,0,2,0,51
DLAA-OFFICE OF SECRETARY OF LABOR,213,14,89,1,0,9,1,8,0,335,3,39,6,10,2,14,1,0,75,1,411
DLAM-OFC ASST SEC ADM AND MANAGEMENT,641,50,15,12,0,4,10,0,0,732,20,6,18,0,1,2,0,0,47,0,779
DLBL-BUREAU OF INTERNATIONAL LABOR AFFAIRS,53,16,13,4,0,2,2,2,0,92,1,1,1,2,0,7,0,0,12,0,104
DLCA-OFC OF CONGRESSIONAL & INTERGOV AFFAIRS,8,1,0,0,0,0,1,2,0,12,0,0,3,12,1,0,0,0,16,0,28
DLCF-OFFICE OF THE CHIEF FINANCIAL OFFICER,78,7,0,1,0,0,0,0,0,86,0,0,1,0,1,0,1,0,3,0,89
DLED-PRES TASK FORCE ON EMP OF ADULTS W DISAB,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,0,0,10,0,11
DLEH-OFFICE OF DISABILITY EMPLOYMENT POLICY,21,3,3,0,0,2,0,1,0,30,0,2,1,0,0,2,0,0,5,0,35
DLES-EMPLOYMENT STANDARDS ADMINISTRATION,3425,365,9,21,0,39,19,3,0,3881,18,8,12,4,2,4,0,0,48,0,3929
DLET-EMPLOYMENT AND TRAINING ADMINISTRATION,1089,195,9,10,0,6,16,1,0,1326,26,3,15,3,1,6,0,0,54,0,1380
DLIG-OFFICE OF THE INSPECTOR GENERAL,363,26,3,3,0,6,5,0,0,406,4,2,2,1,0,0,0,0,9,0,415
DLLS-BUREAU OF LABOR STATISTICS,1960,538,4,3,0,4,18,0,3,2530,36,1,17,0,1,1,0,0,56,0,2586
DLMS-MINE SAFETY AND HEALTH ADMINISTRATION,1882,338,0,3,0,10,9,0,2,2244,3,0,4,1,1,0,1,0,10,0,2254
DLNY-NAT OCCUPATIONAL INFO COORDINATING CMTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5
DLPA-OFFICE OF PUBLIC AFFAIRS,33,2,0,0,0,0,0,3,0,38,0,0,1,3,0,0,0,0,4,0,42
DLPE-OFC OF ASST SEC FOR POLICY,24,5,1,0,0,0,2,1,0,33,0,0,1,1,0,0,0,0,2,0,35
DLPW-PENSION AND WELFARE BENEFITS ADMIN,538,186,3,20,0,7,11,1,0,766,5,2,11,0,0,15,0,0,33,0,799
DLSH-OCCUPATIONAL SAFETY AND HEALTH ADM,1920,196,0,1,0,8,18,1,0,2144,14,3,10,3,1,3,0,0,34,0,2178
DLSL-OFFICE OF THE SOLICITOR,186,10,455,0,0,2,19,2,0,674,7,9,1,0,1,0,0,0,18,0,692
DLVE-VETERANS EMPLOYMENT AND TRAINING SER,203,18,0,0,0,12,0,0,0,233,7,0,2,2,1,1,0,0,13,0,246
DLWB-WOMEN'S BUREAU,53,8,0,0,0,0,1,1,0,63,0,0,0,3,0,0,0,0,3,1,67
DN00-DEPARTMENT OF ENERGY,13536,842,431,61,0,64,391,42,1,15368,94,19,64,85,21,113,21,1,418,1,15787
EB-EXPORT-IMPORT BANK OF THE UNITED STATES,295,66,23,0,0,3,0,0,0,387,2,4,15,14,4,0,0,0,39,0,426
EC-OFFICE OF ADMINISTRATION,101,24,55,0,0,7,0,0,0,187,0,1,1,0,0,0,0,0,2,0,189
EDEA-IMM OFC OF SEC OF EDUCATION,49,9,1,0,0,0,1,6,0,66,0,1,4,36,1,5,0,0,47,0,113
EDEB-OFC OF THE DEPUTY SECRETARY OF EDUCATION,9,0,0,0,0,0,0,2,0,11,0,1,0,9,1,1,0,0,12,0,23
EDEC-OFFICE FOR CIVIL RIGHTS,487,34,144,3,0,20,3,2,0,693,2,1,31,2,1,1,0,0,38,0,731
EDEE-OFFICE OF THE UNDER SECRETARY (OUS),91,19,1,0,0,5,7,0,0,123,3,0,4,0,0,4,1,0,12,0,135
EDEF-OFFICE OF INSPECTOR GENERAL,194,51,3,1,0,1,4,0,0,254,2,0,4,1,1,0,0,0,8,0,262
EDEG-OFFICE OF THE GENERAL COUNSEL,24,2,50,0,0,19,7,1,0,103,0,1,1,1,1,1,0,0,5,0,108
EDEH-OFF OF SPEC ED AND REHAB SERV,263,36,42,0,0,8,3,3,0,355,0,4,1,4,2,1,0,0,12,0,367
EDEI-OFFICE OF THE CHIEF INFORMATION OFFICER,91,7,0,0,0,1,3,0,0,102,1,0,4,0,0,0,0,0,5,0,107
EDEJ-OFC OF LEGIS AND CONGRESSIONAL AFFAIRS,13,4,0,0,0,0,0,0,0,17,0,0,1,5,1,0,0,0,7,0,24
EDEK-OFC OF INTERGOV AND INTERAGENCY AFFAIRS,65,17,0,1,0,0,1,0,0,84,1,0,13,31,23,4,0,0,72,0,156
EDEL-OFFICE OF THE CHIEF FINANCIAL OFFICER,228,33,1,0,0,1,3,0,0,266,0,0,5,0,0,0,0,0,5,0,271
EDEM-OFFICE OF MANAGEMENT,158,10,11,0,0,1,5,0,0,185,3,1,5,0,0,6,0,0,15,0,200
EDEN-OFC OF STUDENT FINANCIAL ASSISTANCE PROG,993,138,2,1,0,14,5,0,0,1153,8,0,25,0,0,21,0,0,54,0,1207
EDEP-OFFICE OF POSTSECONDARY EDUCATION,191,32,0,0,0,4,3,1,0,231,1,0,3,11,24,68,1,0,108,0,339
EDER-OFC OF ED RES AND IMPROVEMENT,267,26,1,0,0,4,5,0,0,303,4,0,6,0,1,28,0,0,39,0,342
EDES-OFC OF ELEM AND SEC ED,204,34,0,0,2,8,6,0,0,254,5,0,2,8,12,1,0,0,28,0,282
EDET-OFC OF BILINGUAL ED & MIN LANG AFFAIRS,36,11,0,0,0,0,1,0,0,48,3,0,0,1,0,0,0,0,4,0,52
EDEV-OFFICE OF VOCATIONAL AND ADULT EDUCATION,81,24,0,0,0,0,3,0,0,108,0,0,1,5,1,4,1,0,12,0,120
EDEX-NATIONAL INSTITUTE FOR LITERACY,4,0,0,0,0,0,0,0,0,4,1,0,0,0,7,12,0,0,20,0,24
EDEY-ADVISORY COUNCILS AND COMMITTEES,0,0,0,0,0,4,0,0,0,4,0,0,0,0,1,27,0,0,28,0,32
EDEZ-NATIONAL ASSESSMENT GOVERNING BOARD,4,0,0,0,0,1,0,0,0,5,0,0,0,0,0,30,0,0,30,0,35
EE-EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,1924,182,544,1,0,17,40,1,0,2709,20,13,29,3,4,0,0,1,70,0,2779
EM-FEDERAL EMERGENCY MANAGEMENT AGENCY,1652,256,201,0,0,17,32,15,0,2173,70,32,37,5,6,5899,1,0,6050,0,8223
EO-MORRIS K UDALL SCHOLARSHIP...FOUNDATION,0,0,0,0,0,6,0,0,0,6,0,0,0,0,2,16,0,0,18,0,24
EP-ENVIRONMENTAL PROTECTION AGENCY,14487,1479,1037,50,0,84,255,19,0,17411,133,97,222,7,9,706,3,0,1177,8,18596
EQ-COUNCIL ON ENVIR QUAL/OFC OF ENVIR QUAL,1,3,6,0,0,7,0,0,0,17,0,0,0,3,1,1,0,0,5,0,22
EW-TRADE AND DEVELOPMENT AGENCY,14,15,2,0,0,1,2,0,0,34,0,0,0,2,1,0,0,0,3,0,37
EX-EXECUTIVE RESIDENCE AT THE WHITE HOUSE,0,0,0,0,0,18,0,0,0,18,0,33,0,0,0,39,0,0,72,0,90
FC-FEDERAL COMMUNICATIONS COMMISSION,1245,112,460,28,0,21,39,4,0,1909,11,8,8,3,5,11,0,1,47,0,1956
FD-FEDERAL DEPOSIT INSURANCE CORPORATION,5452,470,378,44,0,8,0,0,0,6352,352,25,100,6,3,9,0,0,495,0,6847
FI-FEDERAL FINANCIAL INST. EXAM. COUNCIL,4,2,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
FJ-CHEMICAL SAFETY/HAZARD INVESTIGATION BD,0,0,0,0,0,20,0,0,0,20,0,0,0,1,0,4,0,0,5,1,26
FK-FARM CREDIT SYSTEM INSURANCE CORPORATION,9,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
FL-FARM CREDIT ADMINISTRATION,249,6,14,0,0,0,0,0,0,269,1,0,0,10,2,0,0,0,13,0,282
FM-FED MEDIATION AND CONCILIATION SERVICE,61,6,1,0,0,210,2,0,0,280,1,0,0,0,0,0,2,0,3,0,283
FQ-COURT SERVICES AND OFFENDR SUPERVSN AGY,0,0,748,0,0,8,0,0,0,756,0,25,0,0,0,2,0,0,27,0,783
FT-FEDERAL TRADE COMMISSION,342,95,421,0,0,6,28,4,0,896,65,18,26,5,5,7,0,0,126,0,1022
FW-OFFICE OF SPECIAL COUNSEL,56,3,24,0,0,2,4,1,0,90,0,8,4,0,1,2,0,0,15,0,105
FY-FEDERAL HOUSING FINANCE BOARD,73,14,13,0,0,0,0,0,0,100,0,0,3,1,1,2,0,0,7,0,107
GB-OVERSEAS PRIVATE INVESTMENT CORPORATION,110,35,4,0,0,30,0,0,0,179,1,0,3,0,1,11,0,0,16,0,195
GE-BARRY GOLDWATER SCHOL & EXCEL IN ED FOUN,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0,7,0,0,7,0,11
GG-OFFICE OF GOVERNMENT ETHICS,52,8,16,0,0,0,4,0,0,80,0,0,0,0,0,0,0,0,0,0,80
GJ-PRESIDIO TRUST,0,0,0,0,0,305,0,0,0,305,0,0,0,0,0,79,0,0,79,0,384
GS-GENERAL SERVICES ADMINISTRATION,12757,748,169,124,0,100,84,18,0,14000,125,40,39,9,2,25,2,0,242,0,14242
GW-INTERNAT BOUNDARY & WATER CMSN: US & MEX,211,12,1,0,0,5,0,0,0,229,19,1,16,1,1,2,0,0,40,0,269
GX-INTERNAT BOUNDARY CMSN: U.S. AND CANADA,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,4,0,7
GY-INTERNATIONAL JOINT CMSN: U.S. & CANADA,6,3,1,0,0,0,0,0,0,10,4,0,0,1,3,0,0,0,8,0,18
HB-CMTE FOR PURCH FRM PPLE BLIND OR SEV DIS,13,2,4,0,3,0,1,0,0,23,0,0,0,0,2,6,0,0,8,0,31
HD-U.S. HOLOCAUST MEMORIAL COUNCIL,155,61,0,0,0,9,0,0,0,225,10,0,0,0,0,4,0,0,14,0,239
HE10-OFC SEC HEALTH AND HUMAN SERVICES,2017,507,315,8,0,57,61,29,0,2994,38,1467,34,34,7,101,6,0,1687,3,4684
HE11-PROGRAM SUPPORT CENTER,851,121,6,0,0,10,6,0,0,994,5,14,38,0,0,6,0,0,63,0,1057
HE31-OFC ASST SEC FOR HEALTH,3,2,1,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,2,0,8
HE32-SUBSTANCE ABUSE & MENTAL HEALTH SERV ADM,424,62,4,0,0,3,10,0,0,503,0,0,6,1,1,78,0,0,86,0,589
HE33-AGY FOR HEALTHCARE RESEARCH AND QUALITY,164,43,1,0,0,6,4,1,0,219,1,0,11,0,0,46,0,0,58,0,277
HE34-HEALTH RESOURCES AND SERVICES ADM,1205,207,34,4,0,6,17,0,0,1473,57,2,17,0,0,40,0,1,117,0,1590
HE35-AGY FOR TOXIC SUBSTANCES AND DISEASE REG,293,51,1,0,0,1,2,0,0,348,0,0,1,0,0,40,0,0,41,0,389
HE36-FOOD AND DRUG ADMINISTRATION,6984,961,59,8,0,92,56,1,0,8161,104,9,93,0,2,2994,0,0,3202,4,11367
HE37-INDIAN HEALTH SERVICE,8441,1081,1861,2,0,26,16,0,0,11427,200,1216,5,1,0,15,0,0,1437,0,12864
HE38-NATIONAL INSTITUTES OF HEALTH,10343,2185,78,29,0,188,149,0,2,12974,325,8,490,0,0,3137,1,0,3961,2,16937
HE39-CENTERS FOR DISEASE CONTROL AND PREVENTN,5110,986,56,7,0,95,24,1,0,6279,80,17,175,0,0,745,0,0,1017,1,7297
HE70-HEALTH CARE FINANCING ADMINISTRATION,3430,763,50,25,0,62,41,4,0,4375,7,1,46,2,1,126,3,0,186,0,4561
HE90-ADMINISTRATION FOR CHILDREN AND FAMILIES,1341,45,7,1,0,4,12,10,0,1420,6,1,5,10,2,31,0,0,55,1,1476
HP-ADV COUNCIL ON HISTORIC PRESERVATION,0,0,0,0,1,30,2,0,0,33,0,0,0,0,8,6,0,0,14,0,47
HT-HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,2,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4
HU01-OFC SR COM BLDR/COOR NEW ENGLAND,233,29,16,0,0,0,1,1,0,280,5,1,0,1,0,0,0,0,7,0,287
HU02-OFC SR COM BLDR/COOR NEW YORK/NEW JERSEY,479,37,23,0,0,2,0,1,0,542,11,0,0,1,0,0,0,0,12,0,554
HU03-OFC SR COM BLDR/COOR MID-ATLANTIC,582,54,19,0,0,0,0,0,0,655,12,1,2,0,0,0,0,0,15,0,670
HU04-OFC SR COM BLDR/COOR SOUTHEAST/CARIBBEAN,1086,82,33,1,0,4,0,1,0,1207,34,1,0,0,0,1,0,0,36,0,1243
HU05-OFC SR COM BLDR/COOR MIDWEST,767,59,35,0,0,0,0,0,0,861,15,4,1,1,0,2,0,0,23,0,884
HU06-OFC SR COM BLDR/COOR SOUTHWEST,661,37,20,0,0,0,0,0,0,718,16,2,5,1,0,0,0,0,24,0,742
HU07-OFC SR COM BLDR/COOR GREAT PLAINS,211,15,10,0,0,1,0,0,0,237,5,0,0,0,0,1,0,0,6,0,243
HU08-OFC SR COM BLDR/COOR ROCKY MOUNTAINS,446,19,13,0,0,2,0,0,0,480,8,0,0,1,0,0,0,0,9,0,489
HU09-OFC SR COM BLDR/COOR PACIFIC/HAWAII,591,74,18,0,0,2,0,1,0,686,22,0,0,2,0,0,0,0,24,0,710
HU10-OFC SR COM BLDR/COOR NORTHWEST/ALASKA,210,12,8,0,0,0,0,1,0,231,3,0,1,0,0,0,0,0,4,0,235
HUAA-OFFICE OF THE SECRETARY OF HUD,25,0,4,0,0,1,2,2,0,34,2,0,1,3,2,1,0,0,9,0,43
HUBB-ASSISTANT SECRETARY FOR ADMINISTRATION,461,11,16,2,0,1,7,0,0,498,13,8,2,20,0,3,0,0,46,0,544
HUCC-OFFICE OF GENERAL COUNSEL,59,1,102,0,0,0,9,3,0,174,8,8,4,6,1,0,0,0,27,0,201
HUDD-ASST SEC FOR CMNTY PLAN AND DEVELOPMENT,183,33,3,0,0,1,6,0,0,226,5,0,3,9,1,1,0,0,19,0,245
HUEE-ASST SEC FOR FAIR HOUS AND EQUAL OPPOR,109,2,4,0,0,0,4,1,0,120,3,0,0,1,1,0,0,0,5,0,125
HUFF-OFFICE OF THE CHIEF FINANCIAL OFFICER,131,4,2,0,0,1,5,0,0,143,3,0,51,0,0,0,0,0,54,0,197
HUGG-OFFICE OF INSPECTOR GENERAL,582,87,3,25,0,5,6,0,0,708,0,3,2,0,1,0,0,0,6,0,714
HUII-OFC OF DEPARTMENTAL OPERATIONS AND COORD,31,8,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,40
HUJJ-ASST SEC FOR CONGR & INTERGOV RELATIONS,15,4,0,0,0,0,0,2,0,21,0,0,0,12,0,0,0,0,12,0,33
HULL-OFFICE OF LEAD HAZARD CONTROL,18,4,1,0,0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,25
HUMM-ASST SEC FOR HOUSING--FED HOUSING CMSNR,559,25,8,0,0,2,5,0,0,599,9,1,0,3,1,5,0,0,19,0,618
HUNN-OFFICE OF THE CHIEF PROCUREMENT OFFICER,41,4,0,0,0,0,2,0,0,47,0,0,1,0,0,0,0,0,1,0,48
HUOO-OFC OF FED HOUSING ENTERPRISE OVERSIGHT,56,25,7,0,0,1,0,0,0,89,2,0,0,0,1,4,0,0,7,0,96
HUPP-ASST SEC FOR PUB AND INDIAN HOUSING,460,28,4,0,0,2,6,2,0,502,1,0,1,1,1,0,0,0,4,0,506
HUQQ-OFFICE OF THE CHIEF INFORMATION OFFICER,34,1,0,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,36
HURR-ASST SEC FOR POLICY DEV AND RES,86,18,2,0,0,0,3,0,0,109,1,0,0,4,1,10,0,0,16,0,125
HUTT-GOVERNMENT NATIONAL MORTGAGE ASSOCIATION,48,8,0,0,0,0,6,0,0,62,1,0,0,0,0,0,0,0,1,0,63
HUUU-OFC OF DEPT EQUAL EMPLOYMENT OPPORTUNITY,20,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,21
HUVV-DEPARTMENTAL ENFORCEMENT CENTER,138,23,24,0,0,10,3,0,0,198,2,0,0,0,0,0,0,0,2,0,200
HUWW-ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,4,7,0,0,0,0,0,1,0,12,0,0,0,1,0,0,0,0,1,0,13
HUXX-DEPARTMENTAL REAL ESTATE ASSESSMENT CNTR,195,42,1,0,0,4,3,0,0,245,0,0,0,0,0,0,0,0,0,0,245
HUYY-OFC OF MULTIFAMILY HOUSG ASSIST RESTRUCT,15,1,0,0,0,0,0,0,0,16,11,0,0,0,1,62,0,0,74,0,90
IB-BROADCASTING BOARD OF GOVERNORS,1316,175,8,84,0,174,11,4,0,1772,22,5,12,6,5,76,1,0,127,0,1899
IF-INTER-AMERICAN FOUNDATION,28,6,1,0,0,0,0,0,0,35,5,0,0,0,0,1,0,0,6,0,41
IN01-OFFICE OF THE SECRETARY OF THE INTERIOR,1403,150,114,11,0,78,33,22,0,1811,22,46,39,21,6,16,6,0,156,0,1967
IN05-BUREAU OF LAND MANAGEMENT,7847,808,12,203,0,28,19,0,0,8917,643,1012,176,3,1,156,0,0,1991,0,10908
IN06-INDIAN AFFAIRS,4695,94,926,6,0,20,21,0,0,5762,41,869,8,0,0,4093,0,0,5011,0,10773
IN07-BUREAU OF RECLAMATION,4764,539,21,74,0,33,15,0,0,5446,198,23,113,1,5,7,0,1,348,0,5794
IN08-GEOLOGICAL SURVEY,7772,525,14,282,0,11,30,0,0,8634,698,153,521,1,1,23,0,0,1397,0,10031
IN10-NATIONAL PARK SERVICE,12989,2587,100,163,0,332,22,1,0,16194,5573,274,944,3,0,209,0,1,7004,0,23198
IN15-U.S. FISH AND WILDLIFE SERVICE,6288,1300,24,107,0,122,17,0,0,7858,682,335,146,0,1,13,0,0,1177,0,9035
IN21-OFFICE OF THE SOLICITOR,79,10,232,0,0,2,10,6,0,339,6,36,2,1,1,2,1,0,49,0,388
"IN22-OFC OF SURFACE MINING, RECL AND ENFORC",574,38,0,8,0,5,5,0,0,630,3,0,7,0,1,1,0,0,12,0,642
IN23-MINERALS MANAGEMENT SERVICE,1581,121,6,10,0,2,12,1,0,1733,6,1,22,1,0,3,0,0,33,0,1766
IN24-OFFICE OF THE INSPECTOR GENERAL,221,19,4,2,0,0,7,0,0,253,0,0,9,0,1,0,0,0,10,0,263
KS-CORP FOR NATIONAL AND COMMUNITY SERVICE,143,0,0,0,0,89,3,0,0,235,3,0,1,0,3,381,0,0,388,0,623
LF-FEDERAL ELECTION COMMISSION,0,0,0,0,0,326,0,0,0,326,0,0,0,0,0,22,0,0,22,0,348
LP-GOVERNMENT PRINTING OFFICE,2884,205,11,4,0,45,0,0,0,3149,11,4,0,1,0,13,0,0,29,0,3178
LT-U.S. TAX COURT,118,7,8,0,0,10,0,0,0,143,0,52,2,24,0,6,0,0,84,0,227
MA-MARINE MAMMAL COMMISSION,6,1,1,0,0,2,0,0,0,10,0,0,0,0,0,7,0,0,7,0,17
MC-FEDERAL MARITIME COMMISSION,86,3,14,0,0,2,7,0,0,112,0,0,0,5,5,0,0,0,10,0,122
NF-NATIONAL SCIENCE FOUNDATION,575,13,0,0,0,201,72,0,0,861,2,0,4,0,9,15,3,0,33,0,894
NK-NATIONAL COUNCIL ON DISABILITY,5,1,2,0,0,1,0,0,0,9,0,1,0,0,1,10,0,0,12,0,21
NL-NATIONAL LABOR RELATIONS BOARD,1009,95,737,37,0,8,51,3,0,1940,0,49,35,1,5,3,2,0,95,0,2035
NM-NATIONAL MEDIATION BOARD,23,11,5,0,0,4,2,0,0,45,0,1,0,3,0,0,0,0,4,0,49
NN-NAT AERONAUTICS AND SPACE ADMINISTRATION,16243,1376,108,257,0,36,393,3,0,18416,212,7,92,10,4,73,2,0,400,0,18816
NP-NATIONAL CAPITAL PLANNING COMMISSION,36,8,1,0,0,0,3,0,0,48,0,0,3,0,5,0,0,0,8,0,56
NQ-NAT ARCHIVES AND RECORDS ADMINISTRATION,1953,428,74,2,0,12,12,1,0,2482,29,14,172,1,1,1,0,2,220,0,2702
NS-NATIONAL SECURITY COUNCIL,0,0,42,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,42
NU-NUCLEAR REGULATORY COMMISSION,0,0,0,0,0,2647,139,1,0,2787,0,0,0,0,6,115,0,0,121,0,2908
NV08-IMMEDIATE OFC OF SEC OF NAVY,283,8,60,0,0,7,32,5,0,395,0,0,5,6,5,0,0,0,16,0,411
NV09-NAVY STAFF OFFICES,122,7,6,0,0,4,3,0,0,142,0,1,3,0,0,0,1,0,5,0,147
NV10-NAVY FIELD OFFICES,1869,159,1335,17,0,240,14,0,0,3634,17,13,30,0,0,5,1,0,66,0,3700
NV11-IMM OFC OF CHIEF OF NAVAL OPERATIONS,4119,289,488,11,0,497,21,0,0,5425,133,406,69,0,0,104,1,0,713,0,6138
NV14-OFFICE OF NAVAL RESEARCH,2687,236,39,49,0,10,51,1,0,3073,7,26,124,0,0,26,0,0,183,1,3257
NV15-NAVAL INTELLIGENCE COMMAND,0,0,0,0,0,1004,0,0,0,1004,0,0,0,0,0,23,0,0,23,0,1027
NV18-NAVAL MEDICAL COMMAND,8262,951,124,3,0,326,1,0,0,9667,153,326,97,0,7,12,0,0,595,1,10263
NV19-NAVAL AIR SYSTEMS COMMAND,23124,1379,79,76,0,437,50,0,0,25145,152,16,62,0,0,0,0,0,230,0,25375
NV22-BUREAU OF NAVAL PERSONNEL,1286,168,2,2,0,110,2,0,0,1570,68,0,5,0,0,0,0,0,73,0,1643
NV23-NAVAL SUPPLY SYSTEMS COMMAND,7645,78,48,5,0,33,6,0,0,7815,25,14,10,0,0,2,0,0,51,0,7866
NV24-NAVAL SEA SYSTEMS COMMAND,39665,2647,131,1062,0,277,74,0,0,43856,183,6,145,0,0,4,0,0,338,3,44197
NV25-NAVAL FACILITIES ENGINEERING COMMAND,12613,284,77,14,0,44,9,0,0,13041,274,22,41,0,0,0,0,0,337,0,13378
NV27-U.S. MARINE CORPS,12333,673,44,5,0,317,13,0,0,13385,793,146,71,0,0,16,0,0,1026,1,14412
NV30-SPECIAL PROJECTS OFFICE,726,27,14,2,0,11,7,0,0,787,4,0,1,0,0,0,0,0,5,0,792
NV33-MILITARY SEALIFT COMMAND,925,84,3376,3,0,43,3,0,0,4434,23,31,12,1,0,0,0,0,67,0,4501
NV39-NAVAL SPACE AND WARFARE SYSTEMS COMMAND,5969,454,51,50,0,140,26,0,0,6690,35,2,97,0,0,0,0,0,134,0,6824
