Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Non-permanent,Unspecified,Type of Appointment - All
CM61-NAT TELECOMMUNICATIONS AND INFO ADMIN,202,27,19,0,0,0,7,0,0,255,4,0,14,3,1,2,0,0,24,0,279
CM62-NATIONAL TECHNICAL INFORMATION SERVICE,299,24,0,0,0,0,3,0,0,326,5,0,5,0,0,0,0,0,10,0,336
CM63-BUREAU OF THE CENSUS,4659,506,764,7,0,2215,34,0,0,8185,2170,2557,90,1,0,34,12,0,4864,0,13049
CM64-OFFICE OF THE INSPECTOR GENERAL,139,27,5,0,0,0,6,0,0,177,1,0,1,0,0,0,0,0,2,0,179
CM65-ECONOMICS AND STATISTICS ADMINISTRATION,62,4,1,0,0,0,6,2,0,75,1,1,2,0,1,0,0,0,5,0,80
CM67-BUREAU OF EXPORT ADMINSTRATION,308,38,1,0,0,2,9,0,0,358,0,0,4,3,3,0,0,0,10,0,368
CT00-COMMODITY FUTURES TRADING COMMISSION,329,28,147,0,0,0,19,3,0,526,3,11,30,5,5,0,0,0,54,0,580
CU00-NATIONAL CREDIT UNION ADMINISTRATION,713,102,11,0,0,3,0,0,0,829,34,1,5,4,5,6,0,0,55,0,884
CX00-NAT CMSN ON LIBRARIES AND INFO SCIENCE,2,0,0,0,0,1,0,1,0,4,0,0,0,0,5,8,0,0,13,0,17
DD**-UNSPECIFIED,2,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,4
DD01-OFFICE OF THE SECRETARY OF DEFENSE,962,27,69,50,0,22,202,48,0,1380,10,2,2,79,16,374,13,0,496,1,1877
DD02-JOINT STAFF,181,13,0,0,0,1,2,0,0,197,0,0,0,1,0,1,1,0,3,0,200
DD03-DEFENSE SPECIAL WEAPONS AGENCY,462,23,7,3,0,8,13,0,0,516,2,2,6,0,0,0,0,0,10,0,526
DD04-DEFENSE INFORMATION SYSTEMS AGENCY,5815,269,27,27,0,51,32,0,0,6221,92,7,106,1,0,0,0,0,206,0,6427
DD06-DEFENSE SECURITY COOPERATION AGENCY,98,5,1,0,0,0,4,0,0,108,0,0,0,1,0,0,0,0,1,0,109
DD07-DEFENSE LOGISTICS AGENCY,39514,465,270,18,0,252,26,0,0,40545,666,61,67,0,0,80,2,0,876,3,41424
DD08-US COURT APLS ARMED FORCES,14,1,10,0,1,23,2,0,0,51,0,0,1,0,4,2,0,0,7,0,58
DD09-AMERICAN FORCES INFORMATION SERVICE,241,17,2,2,0,9,3,0,0,274,7,1,0,0,0,2,0,0,10,0,284
DD10-DEFENSE CONTRACT AUDIT AGENCY,4103,44,8,1,0,0,16,0,0,4172,12,0,44,0,0,1,0,0,57,0,4229
DD12-DEFENSE SECURITY SERVICE,2364,45,12,0,0,27,6,0,0,2454,35,7,2,0,0,1,0,0,45,1,2500
DD13-DEFENSE ADVANCED RESEARCH PROJECTS AGCY,104,4,2,1,0,0,11,1,0,123,9,0,0,0,0,10,2,0,21,0,144
DD15-UNIFORMED SVCS UNIV OF HEALTH SCIENCES,382,48,85,2,0,2,0,0,0,519,30,156,9,0,9,4,0,0,208,0,727
DD16-DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,849,138,5036,0,0,4464,4,0,0,10491,91,8415,45,0,0,1400,0,0,9951,1,20443
DD17-TRICARE SUPPORT OFFICE,158,0,14,1,0,1,0,1,0,175,5,0,7,0,0,0,0,0,12,0,187
DD21-WASHINGTON HEADQUARTERS SERVICES,1091,95,34,7,0,54,15,0,0,1296,24,38,25,18,0,61,5,0,171,0,1467
DD23-OFFICE OF ECONOMIC ADJUSTMENT,37,2,0,0,0,0,1,1,0,41,0,0,0,0,0,0,0,0,0,0,41
DD25-DEFENSE LEGAL SERVICES AGENCY,46,1,35,0,0,5,1,0,0,88,0,0,0,0,0,0,0,0,0,0,88
DD26-OFFICE OF THE INSPECTOR GENERAL,805,34,15,343,0,5,19,0,0,1221,0,0,2,1,1,0,0,0,4,0,1225
DD27-BALLISTIC MISSILE DEFENSE ORGANIZATION,254,23,13,0,0,6,14,0,0,310,3,0,1,0,0,7,0,0,11,0,321
DD29-DEFENSE TECHNOLOGY SECURITY ADMIN,68,4,0,0,0,0,2,0,0,74,0,0,0,0,0,1,0,0,1,0,75
DD32-ON-SITE INSPECTION AGENCY,228,10,5,0,0,7,0,0,0,250,7,1,0,0,0,0,0,0,8,0,258
DD34-DEFENSE COMMISSARY AGENCY,10952,3561,51,0,0,264,3,1,0,14832,1303,1124,9,0,0,21,1,0,2458,0,17290
DD35-DEFENSE FINANCE AND ACCOUNTING SERVICE,15764,720,63,6,0,208,26,0,0,16787,1100,12,37,0,0,0,2,0,1151,1,17939
DD48-DEFENSE HUMAN RESOURCES ACTIVITY,646,42,4,1,0,11,4,0,0,708,6,0,1,0,0,1,1,0,9,0,717
DD50-USD(A&T) DEFENSE SUPPORT ACTIVITY,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
DD58-DEFENSE POW/MISSING PERSONNEL OFFICE,16,2,54,0,0,4,1,0,0,77,0,0,0,1,0,0,0,0,1,0,78
DD60-TRICARE MANAGEMENT ACTIVITY,108,5,0,0,0,0,4,0,0,117,0,0,0,0,0,0,0,0,0,0,117
"DJ01-OFFICES, BOARDS AND DIVISIONS",2700,341,2192,15,1,492,175,38,1,5955,292,233,302,31,13,86,4,2,963,0,6918
DJ02-FEDERAL BUREAU OF INVESTIGATION,0,0,0,0,0,26800,182,0,0,26982,0,0,0,0,0,673,0,0,673,0,27655
DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,23761,4781,268,43,0,1585,47,1,1,30487,76,12,87,0,0,13,0,0,188,0,30675
DJ04-IMMIGRATION AND NATURALIZATION SERVICE,17489,8357,591,150,0,2152,38,3,0,28780,1239,182,563,0,1,136,1,1,2123,0,30903
DJ06-DRUG ENFORCEMENT ADMINISTRATION,5987,596,339,1181,0,201,63,0,0,8367,12,2,95,0,1,2,0,0,112,0,8479
DJ07-OFFICE OF JUSTICE PROGRAMS,405,205,40,8,0,4,10,4,0,676,25,7,63,2,4,2,0,0,103,0,779
DJ08-U.S. MARSHALS SERVICE,3406,634,8,2,1,51,10,1,0,4113,23,0,3,0,86,7,0,0,119,0,4232
DJ09-EXEC OFC US ATTORNEY AND OFF US ATTORNEY,4305,486,56,10,0,4438,4,0,0,9299,136,11,452,14,61,288,0,0,962,0,10261
DJ10-OFFICE OF THE INSPECTOR GENERAL,379,48,9,2,0,7,7,0,0,452,2,1,18,0,1,2,0,0,24,0,476
DJ11-U.S. TRUSTEE PROGRAM,106,10,191,575,0,143,4,1,0,1030,6,5,1,0,0,0,0,0,12,0,1042
DJ12-EXECUTIVE OFFICE FOR IMMIGRATION REVIEW,484,140,305,1,0,61,7,0,0,998,2,52,66,0,0,0,0,0,120,0,1118
DJ14-COMMUNITY RELATIONS SERVICE,36,4,0,0,0,1,0,0,0,41,0,0,0,0,1,0,0,0,1,0,42
DL**-UNSPECIFIED,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,7,0,8
DLAA-OFFICE OF SECRETARY OF LABOR,209,6,97,1,0,11,1,5,0,330,1,36,6,14,2,1,3,0,63,0,393
DLAM-OFC ASST SEC ADM AND MANAGEMENT,753,22,18,5,0,5,8,1,0,812,31,3,39,2,2,0,0,0,77,0,889
DLBL-BUREAU OF INTERNATIONAL LABOR AFFAIRS,124,21,4,0,0,2,1,2,0,154,19,0,3,1,0,17,0,0,40,0,194
DLCA-OFC OF CONGRESSIONAL & INTERGOV AFFAIRS,7,2,0,0,0,0,1,0,0,10,1,3,3,16,1,0,0,0,24,0,34
DLCF-OFFICE OF THE CHIEF FINANCIAL OFFICER,27,4,0,0,0,0,0,0,0,31,0,1,0,0,0,0,1,0,2,0,33
DLEH-OFFICE OF DISABILITY EMPLOYMENT POLICY,20,6,3,0,0,0,0,1,0,30,0,4,1,0,0,1,0,0,6,0,36
DLES-EMPLOYMENT STANDARDS ADMINISTRATION,3322,354,16,6,0,33,20,4,0,3755,79,9,24,11,1,2,0,0,126,0,3881
DLET-EMPLOYMENT AND TRAINING ADMINISTRATION,1194,73,10,7,0,3,14,3,0,1304,42,3,34,4,1,2,0,0,86,0,1390
DLIG-OFFICE OF THE INSPECTOR GENERAL,386,8,3,0,0,0,5,0,0,402,5,0,1,2,1,2,0,0,11,0,413
DLLS-BUREAU OF LABOR STATISTICS,1972,375,2,7,0,6,16,0,0,2378,92,2,23,0,1,0,0,0,118,0,2496
DLMS-MINE SAFETY AND HEALTH ADMINISTRATION,2002,133,0,2,0,20,8,0,0,2165,7,1,5,2,1,1,0,0,17,0,2182
DLNY-NAT OCCUPATIONAL INFO COORDINATING CMTE,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
DLPA-OFFICE OF PUBLIC AFFAIRS,41,1,0,0,0,0,0,2,0,44,0,0,1,7,1,1,0,0,10,0,54
DLPE-OFC OF ASST SEC FOR POLICY,20,0,0,0,0,0,2,1,0,23,1,0,0,4,1,1,0,0,7,0,30
DLPW-PENSION AND WELFARE BENEFITS ADMIN,504,133,2,19,0,2,9,1,0,670,12,1,15,3,0,15,1,0,47,0,717
DLSH-OCCUPATIONAL SAFETY AND HEALTH ADM,1922,183,20,2,0,20,13,2,0,2162,10,2,19,4,1,2,0,0,38,0,2200
DLSL-OFFICE OF THE SOLICITOR,193,6,443,0,0,1,20,1,0,664,6,22,2,1,0,0,0,0,31,0,695
DLVE-VETERANS EMPLOYMENT AND TRAINING SER,194,12,0,0,0,11,0,0,0,217,4,0,1,1,0,0,0,0,6,0,223
DLWB-WOMEN'S BUREAU,57,5,0,0,0,0,0,1,0,63,1,0,1,2,0,0,1,0,5,0,68
DN00-DEPARTMENT OF ENERGY,14505,364,437,59,0,51,374,38,0,15828,56,9,46,83,17,97,11,1,320,0,16148
EB00-EXPORT-IMPORT BANK OF THE UNITED STATES,315,34,25,0,0,1,0,0,0,375,3,3,18,11,5,2,0,0,42,0,417
EC00-OFFICE OF ADMINISTRATION,112,9,43,0,0,6,0,0,0,170,0,0,1,0,0,0,0,0,1,0,171
EDEA-IMM OFC OF SEC OF EDUCATION,48,4,1,0,0,1,1,7,0,62,1,1,4,34,1,4,0,0,45,0,107
EDEB-OFC OF THE DEPUTY SECRETARY OF EDUCATION,9,2,0,0,0,0,0,1,0,12,0,0,0,11,0,5,0,0,16,0,28
EDEC-OFFICE FOR CIVIL RIGHTS,516,39,137,6,0,24,3,2,0,727,2,2,28,1,1,3,0,0,37,0,764
EDEE-OFFICE OF THE UNDER SECRETARY (OUS),91,17,3,0,0,8,7,0,0,126,0,0,5,1,1,0,0,0,7,0,133
EDEF-OFFICE OF INSPECTOR GENERAL,231,47,1,1,0,1,6,0,0,287,2,0,1,0,0,0,0,0,3,0,290
EDEG-OFFICE OF THE GENERAL COUNSEL,21,1,51,0,0,19,8,2,0,102,0,3,0,0,1,0,1,0,5,0,107
EDEH-OFF OF SPEC ED AND REHAB SERV,240,45,40,0,0,6,3,3,0,337,4,3,4,3,2,4,0,0,20,0,357
EDEJ-OFC OF LEGIS AND CONGRESSIONAL AFFAIRS,12,3,0,0,0,0,0,0,0,15,1,0,0,5,1,0,0,0,7,0,22
EDEK-OFC OF INTERGOV AND INTERAGENCY AFFAIRS,62,10,0,0,1,0,1,0,0,74,1,1,7,34,24,3,0,0,70,0,144
EDEL-OFFICE OF THE CHIEF FINANCIAL OFFICER,273,38,1,0,0,0,2,0,0,314,1,0,11,1,1,1,1,0,16,0,330
EDEM-OFFICE OF MANAGEMENT,174,6,11,0,0,1,5,0,0,197,3,0,3,0,0,7,0,0,13,0,210
EDEP-OFFICE OF POSTSECONDARY EDUCATION,1176,120,5,0,0,11,9,1,0,1322,12,0,10,10,27,66,0,1,126,0,1448
EDER-OFC OF ED RES AND IMPROVEMENT,293,36,1,0,0,0,6,0,0,336,5,0,6,0,2,19,0,0,32,0,368
EDES-OFC OF ELEM AND SEC ED,190,34,0,0,2,4,6,1,0,237,5,0,8,13,12,3,0,0,41,0,278
EDET-OFC OF BILINGUAL ED & MIN LANG AFFAIRS,36,6,0,0,0,0,0,1,0,43,1,0,0,2,0,0,0,0,3,0,46
EDEV-OFFICE OF VOCATIONAL AND ADULT EDUCATION,91,10,0,0,0,0,3,0,0,104,1,0,1,5,1,2,1,0,11,0,115
EDEX-NATIONAL INSTITUTE FOR LITERACY,4,0,0,0,0,2,0,0,0,6,1,0,0,0,10,7,0,0,18,0,24
EDEY-ADVISORY COUNCILS AND COMMITTEES,0,0,0,0,0,5,0,0,0,5,0,0,0,0,1,23,0,0,24,0,29
EDEZ-NATIONAL ASSESSMENT GOVERNING BOARD,4,0,0,0,0,1,0,0,0,5,0,0,0,0,1,27,0,0,28,0,33
EE00-EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,1970,26,464,0,0,7,40,3,0,2510,19,8,24,4,4,2,0,0,61,0,2571
EK00-ASSASSINATIONS RECORDS REVIEW BOARD,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,22,0,0,22,0,25
EM00-FEDERAL EMERGENCY MANAGEMENT AGENCY,1736,175,217,0,0,23,29,15,0,2195,72,2,36,5,6,7142,2,0,7265,0,9460
EO00-MORRIS K UDALL SCHOLARSHIP...FOUNDATION,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,3,0,0,4,0,7
EP00-ENVIRONMENTAL PROTECTION AGENCY,14795,1560,1050,91,0,99,228,19,0,17842,244,66,382,15,7,679,4,0,1397,3,19242
EQ00-COUNCIL ON ENVIR QUAL/OFC OF ENVIR QUAL,1,0,4,0,0,7,0,0,0,12,0,0,0,5,1,0,0,0,6,0,18
EV00-CIVIL LIBERTIES PUBLIC EDUCATION FUND BD,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
EW00-TRADE AND DEVELOPMENT AGENCY,18,10,2,0,0,0,2,0,0,32,0,1,0,0,1,3,0,0,5,0,37
EX00-EXECUTIVE RESIDENCE AT THE WHITE HOUSE,0,0,0,0,0,12,0,0,0,12,0,36,0,0,0,36,0,0,72,0,84
FC00-FEDERAL COMMUNICATIONS COMMISSION,1287,6,287,20,0,15,36,5,0,1656,103,180,9,5,9,17,0,0,323,0,1979
FD00-FEDERAL DEPOSIT INSURANCE CORPORATION,5632,510,455,9,0,9,0,0,0,6615,772,15,94,2,4,3,0,0,890,0,7505
FI00-FEDERAL FINANCIAL INST. EXAM. COUNCIL,4,2,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
FJ00-CHEMICAL SAFETY/HAZARD INVESTIGATION BD,0,0,0,0,0,12,0,0,0,12,0,0,0,0,2,0,0,0,2,0,14
FK00-FARM CREDIT SYSTEM INSURANCE CORPORATION,8,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
FL00-FARM CREDIT ADMINISTRATION,265,4,13,2,0,0,0,0,0,284,0,0,0,8,2,1,0,0,11,0,295
FM00-FED MEDIATION AND CONCILIATION SERVICE,62,4,5,0,0,206,2,0,0,279,0,0,0,1,0,0,1,0,2,0,281
FT00-FEDERAL TRADE COMMISSION,361,64,428,0,0,4,25,6,0,888,51,8,49,3,4,14,0,0,129,0,1017
FW00-OFFICE OF SPECIAL COUNSEL,56,0,20,0,0,3,5,1,0,85,0,0,4,0,1,1,0,0,6,0,91
FY00-FEDERAL HOUSING FINANCE BOARD,68,23,11,0,0,1,0,0,0,103,1,1,4,1,0,3,0,0,10,0,113
GE00-BARRY GOLDWATER SCHOL & EXCEL IN ED FOUN,0,0,0,0,0,3,0,1,0,4,0,0,0,0,2,6,0,0,8,0,12
GG00-OFFICE OF GOVERNMENT ETHICS,53,11,14,0,0,0,4,0,0,82,1,0,0,1,1,0,0,0,3,0,85
GS**-UNSPECIFIED,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GS01-IMMEDIATE OFFICE OF THE ADMINISTRATOR,9,29,3,0,0,1,1,1,0,44,0,1,0,2,1,0,0,0,4,0,48
GS03-PUBLIC BUILDINGS SERVICE,6797,229,36,51,0,152,25,2,0,7292,65,2,16,3,0,1,0,0,87,0,7379
GS04-OFFICE OF CIVIL RIGHTS,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
GS10-OFFICE OF ENTERPRISE DEVELOPMENT,13,0,0,0,0,0,0,1,0,14,0,0,0,1,0,0,0,0,1,0,15
GS11-OFFICE OF THE CHIEF FINANCIAL OFFICER,609,14,0,5,0,2,6,0,0,636,14,0,3,0,0,0,0,0,17,0,653
GS12-OFFICE OF GENERAL COUNSEL,25,3,90,0,0,6,4,1,0,129,1,0,0,0,0,0,0,0,1,0,130
GS13-GSA BOARD OF CONTRACT APPEALS,14,0,11,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
GS14-OFFICE OF THE CHIEF PEOPLE OFFICER,362,2,5,2,0,0,2,1,0,374,7,1,1,0,0,1,0,0,10,0,384
GS15-OFFICE OF INSPECTOR GENERAL,250,26,0,0,0,5,6,0,0,287,0,0,0,0,1,3,0,0,4,0,291
GS19-OFFICE OF COMMUNICATIONS,44,8,0,0,0,0,0,1,0,53,0,0,0,0,0,1,0,0,1,0,54
GS20-OFC OF CONGRESSIONAL & INTERGOV AFFAIRS,6,1,0,0,0,0,0,1,0,8,0,0,0,3,0,0,0,0,3,0,11
GS22-OFFICES OF THE REGIONAL ADMINISTRATORS,85,7,1,0,0,0,6,9,0,108,2,0,0,5,0,1,0,0,8,0,116
GS24-FEDERAL SUPPLY SERVICE,3198,69,23,22,0,31,16,0,0,3359,33,0,6,0,0,12,0,0,51,0,3410
GS26-OFFICE OF GOVERNMENTWIDE POLICY,268,6,2,0,0,2,7,0,0,285,5,0,3,1,0,0,1,0,10,0,295
GS27-FEDERAL TECHNOLOGY SERVICE,1238,25,6,3,0,1,12,0,0,1285,8,0,2,0,0,0,0,0,10,0,1295
GS28-OFFICE OF THE CHIEF INFORMATION OFFICER,95,3,0,0,0,1,3,0,0,102,0,0,0,0,0,0,1,0,1,0,103
GW00-INTERNAT BOUNDARY & WATER CMSN: US & MEX,214,5,1,0,0,3,0,0,0,223,22,0,11,1,1,0,0,0,35,0,258
GX00-INTERNAT BOUNDARY CMSN: U.S. AND CANADA,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,13,0,17
GY00-INTERNATIONAL JOINT CMSN: U.S. & CANADA,10,3,1,0,0,0,0,0,0,14,2,0,0,1,3,0,0,0,6,1,21
HB00-CMTE FOR PURCH FRM PPLE BLIND OR SEV DIS,12,2,3,0,4,1,1,0,0,23,0,0,0,0,3,3,0,0,6,0,29
HD00-U.S. HOLOCAUST MEMORIAL MUSEUM,138,74,0,0,0,8,0,0,0,220,6,0,0,0,0,6,0,0,12,0,232
HE10-OFC SEC HEALTH AND HUMAN SERVICES,1920,309,241,12,0,62,61,36,0,2641,48,44,34,35,8,81,4,0,254,1,2896
HE11-PROGRAM SUPPORT CENTER,873,91,2,0,0,12,6,0,0,984,9,13,1,0,0,34,1,0,58,0,1042
HE31-OFC ASST SEC FOR HEALTH,225,7,2,1,0,1,0,0,0,236,8,0,9,0,0,1,0,0,18,0,254
HE32-SUBSTANCE ABUSE & MENTAL HEALTH SERV ADM,463,44,8,3,0,2,11,0,0,531,1,0,7,1,1,59,0,0,69,0,600
HE33-AGY FOR HEALTHCARE RESEARCH AND QUALITY,165,21,0,0,0,5,4,1,0,196,1,0,8,1,0,46,0,0,56,0,252
HE34-HEALTH RESOURCES AND SERVICES ADM,1060,81,21,2,0,8,16,0,0,1188,36,4,12,0,0,9,0,0,61,0,1249
HE35-AGY FOR TOXIC SUBSTANCES AND DISEASE REG,262,64,1,0,0,1,2,0,0,330,2,0,2,0,0,42,0,0,46,0,376
HE36-FOOD AND DRUG ADMINISTRATION,7132,716,69,6,0,84,64,5,0,8076,68,6,82,0,0,2701,0,0,2857,4,10937
HE37-INDIAN HEALTH SERVICE,8226,1072,1888,0,0,32,14,0,0,11232,255,1241,8,0,1,22,0,0,1527,0,12759
HE38-NATIONAL INSTITUTES OF HEALTH,10597,1489,75,39,0,158,170,0,1,12529,309,8,577,0,1,2273,1,0,3169,2,15700
HE39-CENTERS FOR DISEASE CONTROL AND PREVENTN,4859,717,50,7,0,65,21,0,0,5719,100,13,171,0,0,556,0,0,840,1,6560
HE70-HEALTH CARE FINANCING ADMINISTRATION,3452,336,51,12,0,81,38,6,0,3976,28,2,32,4,1,48,1,0,116,0,4092
HE90-ADMINISTRATION FOR CHILDREN AND FAMILIES,1355,34,8,2,0,93,11,10,0,1513,4,0,10,6,2,9,0,0,31,0,1544
HP00-ADV COUNCIL ON HISTORIC PRESERVATION,0,0,0,0,1,28,2,0,0,31,0,0,0,0,8,7,0,0,15,0,46
HT00-HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,2,0,0,0,2,1,0,1,0,6,0,0,0,0,4,1,0,0,5,0,11
HU01-OFC SR COM BLDR/COOR NEW ENGLAND,274,13,17,0,0,1,0,1,0,306,25,3,2,0,0,3,0,0,33,0,339
HU02-OFC SR COM BLDR/COOR NEW YORK/NEW JERSEY,540,11,18,0,0,1,0,1,0,571,20,1,1,2,0,13,0,0,37,0,608
HU03-OFC SR COM BLDR/COOR MID-ATLANTIC,695,16,23,0,0,0,0,1,0,735,15,2,0,0,0,15,0,0,32,0,767
HU04-OFC SR COM BLDR/COOR SOUTHEAST/CARIBBEAN,1199,12,33,0,0,5,0,1,0,1250,36,1,9,0,0,22,0,0,68,0,1318
HU05-OFC SR COM BLDR/COOR MIDWEST,918,15,38,0,0,1,0,0,0,972,15,0,2,1,0,23,0,0,41,0,1013
HU06-OFC SR COM BLDR/COOR SOUTHWEST,750,10,18,0,0,1,0,1,0,780,13,0,5,2,0,19,0,0,39,0,819
HU07-OFC SR COM BLDR/COOR GREAT PLAINS,271,6,9,0,0,3,0,0,0,289,11,6,1,1,0,0,0,0,19,0,308
HU08-OFC SR COM BLDR/COOR ROCKY MOUNTAINS,575,8,15,0,0,5,1,0,0,604,7,5,1,0,0,0,0,0,13,0,617
HU09-OFC SR COM BLDR/COOR PACIFIC/HAWAII,657,5,24,0,0,3,0,1,0,690,40,18,0,0,0,1,1,0,60,0,750
HU10-OFC SR COM BLDR/COOR NORTHWEST/ALASKA,247,9,8,0,0,0,0,1,0,265,3,4,1,0,0,0,0,0,8,0,273
HUAA-OFFICE OF THE SECRETARY OF HUD,39,4,4,0,0,1,3,4,0,55,1,1,4,4,1,1,2,0,14,0,69
HUBB-ASSISTANT SECRETARY FOR ADMINISTRATION,542,6,10,0,0,0,5,1,0,564,10,7,0,16,0,0,0,0,33,0,597
HUCC-OFFICE OF GENERAL COUNSEL,58,0,102,0,0,0,7,3,0,170,5,11,0,0,1,0,0,0,17,0,187
HUDD-ASST SEC FOR CMNTY PLAN AND DEVELOPMENT,174,4,13,0,0,0,7,0,0,198,8,0,6,8,1,3,1,0,27,0,225
HUEE-ASST SEC FOR FAIR HOUS AND EQUAL OPPOR,108,4,2,0,0,0,7,0,0,121,1,0,3,1,1,0,0,0,6,0,127
HUFF-OFFICE OF THE CHIEF FINANCIAL OFFICER,147,0,2,0,0,1,4,0,0,154,5,0,31,1,1,0,0,0,38,0,192
HUGG-OFFICE OF INSPECTOR GENERAL,87,4,3,0,0,1,7,0,0,102,1,0,1,0,1,0,0,0,3,0,105
HUII-OFC OF DEPARTMENTAL OPERATIONS AND COORD,13,3,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,17
HUJJ-ASST SEC FOR CONGR & INTERGOV RELATIONS,14,0,0,0,0,0,0,1,0,15,0,0,0,11,1,0,1,0,13,0,28
HULL-OFFICE OF LEAD HAZARD CONTROL,14,6,1,0,0,0,2,0,0,23,0,0,0,0,0,0,0,0,0,0,23
HUMM-ASST SEC FOR HOUSING--FED HOUSING CMSNR,581,9,8,0,0,4,10,2,0,614,25,1,4,2,0,4,0,0,36,0,650
HUOO-OFC OF FED HOUSING ENTERPRISE OVERSIGHT,42,12,7,0,0,0,0,0,0,61,7,0,0,1,0,3,0,0,11,0,72
HUPP-ASST SEC FOR PUB AND INDIAN HOUSING,430,5,5,0,0,2,7,0,0,449,1,0,5,3,0,0,2,0,11,0,460
HURR-ASST SEC FOR POLICY DEV AND RES,91,2,2,0,0,0,4,0,0,99,1,0,3,1,0,1,0,0,6,0,105
HUTT-GOVERNMENT NATIONAL MORTGAGE ASSOCIATION,48,2,0,0,0,0,5,0,0,55,0,0,0,0,0,0,0,0,0,0,55
HUUU-OFC OF DEPT EQUAL EMPLOYMENT OPPORTUNITY,19,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,20
HUVV-DEPARTMENTAL ENFORCEMENT CENTER,102,0,16,0,0,2,1,0,0,121,0,2,3,0,0,0,0,0,5,0,126
HUWW-ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,15,7,0,0,0,0,0,0,0,22,0,0,0,8,0,0,1,0,9,0,31
HUXX-DEPARTMENTAL REAL ESTATE ASSESSMENT CNTR,82,1,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,83
IB00-BROADCASTING BOARD OF GOVERNORS,2333,136,21,97,0,972,26,10,0,3595,49,5,25,24,12,145,4,0,264,0,3859
IF00-INTER-AMERICAN FOUNDATION,35,11,2,0,0,0,0,0,0,48,6,0,0,0,0,1,0,0,7,0,55
IN01-OFFICE OF THE SECRETARY OF THE INTERIOR,620,28,37,0,0,34,30,25,0,774,4,8,11,22,7,15,3,0,70,0,844
IN05-BUREAU OF LAND MANAGEMENT,8094,557,15,117,0,45,19,1,0,8848,561,997,136,3,1,93,2,0,1793,0,10641
IN06-INDIAN AFFAIRS,5273,69,800,7,0,34,22,0,0,6205,60,1010,5,0,0,3876,1,0,4952,0,11157
IN07-BUREAU OF RECLAMATION,5232,367,21,56,0,43,13,1,0,5733,186,9,102,2,5,8,0,1,313,0,6046
IN08-GEOLOGICAL SURVEY,8149,427,9,216,0,27,31,0,0,8859,739,144,644,0,0,25,0,0,1552,0,10411
IN10-NATIONAL PARK SERVICE,13015,2078,95,90,0,422,24,1,0,15725,5526,265,647,5,0,216,0,0,6659,0,22384
IN15-U.S. FISH AND WILDLIFE SERVICE,6037,963,12,73,0,147,16,0,0,7248,874,207,97,1,1,102,0,0,1282,0,8530
IN21-OFFICE OF THE SOLICITOR,84,4,238,0,0,5,11,6,0,348,1,18,1,0,1,2,0,0,23,1,372
"IN22-OFC OF SURFACE MINING, RECL AND ENFORC",612,17,0,4,0,3,5,0,0,641,0,0,5,1,1,3,0,0,10,0,651
IN23-MINERALS MANAGEMENT SERVICE,1596,94,3,13,0,4,11,1,0,1722,11,1,21,2,0,0,0,0,35,0,1757
IN24-OFFICE OF THE INSPECTOR GENERAL,216,11,2,1,0,0,4,0,0,234,2,0,9,0,0,0,0,0,11,0,245
KS00-CORP FOR NATIONAL AND COMMUNITY SERVICE,171,0,0,0,0,108,4,0,0,283,2,0,0,0,2,247,0,0,251,0,534
LF00-FEDERAL ELECTION COMMISSION,0,0,0,0,0,310,0,0,0,310,0,0,0,0,2,7,0,0,9,0,319
