Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
CM63-BUREAU OF THE CENSUS,4791,1302,5835,2,0,33,35,1,0,11999,222,558,65,1,1,1,0,0,848,0,12847
CM64-OFFICE OF THE INSPECTOR GENERAL,92,15,6,0,0,0,7,0,0,120,0,1,1,0,0,0,0,0,2,0,122
CM65-ECONOMICS AND STATISTICS ADMINISTRATION,34,3,0,0,0,0,4,3,0,44,1,0,1,0,1,0,0,0,3,0,47
CM67-BUREAU OF INDUSTRY AND SECURITY,301,43,0,1,0,2,10,0,0,357,1,0,4,6,3,0,0,0,14,0,371
CT00-COMMODITY FUTURES TRADING COMMISSION,269,13,140,0,0,0,0,0,0,422,2,4,2,4,4,2,0,0,18,0,440
CU00-NATIONAL CREDIT UNION ADMINISTRATION,715,89,20,72,0,5,0,0,0,901,1,0,0,6,3,0,0,0,10,0,911
CX00-NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,17,0,0,18,0,20
DB00-PUBLIC INTEREST DECLASSIFICATION BOARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,8,0,8
DD01-OFFICE OF THE SECRETARY OF DEFENSE,875,1,41,72,0,146,183,62,0,1380,1,34,3,86,12,100,10,0,246,0,1626
DD02-ORGANIZATION OF THE JOINT CHIEFS OF STAFF,184,0,0,0,0,0,5,0,0,189,14,1,0,2,0,0,0,0,17,0,206
DD04-DEFENSE INFORMATION SYSTEMS AGENCY,3978,900,19,197,0,61,28,0,0,5183,32,7,79,0,0,7,0,0,125,0,5308
DD06-DEFENSE SECURITY COOPERATION AGENCY,386,5,6,23,0,0,5,0,0,425,5,24,8,0,0,35,0,0,72,0,497
DD07-DEFENSE LOGISTICS AGENCY,16937,2685,167,735,0,322,25,0,0,20871,153,26,63,0,0,280,0,0,522,1,21394
DD08-U.S. COURT OF APPEALS FOR THE ARMED FORCES,12,1,9,0,1,11,2,0,0,36,0,12,1,0,4,7,0,0,24,0,60
DD09-AMERICAN FORCES INFORMATION SERVICE,220,8,3,0,0,2,1,0,0,234,0,0,0,0,0,0,0,0,0,0,234
DD10-DEFENSE CONTRACT AUDIT AGENCY,3071,396,7,563,0,8,15,0,0,4060,6,3,24,0,0,0,0,0,33,0,4093
DD12-DEFENSE SECURITY SERVICE,424,64,22,0,0,9,6,0,0,525,0,1,0,0,0,0,0,0,1,0,526
DD13-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,81,0,1,0,0,0,12,1,0,95,20,0,0,0,0,51,0,0,71,0,166
DD16-DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,718,117,5300,1,0,3759,6,0,0,9901,25,4244,6,0,0,1394,0,0,5669,0,15570
DD21-WASHINGTON HEADQUARTERS SERVICES,1030,38,32,10,0,4,13,0,0,1127,5,11,16,18,0,42,2,0,94,0,1221
DD23-OFFICE OF ECONOMIC ADJUSTMENT,31,0,4,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,36
DD25-DEFENSE LEGAL SERVICES AGENCY,65,0,76,0,0,13,2,1,0,157,6,28,0,1,0,1,0,0,36,0,193
DD26-OFFICE OF THE INSPECTOR GENERAL,856,0,23,443,0,21,17,0,0,1360,7,6,17,0,1,9,1,0,41,0,1401
DD27-MISSILE DEFENSE AGENCY,949,2,27,20,0,7,19,0,0,1024,1,0,4,0,0,2,0,0,7,0,1031
DD29-DEFENSE TECHNOLOGY SECURITY ADMINISTRATION,145,0,1,0,0,1,1,0,0,148,0,0,0,0,0,0,0,0,0,0,148
DD34-DEFENSE COMMISSARY AGENCY,8819,2717,21,5,0,93,5,0,0,11660,556,633,2099,1,0,37,0,0,3326,0,14986
DD35-DEFENSE FINANCE AND ACCOUNTING SERVICE,9132,2028,45,597,0,149,25,0,0,11976,385,16,72,0,0,0,0,0,473,0,12449
DD48-DEFENSE HUMAN RESOURCES ACTIVITY,743,94,4,23,0,7,10,1,0,882,6,0,1,0,0,0,2,0,9,0,891
DD58-DEFENSE PRISONER OF WAR/MISSING PERSONNEL OFFICE,31,0,22,0,0,6,0,0,0,59,0,0,0,1,0,0,0,0,1,0,60
DD60-TRICARE MANAGEMENT ACTIVITY,839,65,43,1,0,18,4,0,0,970,10,91,5,0,0,16,2,0,124,0,1094
DD61-DEFENSE THREAT REDUCTION AGENCY,1024,8,41,5,0,5,13,0,0,1096,8,0,12,0,0,2,0,0,22,0,1118
DD63-DEFENSE CONTRACT MANAGEMENT AGENCY,8799,365,98,165,0,61,10,0,0,9498,38,2,6,0,0,2,0,0,48,0,9546
DD65-PENTAGON FORCE PROTECTION AGENCY,682,202,1,0,0,1,3,0,0,889,0,5,0,0,0,0,0,0,5,0,894
DD68-DEPARTMENT OF DEFENSE TEST RESOURCE MANAGEMENT CENTER,15,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,17
DD69-NATIONAL DEFENSE UNIVERSITY,203,27,0,0,0,5,0,0,0,235,36,6,11,0,0,187,0,0,240,0,475
DD74-DEFENSE TECHNICAL INFORMATION CENTER,251,33,0,0,0,2,1,0,0,287,0,0,0,0,0,0,0,0,0,0,287
DD77-BUSINESS TRANSFORMATION AGENCY,157,0,2,0,0,0,1,0,0,160,0,24,0,0,0,21,4,0,49,0,209
DF00-OFFICE OF THE FEDERAL COORDINATOR FOR ALASKA NATURAL GAS TRANSPORTATION PROJECTS,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,3
DJ**-UNSPECIFIED,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"DJ01-OFFICES, BOARDS AND DIVISIONS",2413,378,2412,99,0,335,176,42,0,5855,247,319,229,59,11,8,5,0,878,0,6733
DJ02-FEDERAL BUREAU OF INVESTIGATION,1,0,8,0,0,30022,234,0,0,30265,0,10,4,0,1,54,2,0,71,4,30340
DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,29221,5955,240,7,0,396,74,1,0,35894,11,34,66,0,0,2,0,0,113,0,36007
DJ06-DRUG ENFORCEMENT ADMINISTRATION,7493,361,429,728,0,50,70,0,0,9131,3,6,63,2,0,0,0,0,74,1,9206
DJ07-OFFICE OF JUSTICE PROGRAMS,448,75,20,1,0,2,14,5,0,565,7,5,11,6,4,0,0,0,33,0,598
DJ08-U.S. MARSHALS SERVICE,3980,430,11,34,0,95,11,1,0,4562,4,0,0,0,8,79,0,0,91,0,4653
DJ09-EXECUTIVE OFFICE FOR U.S. ATTORNEYS AND THE OFFICES OF THE U.S. ATTORNEYS,4294,752,38,72,0,4809,3,2,0,9970,62,6,458,9,72,392,1,0,1000,0,10970
DJ10-OFFICE OF THE INSPECTOR GENERAL,327,31,15,12,0,6,7,0,0,398,3,1,26,0,1,0,0,0,31,0,429
DJ11-U.S. TRUSTEE PROGRAM,154,24,249,698,0,131,3,0,0,1259,0,27,1,0,0,4,0,0,32,0,1291
DJ12-EXECUTIVE OFFICE FOR IMMIGRATION REVIEW,628,141,356,1,0,23,6,0,0,1155,1,88,53,0,0,0,0,0,142,0,1297
DJ14-COMMUNITY RELATIONS SERVICE,32,4,0,0,0,4,0,0,0,40,0,0,0,1,0,0,0,0,1,0,41
"DJ15-BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES",4081,268,14,72,0,75,46,0,0,4556,0,1,287,1,0,0,0,0,289,0,4845
DLAA-OFFICE OF THE SECRETARY OF LABOR,267,29,8,1,0,69,2,7,0,383,3,38,7,36,1,11,0,0,96,3,482
DLAM-OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT,584,42,4,33,0,9,10,0,0,682,5,3,22,3,1,2,0,0,36,0,718
DLBL-BUREAU OF INTERNATIONAL LABOR AFFAIRS,56,12,1,3,0,4,2,2,0,80,1,0,1,1,0,0,0,0,3,0,83
DLCA-OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS,6,0,0,0,0,0,0,1,0,7,0,0,1,21,1,0,0,0,23,0,30
DLCF-OFFICE OF THE CHIEF FINANCIAL OFFICER,53,9,0,0,0,0,3,0,0,65,0,0,0,2,0,0,0,0,2,0,67
DLEH-OFFICE OF DISABILITY EMPLOYMENT POLICY,32,2,8,0,0,1,2,0,0,45,1,3,0,2,0,0,0,0,6,1,52
DLES-EMPLOYMENT STANDARDS ADMINISTRATION,3193,360,2,119,0,31,20,3,0,3728,165,1,44,10,2,2,0,0,224,5,3957
DLET-EMPLOYMENT AND TRAINING ADMINISTRATION,739,149,9,11,0,10,10,0,0,928,5,0,4,4,1,2,1,0,17,7,952
DLIG-OFFICE OF THE INSPECTOR GENERAL,359,29,3,2,0,15,7,0,0,415,0,0,3,0,1,0,0,0,4,0,419
DLLS-BUREAU OF LABOR STATISTICS,2013,374,1,77,0,1,18,0,0,2484,0,0,1,0,0,4,0,0,5,0,2489
DLMS-MINE SAFETY AND HEALTH ADMINISTRATION,1666,180,0,375,0,9,7,1,0,2238,1,0,10,2,1,7,0,0,21,1,2260
DLPA-OFFICE OF PUBLIC AFFAIRS,40,7,0,0,0,0,2,0,0,49,0,0,0,7,1,0,0,0,8,0,57
DLPE-OFFICE OF THE ASSISTANT SECRETARY FOR POLICY,24,2,0,0,0,0,3,1,0,30,0,0,1,3,1,0,0,0,5,0,35
DLPW-EMPLOYEE BENEFITS SECURITY ADMINISTRATION,644,83,3,93,0,9,15,1,0,848,0,0,9,1,1,15,0,0,26,0,874
DLSH-OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,1847,167,6,14,0,7,10,1,0,2052,6,0,6,3,1,0,0,0,16,8,2076
DLSL-OFFICE OF THE SOLICITOR,151,4,135,0,0,264,19,0,0,573,3,0,0,4,1,0,0,0,8,2,583
DLVE-VETERANS EMPLOYMENT AND TRAINING SERVICES,170,34,0,0,0,14,3,0,0,221,5,0,0,4,1,0,0,0,10,0,231
DLWB-WOMEN'S BUREAU,47,2,0,0,0,0,0,0,0,49,0,0,1,1,1,0,0,0,3,0,52
DN00-DEPARTMENT OF ENERGY,11230,1407,351,257,1,768,421,37,0,14472,25,23,80,79,22,238,6,0,473,0,14945
DQ00-DENALI COMMISSION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,0,19
EB00-EXPORT-IMPORT BANK OF THE UNITED STATES,295,34,19,0,0,0,0,0,0,348,0,1,2,7,6,0,0,0,16,0,364
EC00-OFFICE OF ADMINISTRATION,113,37,58,0,0,0,0,0,0,208,1,3,2,0,1,7,0,0,14,0,222
EDEA-IMMEDIATE OFFICE OF THE SECRETARY OF EDUCATION,69,4,2,0,0,0,3,5,0,83,1,0,3,37,1,1,0,0,43,0,126
EDEB-OFFICE OF THE DUTY SECRETARY OF EDUCATION,2,2,1,0,0,0,0,0,0,5,0,0,1,4,1,1,0,1,8,0,13
EDEC-OFFICE FOR CIVIL RIGHTS,342,14,235,1,0,13,1,2,0,608,1,2,28,2,1,0,0,0,34,0,642
"EDED-OFFICE OF PLANNING, EVALUATION AND POLICY DEVELOPMENT",81,12,5,5,0,0,8,1,0,112,0,1,0,5,0,19,0,0,25,0,137
EDEE-OFFICE OF THE UNDER SECRETARY,0,0,0,1,0,0,0,1,0,2,0,0,1,3,1,1,0,0,6,0,8
EDEF-OFFICE OF INSPECTOR GENERAL,208,39,3,13,0,0,6,0,0,269,1,0,1,0,1,0,0,0,3,0,272
EDEG-OFFICE OF THE GENERAL COUNSEL,22,1,61,0,0,13,6,2,0,105,0,1,1,4,1,0,0,0,7,0,112
EDEH-OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES,171,40,32,0,0,13,3,0,0,259,0,1,7,4,0,1,0,0,13,0,272
EDEI-OFFICE OF THE CHIEF INFORMATION OFFICER,55,10,0,1,0,1,3,0,0,70,0,0,1,0,0,0,0,0,1,0,71
EDEJ-OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS,11,1,0,0,0,0,0,0,0,12,0,0,1,10,1,0,0,0,12,0,24
EDEL-OFFICE OF THE CHIEF FINANCIAL OFFICER,222,13,1,4,0,1,5,0,0,246,0,0,14,1,1,0,0,0,16,0,262
EDEM-OFFICE OF MANAGEMENT,149,15,8,0,0,3,3,1,0,179,0,0,2,2,1,2,0,0,7,0,186
EDEN-FEDERAL STUDENT AID,806,95,4,8,0,79,12,0,0,1004,1,0,8,0,0,3,0,0,12,0,1016
EDEO-OFFICE OF COMMUNICATIONS AND OUTREACH,77,11,1,1,0,2,1,0,0,93,0,0,1,43,1,1,0,0,46,0,139
EDEP-OFFICE OF POSTSECONDARY EDUCATION,181,11,5,0,0,1,3,0,0,201,0,0,2,5,1,55,0,0,63,0,264
EDEQ-OFFICE OF SAFE AND DRUG-FREE SCHOOLS,35,9,0,0,0,0,1,1,0,46,0,0,0,3,0,12,0,0,15,0,61
EDER-INSTITUTE OF EDUCATION SCIENCES,120,21,0,0,0,0,4,0,0,145,0,0,2,0,2,41,0,0,45,0,190
EDES-OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,153,36,4,0,0,0,3,2,0,198,0,0,0,8,1,22,0,0,31,0,229
EDET-OFFICE OF ENGLISH LANGUAGE ACQUISITION,30,5,0,0,0,0,0,1,0,36,0,0,0,1,0,0,0,0,1,0,37
EDEU-OFFICE OF INNOVATION AND IMPROVEMENT,73,7,2,5,0,0,2,1,0,90,0,0,1,3,0,0,0,0,4,0,94
EDEV-OFFICE OF VOCATIONAL AND ADULT EDUCATION,74,9,2,0,0,0,3,0,0,88,0,1,4,3,1,1,0,0,10,0,98
EDEX-NATIONAL INSTITUTE FOR LITERACY,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20,0,0,20,0,24
EDEY-ADVISORY COUNCILS AND COMMITTEES,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,25,0,0,25,0,33
EDEZ-NATIONAL ASSESSMENT GOVERNING BOARD,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,30,0,0,30,0,36
EE00-EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,1442,172,494,0,0,4,29,1,0,2142,29,11,4,0,5,0,1,0,50,0,2192
EO00-MORRIS K. UDALL SCHOLARSHIP AND EXCELLENCE IN NATIONAL ENVIRONMENTAL POLICY FOUNDATION,0,0,0,0,0,4,0,0,0,4,0,0,0,0,6,32,0,0,38,0,42
EP00-ENVIRONMENTAL PROTECTION AGENCY,14073,978,1033,394,0,97,261,22,1,16859,63,126,229,36,11,762,0,0,1227,6,18092
EQ00-COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY,2,2,2,0,0,0,0,0,0,6,0,1,2,2,1,6,0,0,12,0,18
EW00-TRADE AND DEVELOPMENT AGENCY,19,11,4,0,0,4,3,0,0,41,0,1,0,0,0,1,0,0,2,0,43
FC00-FEDERAL COMMUNICATIONS COMMISSION,1169,67,464,10,0,9,34,5,0,1758,0,11,2,5,5,23,0,0,46,0,1804
FD00-FEDERAL DEPOSIT INSURANCE CORPORATION,3879,87,222,179,0,5,0,0,0,4372,61,27,58,2,4,114,0,0,266,0,4638
FI00-FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,5,2,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
FJ00-CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,14,8,0,7,0,4,1,0,0,34,0,1,0,0,3,0,0,0,4,0,38
FK00-FARM CREDIT SYSTEM INSURANCE CORPORATION,8,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
FL00-FARM CREDIT ADMINISTRATION,204,9,12,23,0,1,0,0,0,249,1,0,0,3,3,1,0,0,8,0,257
FM00-FEDERAL MEDIATION AND CONCILIATION SERVICE,62,5,3,0,0,183,0,0,0,253,0,0,0,0,1,1,0,0,2,0,255
FQ01-OFFICE OF THE DIRECTOR,569,213,3,0,0,0,0,0,0,785,24,2,10,0,1,0,0,0,37,0,822
FQ02-PRETRIAL SERVICES AGENCY,255,73,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,328
FT00-FEDERAL TRADE COMMISSION,340,92,514,2,0,2,29,6,0,985,68,8,17,3,5,8,1,0,110,0,1095
FW00-OFFICE OF SPECIAL COUNSEL,44,2,32,0,0,3,4,0,0,85,0,8,1,0,1,11,0,0,21,0,106
FY00-FEDERAL HOUSING FINANCE BOARD,93,24,7,0,0,0,0,0,0,124,1,0,1,4,4,0,0,0,10,0,134
GB00-OVERSEAS PRIVATE INVESTMENT CORPORATION,126,23,15,0,0,11,0,0,0,175,1,0,1,0,9,11,0,0,22,0,197
GE00-BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION,0,0,0,0,0,2,0,1,0,3,0,0,0,0,1,3,0,0,4,0,7
GG00-OFFICE OF GOVERNMENT ETHICS,48,6,11,0,0,1,5,0,0,71,0,0,1,1,1,0,0,0,3,0,74
GJ00-PRESIDIO TRUST,0,0,0,0,0,291,0,0,0,291,0,0,0,0,0,43,0,0,43,0,334
GM00-VALLES CALDERA TRUST,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,37,0,0,37,0,45
GO00-VIETNAM EDUCATION FOUNDATION,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,7,0,0,7,0,9
GQ00-ELECTION ASSISTANCE COMMISSION,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,33,0,0,36,0,38
GS01-IMMEDIATE OFFICE OF THE ADMINISTRATOR,12,0,0,0,0,0,2,2,0,16,0,1,0,7,1,0,0,0,9,0,25
GS03-PUBLIC BUILDINGS SERVICE,4983,611,8,417,0,14,22,1,0,6056,6,19,28,0,0,1,0,0,54,0,6110
GS04-OFFICE OF CIVIL RIGHTS,7,0,1,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,10
GS10-OFFICE OF SMALL BUSINESS UTILIZATION,10,0,0,1,0,0,0,0,0,11,0,0,0,3,0,0,0,0,3,0,14
GS11-OFFICE OF THE CHIEF FINANCIAL OFFICER,465,32,0,34,0,0,4,0,0,535,0,0,0,0,0,0,0,0,0,0,535
GS12-OFFICE OF GENERAL COUNSEL,17,4,99,0,0,6,5,0,0,131,0,1,0,0,0,0,1,0,2,0,133
GS13-GSA BOARD OF CONTRACT APPEALS,16,1,20,0,0,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,38
GS14-OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER,213,17,1,7,0,2,4,0,0,244,0,1,0,0,0,0,0,0,1,0,245
GS15-OFFICE OF INSPECTOR GENERAL,225,34,1,26,0,4,4,0,0,294,0,2,0,0,1,0,0,0,3,0,297
GS16-OFFICE OF THE CHIEF ACQUISITION OFFICER,66,2,1,0,0,0,1,1,0,71,0,1,0,3,0,1,0,0,5,0,76
GS19-OFFICE OF CITIZEN SERVICES AND COMMUNICATIONS,101,23,0,4,0,0,2,1,0,131,0,0,0,5,0,0,0,0,5,0,136
GS20-OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS,6,0,0,0,0,0,0,1,0,7,0,0,1,5,0,0,0,0,6,0,13
GS22-OFFICES OF THE REGIONAL ADMINISTRATORS,153,6,0,5,0,21,6,10,0,201,0,2,0,8,0,1,0,0,11,0,212
GS24-FEDERAL SUPPLY SERVICE,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2
GS26-OFFICE OF GOVERNMENTWIDE POLICY,121,1,1,1,0,0,4,0,0,128,0,0,2,0,0,0,0,0,2,0,130
GS27-FEDERAL TECHNOLOGY SERVICE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GS28-OFFICE OF THE CHIEF INFORMATION OFFICER,206,12,0,2,0,0,4,0,0,224,0,0,0,0,0,0,0,0,0,0,224
GS30-FEDERAL ACQUISITION SERVICE,3386,269,5,66,0,8,19,0,0,3753,14,17,7,0,0,0,0,0,38,0,3791
GS31-OFFICE OF EMERGENCY RESPONSE AND RECOVERY,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,4
GW00-INTERNATIONAL BOUNDARY AND WATER COMMISSION:  UNITED STATES AND MEXICO,0,0,0,0,0,213,0,0,0,213,0,2,6,0,0,10,0,0,18,0,231
GX00-INTERNATIONAL BOUNDARY COMMISSION:  UNITED STATES AND CANADA,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
GY00-INTERNATIONAL JOINT COMMISSION:  UNITED STATES AND CANADA,8,4,1,0,0,1,0,0,0,14,1,0,0,1,2,0,0,0,4,0,18
HB00-COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,17,2,2,0,0,1,0,0,0,22,2,1,0,0,3,1,0,0,7,0,29
HD00-U.S. HOLOCAUST MEMORIAL MUSEUM,172,27,2,0,0,1,0,0,0,202,0,0,0,0,0,3,0,0,3,0,205
HE10-OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,2297,636,419,54,0,93,79,33,27,3638,30,113,40,51,4,9386,7,0,9631,15,13284
HE11-PROGRAM SUPPORT CENTER,874,111,2,1,0,20,9,0,0,1017,12,9,31,0,0,22,0,0,74,6,1097
HE12-ADMINISTRATION ON AGING,77,20,0,0,0,1,2,0,0,100,0,0,0,1,0,2,0,0,3,1,104
HE31-OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,1,9
HE32-SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,368,76,2,2,0,2,13,1,0,464,4,1,8,0,1,52,0,0,66,0,530
HE33-AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,185,39,0,1,0,3,3,0,0,231,1,1,7,0,0,64,0,0,73,2,306
HE34-HEALTH RESOURCES AND SERVICES ADMINISTRATION,982,152,0,87,0,4,26,0,2,1253,2,0,21,0,0,184,0,0,207,16,1476
HE35-AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY,166,14,0,3,0,3,0,0,0,186,1,0,0,0,0,14,0,0,15,0,201
HE36-FOOD AND DRUG ADMINISTRATION,7071,987,42,1,0,81,48,1,11,8242,179,31,201,1,1,2587,0,0,3000,30,11272
HE37-INDIAN HEALTH SERVICE,8135,1018,2739,0,0,129,18,0,2,12041,211,938,1,0,0,51,0,0,1201,11,13253
HE38-NATIONAL INSTITUTES OF HEALTH,9970,2260,32,38,0,1491,60,0,0,13851,107,6,201,0,2,3919,0,0,4235,4,18090
HE39-CENTERS FOR DISEASE CONTROL AND PREVENTION,5921,937,32,53,0,114,29,1,0,7087,48,6,76,0,1,903,0,0,1034,1,8122
HE70-CENTERS FOR MEDICARE & MEDICAID SERVICES,3400,829,20,88,0,50,58,3,8,4456,9,1,13,5,0,92,0,0,120,22,4598
HE90-ADMINISTRATION FOR CHILDREN AND FAMILIES,1004,210,2,6,0,6,10,9,5,1252,5,6,1,14,2,7,0,1,36,2,1290
HP00-ADVISORY COUNCIL ON HISTORIC PRESERVATION,0,0,0,0,0,38,1,0,0,39,0,0,0,0,7,4,0,0,11,0,50
HS**-UNSPECIFIED,26,24,0,0,0,1,6,1,0,58,0,0,0,1,0,3,0,0,4,0,62
HSAA-DHS HEADQUARTERS,724,501,71,8,0,11,54,28,0,1397,4,20,32,79,6,24,7,0,172,0,1569
HSAB-BUREAU OF CITIZENSHIP AND IMMIGRATION SERVICES,5728,1598,158,337,0,126,27,5,0,7979,383,9,121,2,1,93,0,0,609,0,8588
HSAC-U.S. COAST GUARD,5527,1471,83,31,0,183,10,0,1,7306,273,12,73,0,0,52,0,0,410,0,7716
HSAD-U.S. SECRET SERVICE,4965,221,3,1,0,21,46,0,0,5257,16,5,1303,0,0,6,0,0,1330,0,6587
HSAE-OFFICE OF THE INSPECTOR GENERAL,402,51,6,42,0,5,8,0,0,514,0,0,19,0,1,52,0,0,72,0,586
HSBB-BUREAU OF IMMIGRATION AND CUSTOMS ENFORCEMENT,12718,764,729,1865,0,259,44,2,0,16381,6,13,401,5,1,17,1,0,444,0,16825
HSBC-TRANSPORTATION SECURITY ADMINISTRATION,0,0,0,0,0,56581,0,0,0,56581,0,0,0,0,6,379,0,0,385,0,56966
HSBD-BUREAU OF CUSTOMS AND BORDER PROTECTION,34330,3260,260,8427,0,343,70,4,0,46694,317,34,156,6,1,43,3,0,560,0,47254
HSBE-FEDERAL LAW ENFORCEMENT TRAINING CENTER,848,131,0,10,0,10,7,0,0,1006,58,53,1,0,0,23,0,0,135,0,1141
HSCB-FEDERAL EMERGENCY MANAGEMENT AGENCY,1657,600,208,20,0,18,31,11,0,2545,72,61,46,10,1,13378,3,3,13574,0,16119
HSDA-DOMESTIC NUCLEAR DETECTION OFFICE,508,309,4,0,0,8,14,7,0,850,41,2,2,12,1,7,1,0,66,0,916
HSFA-OFFICE OF THE UNDER SECRETARY FOR SCIENCE AND TECHNOLOGY,183,52,1,0,0,10,8,1,0,255,3,0,1,4,1,18,2,0,29,0,284
HT00-HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,2,3,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,6
HU01-OFFICE OF THE SENIOR COORDINATOR FOR NEW ENGLAND,214,10,19,0,0,1,0,0,0,244,0,3,4,1,0,0,0,0,8,0,252
HU02-OFFICE OF THE SENIOR COORDINATOR FOR NEW YORK/NEW JERSEY,421,15,25,1,0,4,0,1,0,467,1,0,8,1,0,0,0,0,10,0,477
HU03-OFFICE OF THE SENIOR COORDINATOR FOR MID-ATLANTIC,552,21,24,2,0,0,0,0,0,599,0,1,1,2,0,0,0,0,4,0,603
HU04-OFFICE OF THE SENIOR COORDINATOR FOR SOUTHEAST/CARIBBEAN,930,29,37,10,0,9,2,1,0,1018,1,1,12,1,0,0,0,0,15,0,1033
HU05-OFFICE OF THE SENIOR COORDINATOR FOR MIDWEST,658,18,37,1,0,0,1,1,0,716,0,1,7,0,0,0,0,0,8,0,724
HU06-OFFICE OF THE SENIOR COORDINATOR FOR SOUTHWEST,559,30,26,2,0,3,1,1,0,622,0,1,6,1,0,0,0,0,8,0,630
HU07-OFFICE OF THE SENIOR COORDINATOR FOR GREAT PLAINS,183,1,13,1,0,2,0,0,0,200,0,1,4,1,0,0,0,0,6,0,206
HU08-OFFICE OF THE SENIOR COORDINATOR FOR ROCKY MOUNTAINS,334,14,15,4,0,4,0,1,0,372,0,1,1,0,0,0,0,0,2,0,374
HU09-OFFICE OF THE SENIOR COORDINATOR FOR PACIFIC/HAWAII,556,30,18,4,0,1,0,1,0,610,0,8,7,0,0,1,0,0,16,0,626
HU10-OFFICE OF THE SENIOR COORDINATOR FOR NORTHWEST/ALASKA,188,11,8,4,0,1,0,0,0,212,0,1,4,1,0,0,0,0,6,0,218
HUAA-OFFICE OF THE SECRETARY OF HOUSING AND URBAN DEVELOPMENT,18,2,0,1,0,0,2,2,0,25,0,0,4,5,2,3,0,0,14,0,39
HUBB-ASSISTANT SECRETARY FOR ADMINISTRATION,275,17,14,35,0,6,6,1,0,354,2,2,9,4,1,2,0,0,20,0,374
